Abundances (Grouped): 126,Abundances (Grouped): 127,Abundances (Grouped): 128,Abundances (Grouped): 129,Abundances (Grouped): 130,Abundances (Grouped): 131
109400,106400,119700,99330,111000,117600
109400,81950,104100,112000,102500,109900
109500,197100,149300,142300,124100,171500
109800,122400,103200,94300,108000,114600
110000,92290,99770,88730,93030,101800
110500,103800,85810,111600,108000,119800
110700,115800,98980,109600,92550,102400
110800,105500,97030,107000,97220,94680
111000,136500,136300,167100,143700,145700
111000,143200,139400,154700,141600,139300
111200,106600,105000,100900,91760,101400
111600,105200,120200,102100,118000,110900
111600,86120,105100,87440,107200,106800
112200,122700,125500,126400,121900,128800
112300,87460,102900,118900,152500,138700
112300,101100,108300,96440,104600,106100
112800,101000,107300,115000,123300,119200
112900,106600,117700,105600,114500,117100
113200,93620,103000,122800,114300,131700
113300,124400,123700,146800,154000,156500
113600,114100,119900,107300,122100,110700
113800,138200,141000,150600,134000,129300
113900,113600,122200,118200,124000,127700
114000,109000,117300,138500,132700,109300
114100,121500,118400,122300,131400,131900
114100,135000,119600,117600,119800,132900
114200,104000,109000,115600,126400,110600
114400,110900,111700,165900,150000,156000
114600,117000,131300,109600,113500,129700
114900,110500,115600,110400,117600,121100
115100,110300,103500,130300,110900,123000
115200,161500,130100,133300,143200,161400
116000,124700,125100,120400,117100,110000
116100,115700,118400,109300,116000,115700
116200,127000,133000,117700,130200,128200
116300,132400,115500,109600,139700,128700
116400,114000,119000,103900,103900,109200
116800,132500,134800,126200,144200,140400
117200,110900,119800,173300,179700,169100
117400,127100,107200,172900,171700,133800
117500,104600,101500,155400,154700,182900
117700,82840,110200,123500,100200,98860
118000,117700,126800,121700,112400,117900
118500,127300,104000,119600,118900,124400
118600,113700,120100,141400,124000,139300
118700,135500,128200,140100,122500,134700
119000,138000,110000,101200,140300,125600
119300,128700,123900,131000,128400,133300
119400,114300,108500,103900,111900,107800
120100,169900,127800,121700,155700,163700
120200,138500,132200,129900,113800,128800
120200,100600,101400,102900,116200,103300
120600,122500,127900,202900,204700,190000
120800,114500,125500,128500,131700,127000
121000,118400,128800,143800,136300,152900
121000,130300,127600,135500,133800,119500
121100,132800,109400,122900,124000,116100
121200,127800,129100,134000,135000,124700
121500,107400,111500,103800,108100,126100
121500,146300,157600,148500,129800,142200
121500,122800,135700,124500,132800,131900
121600,129400,115000,111400,135200,141500
121600,145400,140100,135100,137800,147500
121800,113300,116300,118400,123700,119300
121900,111100,125800,107500,151500,131400
122100,129400,115800,149700,96790,110300
122300,80940,112100,159000,175300,199000
123200,128300,121000,137500,141100,142000
123400,112600,119800,125800,129900,118500
123400,117500,119400,139300,173200,178600
123500,116600,120800,155900,139600,163600
123600,130200,107900,186700,164100,154900
123600,123300,125300,113200,119100,116800
123700,122900,123000,108600,117000,120900
123800,111900,122400,111500,117700,122700
123900,132100,152800,120900,123300,131700
124000,121000,138700,127800,136200,163000
124100,132500,117000,118600,130200,163700
124100,121300,138700,127000,115400,135900
124300,145200,133300,131900,142800,135000
124400,96470,139200,117000,113100,114300
124400,130500,121000,117100,153400,131400
124800,135500,121000,121800,143900,134800
124800,136200,140600,112900,130200,134800
124900,125300,138900,136100,139600,136600
125300,111100,122300,116600,130000,131300
125300,135200,116700,123500,134200,167200
125400,115200,138200,139900,123100,142300
125800,113700,123400,157200,175600,170600
125900,136400,135700,135100,129800,135400
126100,139200,137500,136100,140800,172200
126400,126700,130800,130400,140000,131000
126400,115000,112900,160900,161500,136700
126500,127000,120600,126600,121600,114300
126600,135100,122100,124700,131600,122100
127200,128000,122400,183700,198400,198000
127300,119100,151600,195800,200800,203400
