LFQ.intensity.1.LiCl_Fresh,LFQ.intensity.2.LiC_Fresh,LFQ.intensity.3.LiCl_Fresh,LFQ.intensity.4.LiCl_Paper,LFQ.intensity.5.LiCl_Paper,LFQ.intensity.6.LiCl_Paper,LFQ.intensity.7.LiCl_Frozen,LFQ.intensity.8.Li_Frozen,LFQ.intensity.9.Li_Frozen,LFQ.intensity.10.PBS_paper,LFQ.intensity.11.PBS_paper,LFQ.intensity.12.PBS_paper
25.188,25.371,25.185,24.784,24.759,24.294,25.305,25.400,25.470,23.591,22.618,20.665
23.508,23.735,23.043,21.361,21.536,23.747,21.382,22.722,23.560,21.696,21.803,21.202
22.014,20.036,21.351,22.932,22.872,22.957,22.082,21.974,21.216,21.934,22.638,21.186
23.801,23.936,23.796,23.773,22.609,20.677,23.714,24.640,24.058,23.067,22.916,22.824
29.707,29.791,29.430,29.284,29.206,29.320,29.550,29.964,29.473,28.464,28.828,28.754
27.615,27.580,26.914,27.057,26.980,26.867,21.886,22.665,27.844,26.327,26.559,22.297
25.105,25.216,25.164,24.769,24.823,25.074,25.154,25.250,24.923,23.865,24.324,23.733
26.713,26.822,27.529,28.155,28.046,28.071,26.788,26.653,27.385,26.984,27.040,26.895
22.030,21.128,24.939,24.692,24.425,24.556,24.748,21.710,24.644,21.120,23.937,23.683
28.919,28.779,29.533,29.452,29.409,29.321,29.345,28.475,29.762,28.384,28.510,28.322
24.107,23.976,24.408,24.389,24.606,24.684,22.857,22.686,24.644,24.413,24.640,23.981
21.546,22.632,23.006,21.348,22.270,22.231,21.062,23.450,22.833,21.251,22.474,22.547
26.720,27.029,25.413,27.463,27.301,27.297,24.573,21.679,26.592,28.165,28.180,27.908
26.034,26.270,26.208,25.434,25.658,25.720,25.699,26.275,25.940,24.750,24.560,24.401
23.235,22.814,21.706,22.593,21.039,21.648,22.616,22.586,22.801,21.145,21.734,22.391
23.124,22.360,22.025,22.044,22.114,22.293,24.520,24.852,23.109,21.649,22.698,21.825
29.044,28.967,28.645,28.696,28.888,28.717,28.277,28.300,28.784,28.369,28.298,27.952
27.812,27.776,27.388,26.825,26.823,26.723,27.049,27.906,27.530,26.040,25.446,25.618
27.792,27.743,26.270,25.675,24.849,25.587,26.221,27.683,26.361,23.917,24.551,21.290
22.815,22.716,23.397,21.350,23.809,23.581,23.012,22.724,23.320,23.164,23.177,23.562
25.283,25.537,25.399,24.675,24.794,24.728,23.595,25.478,25.455,24.530,24.411,21.243
26.230,26.480,25.928,25.790,25.674,25.831,25.482,26.622,26.249,25.134,25.241,24.947
27.802,27.795,27.166,27.526,27.646,27.327,27.051,27.479,26.880,23.947,25.559,25.824
27.119,27.110,26.286,26.415,26.632,26.531,25.642,26.647,26.296,26.084,26.046,26.121
30.277,30.204,30.193,29.783,29.790,29.767,30.071,30.215,30.384,29.063,29.250,28.962
24.252,20.705,24.045,24.139,20.331,22.997,23.688,23.943,23.712,22.259,24.705,24.341
26.938,26.945,26.545,26.793,27.176,27.249,26.530,27.043,26.631,28.258,27.829,27.518
29.144,29.012,29.027,29.298,29.287,29.249,28.931,29.196,28.987,29.891,30.074,30.037
26.980,26.969,26.268,26.034,26.063,26.190,25.957,26.473,26.348,25.323,25.471,25.134
26.819,27.327,27.396,28.930,28.795,28.853,26.748,27.445,26.976,26.742,27.700,27.451
25.873,25.761,25.321,26.191,25.841,25.787,25.216,25.595,25.660,26.191,26.260,26.158
31.553,31.581,31.981,32.086,31.786,31.911,31.460,31.003,31.829,30.855,30.969,30.802
31.407,31.850,31.901,32.045,31.475,31.821,31.413,31.061,31.915,31.020,31.048,30.875
26.314,26.104,25.606,25.866,25.833,25.771,25.014,26.273,25.714,26.635,26.235,26.336
27.444,27.193,26.406,26.258,26.384,26.322,26.279,26.936,26.742,26.712,26.563,26.625
29.285,29.458,29.985,31.310,31.435,31.462,29.968,29.254,30.070,31.228,31.481,31.269
24.113,23.600,24.049,24.583,24.846,24.499,21.688,21.063,24.045,24.768,25.025,24.827
21.716,22.764,22.345,23.510,22.614,21.472,20.953,22.814,21.784,21.082,21.587,21.627
25.060,24.276,23.728,23.705,23.683,24.238,23.889,24.617,23.860,22.715,23.449,23.838
28.546,28.511,28.058,28.672,28.374,28.393,27.868,28.725,28.276,30.038,30.068,30.006
26.738,26.914,26.261,27.193,26.929,27.040,22.193,26.827,26.161,26.800,26.900,26.852
34.693,34.793,34.899,35.455,35.382,35.286,34.656,34.581,35.083,34.937,34.990,34.731
32.810,32.958,32.864,33.430,33.494,33.252,32.586,32.230,32.922,32.951,32.980,32.960
24.944,24.917,24.730,26.031,25.712,25.678,24.251,25.101,24.809,25.955,25.839,26.437
29.933,30.069,29.579,31.199,31.157,31.002,29.320,29.540,29.369,31.426,31.362,31.308
25.142,25.294,21.685,26.634,26.725,26.612,25.027,25.538,20.430,27.219,27.510,27.595
26.142,26.118,24.314,25.769,25.639,25.506,21.668,25.939,24.732,25.325,25.266,25.050
32.277,32.151,31.728,32.384,32.388,32.325,31.592,31.943,31.777,32.327,32.332,32.256
31.672,31.675,31.068,32.019,32.037,32.019,30.740,31.628,31.024,32.448,32.465,32.312
27.448,27.379,26.118,26.623,26.641,26.577,25.961,27.003,26.144,26.558,26.400,26.287
21.242,20.957,21.079,24.976,24.783,24.862,21.894,24.303,21.651,23.933,23.833,21.338
29.039,29.332,29.001,28.368,28.156,28.259,28.719,28.833,28.960,28.525,28.353,28.183
22.371,21.046,23.198,22.467,22.210,22.503,22.369,22.967,23.116,21.049,23.545,22.025
