Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3, 
ND,ND,ND,0.2366,ND,0.7580,ND,ND,ND,0.5619,ND,0.3947,
ND,ND,ND,-0.1446,0.9426,0.2981,ND,ND,ND,-0.1286,0.3278,-0.1430,
ND,ND,ND,0.1468,-0.2372,0.1337,ND,ND,ND,0.1554,0.2335,-0.8286,
ND,ND,ND,0.1540,ND,ND,ND,ND,ND,0.2188,ND,ND,
-0.2550,ND,ND,ND,ND,ND,0.2778,ND,ND,ND,ND,ND,
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,-2.3672,
ND,ND,ND,-0.6161,0.1384,ND,ND,ND,ND,-0.5137,0.2280,ND,
ND,ND,-0.2152,ND,ND,ND,ND,ND,0.1152,ND,ND,ND,
ND,ND,0.1866,ND,ND,ND,0.8347,ND,ND,ND,ND,ND,
0.1917,0.5193,-0.2917,0.1551,0.1588,-0.2118,0.8382,0.1892,0.3783,0.4272,0.4838,0.3462,
ND,ND,ND,ND,ND,0.4464,ND,ND,ND,ND,ND,0.1462,
ND,ND,ND,ND,0.2819,0.1186,ND,ND,ND,ND,0.1128,0.1237,
ND,ND,ND,ND,0.4636,-0.1182,ND,ND,ND,ND,0.5646,0.8459,
0.3994,ND,ND,ND,ND,ND,0.2258,ND,ND,ND,ND,ND,
-0.1262,ND,0.7355,-0.2559,0.2197,0.3673,0.6675,ND,0.2953,0.2489,-0.3654,0.3623,
ND,ND,ND,-0.3120,0.2683,ND,ND,ND,ND,-0.2349,0.2362,ND,
ND,ND,ND,0.1733,ND,0.5356,ND,ND,ND,-0.2972,ND,-0.1447,
ND,ND,ND,0.2563,ND,ND,ND,ND,ND,0.1434,ND,ND,
0.9346,0.1649,0.4142,0.2484,0.9914,0.1823,0.3222,0.1742,0.2755,-0.3684,0.3128,-0.1189,
0.2798,0.1695,ND,ND,ND,ND,-0.1514,0.2359,ND,ND,ND,ND,
-0.2223,-0.1323,0.2838,0.2943,0.1236,0.1241,0.3131,-0.6900,-0.1334,0.1998,0.2625,-0.1674,
-0.3680,-0.1369,0.2152,0.1643,ND,-0.4914,0.1932,-0.1476,0.2894,-0.4760,ND,0.1988,
ND,ND,ND,0.3445,0.1289,-0.3253,ND,ND,ND,0.9936,0.9976,0.1220,
ND,ND,ND,ND,ND,0.9519,ND,ND,ND,ND,ND,0.1154,
ND,ND,ND,-0.1394,0.1745,0.7867,ND,ND,ND,-0.1464,0.6897,0.1898,
ND,ND,ND,ND,0.1482,ND,ND,ND,ND,ND,0.2487,ND,
0.1200,0.2576,0.4738,0.1643,0.5255,-0.2259,-0.2129,0.3638,-0.5592,0.2334,0.4633,-0.2598,
0.4739,0.7568,-0.4796,ND,ND,ND,-0.6927,0.6993,-0.2565,ND,ND,ND,
0.4149,0.8811,ND,ND,ND,ND,-0.9383,0.8942,ND,ND,ND,ND,
0.2515,0.7387,ND,ND,ND,ND,-0.1439,0.8659,ND,ND,ND,ND,
ND,ND,ND,0.2487,0.8278,0.1352,ND,ND,ND,0.4254,-0.9398,0.3312,
ND,ND,-0.1453,ND,ND,ND,ND,ND,-0.1681,ND,ND,ND,
0.3399,0.1182,0.1412,ND,ND,0.5349,0.3827,-0.1130,0.3292,ND,ND,0.1323,
ND,ND,ND,ND,0.1474,ND,ND,ND,ND,ND,0.7224,ND,
ND,0.5372,0.2783,0.6425,0.1654,0.1742,ND,0.6255,0.2128,0.9853,ND,0.3569,
ND,ND,ND,ND,0.9480,ND,ND,ND,ND,ND,0.3271,ND,
-0.3513,-0.3127,ND,ND,ND,ND,0.5277,0.1242,ND,ND,ND,ND,
-0.1639,0.3942,0.3834,ND,ND,ND,0.3342,0.4552,-0.6240,ND,ND,ND,
