LFQ.intensity.1.Plasma,LFQ.intensity.2.Plasma,LFQ.intensity.3.Plasma,LFQ.intensity.4.WB,LFQ.intensity.5.WB,LFQ.intensity.6.WB
25.52948761,25.61944199,,30.04687309,28.68374825,29.97678185
,,,30.98942566,31.3762207,30.84797096
26.96851158,27.04082489,26.63020325,29.89518738,29.58066368,30.7335186
,,,32.17518997,31.93768501,32.25329971
29.34988594,29.40255356,28.90655708,28.09993935,28.45830154,28.03956985
,,,32.75523376,32.37984085,32.5140152
,,,31.25203133,31.47373009,31.227108
,,,30.88838005,31.07111931,30.62392235
,,,30.64271927,30.98915482,30.65872383
,,,30.07009697,30.05620766,30.26338196
,,,30.01132011,30.01091957,30.39947891
,,,30.78199005,31.42677498,30.78441048
,,,31.43604088,32.00326538,31.0516777
,,,31.05988503,31.01051903,31.23140717
,,,30.53194618,30.75078964,30.32517433
,,,30.39754295,30.27008247,30.46382713
,,,30.8386097,30.76382637,31.14430809
27.10049057,28.25750351,26.5305748,34.57998276,34.59568405,35.02399445
29.81721878,29.74855232,29.75922966,29.94139671,29.7649498,29.80879211
,,,32.11830139,31.90408134,32.2329216
,,,29.46694183,29.57309723,29.74658394
,,,30.94962883,30.83107567,31.03741074
,,,29.78227043,30.13613892,29.73080254
,,28.22315407,33.18723297,33.38265228,31.8780365
29.77074051,29.94670486,29.58342743,28.21382332,28.56434631,28.62359047
,,,30.59903526,30.93452454,30.65343666
,,,29.16466141,29.26896667,29.14401627
,,,30.2487545,30.16062737,30.5769577
26.92411041,26.9107933,26.66383743,30.52542686,30.60567284,30.79637337
30.26203728,29.46396255,29.99685097,25.5850296,25.95577812,25.77999115
30.86400414,31.03446198,31.00544167,28.12957191,27.06188202,27.44395256
,,,29.68722343,30.2806282,29.69303703
,,,30.4056797,31.04290009,30.51295662
,,,30.89026642,31.24649239,30.45620918
24.37218857,24.8331604,,30.25856018,30.3089962,30.60576057
,,,30.67058945,30.61903191,30.76366806
,,,30.01132011,30.29405975,30.05400848
23.54769135,,,34.03354263,33.75692368,34.36019135
,,,31.02121735,31.32950974,30.84916496
,,,30.75605011,31.04563713,30.66492271
,,,30.33351517,30.42262077,30.74270248
