nc_rep1,nc_rep2,lpm_rep1,lpm_rep2,mpm_rep1,mpm_rep2,hpm_rep1,hpm_rep2,rlpm_rep1,rlpm_rep2,rmpm_rep1,rmpm_rep2,rhpm_rep1,rhpm_rep2,sl_rep1,sl_rep2,sm_rep1,sm_rep2,sh_rep1,sh_rep2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095003631,0.094588817,0,0,0,0
0.596792027,0.278766018,0.504401192,0.198837976,0.252326384,0.682657651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.97442338,9.599235802,8.901642516,8.434945913,5.62336078,16.57369028,5.201428443,6.383653785,7.153450965,8.869422388,10.59940074,8.232967809,9.120729409,12.70560968,10.3013207,6.845027284,7.478989999,10.71126213,8.992009614,6.748054182
0.133282584,0.575080038,0.645222787,0.523212151,0.219772074,0.14619735,0,0,0.880744448,0.993285479,0.237228902,0.262285306,0.265077996,0.70388079,2.080672483,1.262945662,0.205306967,0.595416377,0.120279788,0.091963271
0.293374958,0.388302388,0.048893729,0.306925128,0.180658131,0.241926187,0.361064443,0.27553729,1.37758979,3.346000105,0.358215839,0.581980421,3.026997743,0.424413397,0.143899784,0.612644494,0.416117064,1.177180273,0.022949058,0.121693953
2.285901355,1.833470016,2.76530091,1.226246423,1.83161521,1.98977931,1.080360456,2.174272113,2.856474617,2.408673236,2.432142608,2.942049431,2.281719547,4.892920179,2.848850894,2.546296819,2.468091651,2.600303075,1.358288846,1.653634775
0.182594629,0.094855075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.303061392,1.456850631,1.221202913,0.951886087,0.296597807,1.59193918,0.534606611,1.078715465,1.323421929,2.049358844,1.609648012,1.649108968,1.231092498,2.011000983,1.504066908,0.954017853,0.948756332,1.136321759,0.589392944,1.260700048
0,0,0.545308208,0.820465907,0,0,0,0,0.422577457,0.652328368,0,0,0,0,0,0,1.636107035,1.856935349,0,0
47.67755988,62.24511808,26.22521297,121.2753846,69.38579287,88.02362482,35.48113969,1.434928191,24.92175875,91.76797423,129.6696448,69.24522903,49.92419722,15.40797217,14.25019525,69.31445774,196.6987954,9.374407186,51.67806897,63.70588676
6.228354461,5.813867911,8.38376882,6.697593461,4.771218188,9.132110619,7.396097751,9.130343307,2.833876285,3.147110376,3.987449864,8.790910922,6.307480724,8.284890505,8.993649149,5.406317958,8.31790551,9.100467176,4.355668072,5.478089147
37.03556594,35.89961925,40.59551271,29.70057728,34.04546802,54.23379676,58.42509566,38.56562318,49.83329714,52.12361972,43.27178033,28.00124143,36.84892796,53.31289896,40.62029025,38.45988631,53.60354065,50.09273547,31.28175198,30.69606082
1.30543466,0.558584729,0.7224199,0.849288396,1.73305978,0.8869518,1.309800016,1.779863951,0.986661355,1.048000308,1.238221069,1.190047339,1.045912175,1.526061486,1.534399856,1.264734192,1.753239157,1.777988391,0.90304288,1.507132164
0,0,0.001905619,0.009000011,0,0,0.004997485,0.049478116,0.210720931,0.221392944,0,0,0.008996782,0.013161078,0.058147003,0.047828529,0.096401816,0.072412564,0,0.024268476
0,0,0,0,0,0,0,0,0,0,0,0,0,0.007072176,0,0,0,0,0,0
0.398513207,0.284320849,0.286905365,0.026799166,0.174000958,0.342576296,0,0,0,0,0.170730386,0.359085075,0.204768924,1.671835614,0.836811946,0.968326088,0.659363749,0.204717971,0.184414209,0.576596554
0.440095471,0.109329591,0.200919419,0.106240799,0.611350432,0.708293178,0.114306365,0.477357272,0.367523831,0.686060158,3.541304381,4.90103042,0.43969846,0.813619359,4.268069417,3.073018734,1.320792905,0.946680876,0.22974671,0.423294104
3.149787081,2.134803121,2.205886068,2.426973052,3.162279335,1.867401542,2.877437401,3.998124228,1.661601996,2.376542237,2.948675121,3.594970812,1.591877577,1.713363582,4.626054115,4.684890227,6.02571997,4.621266065,2.530116593,3.125609621
