Bcells_H9_ne,Bcells_H10_ne,Bcells_H11_ne,Bcells_H3_ne,Bcells_H1_ne,Bcells_H2_ne,CLL1_ne,CLL10_ne,CLL11_ne,CLL14_ne,CLL15_ne,CLL16_ne,CLL2_ne,CLL4_ne,CLL8_ne,,,,,,,,,,,,,,,,,,,,,,,,,
24.6553,26.2025,25.5265,25.1354,25.1355,24.8734,23.8798,25.7835,24.5562,23.6319,26.0062,26.305,26.3634,25.6092,25.9191,,,,,,,,,,,,,,,,,,,,,,,,,
22.3368,24.0067,17.8725,21.0334,21.4343,19.4619,22.2149,17.7016,20.5681,17.8782,21.7449,22.0763,23.0809,22.22,21.7134,,,,,,,,,,,,,,,,,,,,,,,,,
22.83,25.8405,24.1456,24.9166,24.8284,24.9405,24.6132,23.1539,23.6465,25.1285,24.1068,25.547,22.5091,23.2814,23.8457,,,,,,,,,,,,,,,,,,,,,,,,,
24.0404,24.8826,23.6636,22.6494,23.6213,23.6808,20.2607,20.9752,21.1123,20.5473,21.6726,22.9993,22.2836,23.0335,22.2419,,,,,,,,,,,,,,,,,,,,,,,,,
21.6896,20.6238,22.4676,19.0804,19.0013,20.268,20.0781,21.3539,21.5026,17.6673,22.1725,24.4836,21.5766,21.001,22.3755,,,,,,,,,,,,,,,,,,,,,,,,,
19.1467,19.3073,19.193,17.0136,17.4089,19.1946,18.9758,19.1556,21.3141,19.8773,20.5013,23.8149,20.295,18.7346,19.7388,,,,,,,,,,,,,,,,,,,,,,,,,
24.3799,23.9896,23.9518,23.6206,23.4629,23.9593,25.003,24.0949,24.9363,24.4278,25.0862,25.9439,25.1829,24.4711,24.7009,,,,,,,,,,,,,,,,,,,,,,,,,
24.9752,23.9834,24.4349,23.9918,24.9158,25.0706,25.5643,25.4076,24.3008,24.8553,24.8274,24.726,25.2629,24.9146,26.0874,,,,,,,,,,,,,,,,,,,,,,,,,
22.2535,22.8814,23.3879,22.3664,23.002,23.0978,20.6525,19.9378,15.2699,15.6698,20.8279,20.9929,22.5726,17.837,20.666,,,,,,,,,,,,,,,,,,,,,,,,,
28.9866,27.7704,28.1668,27.7487,27.9976,28.0913,28.6796,28.9529,29.4523,28.7745,28.6153,28.3691,29.442,28.787,30.1963,,,,,,,,,,,,,,,,,,,,,,,,,
25.821,26.2128,25.9538,26.0814,25.7509,25.709,27.429,26.8127,26.6881,27.073,26.8439,25.887,23.6385,26.858,26.421,,,,,,,,,,,,,,,,,,,,,,,,,
20.2758,18.126,18.0481,20.7192,21.5545,20.5682,20.8203,19.3634,19.0824,19.2465,20.9716,23.2817,16.0735,19.1542,19.1987,,,,,,,,,,,,,,,,,,,,,,,,,
24.5326,23.51,24.1483,24.0281,24.0921,23.4526,23.137,24.3876,24.2072,24.2724,24.6598,22.3206,24.1347,24.1391,23.9287,,,,,,,,,,,,,,,,,,,,,,,,,
21.1508,27.4724,25.7172,18.2957,19.7198,16.485,17.1396,19.2242,22.8218,18.0492,26.0141,17.0659,23.6069,21.9401,23.9016,,,,,,,,,,,,,,,,,,,,,,,,,
25.873,26.4099,26.2415,26.3434,26.1936,26.9843,27.4416,26.1842,26.7676,26.0379,26.9254,28.7276,24.1478,26.9826,25.9824,,,,,,,,,,,,,,,,,,,,,,,,,
26.4194,26.9736,26.4696,26.317,26.4205,26.4783,26.378,26.5044,26.4562,24.4295,26.2288,25.9256,26.1176,27.2401,26.9363,,,,,,,,,,,,,,,,,,,,,,,,,
19.7507,20.7015,19.9345,18.395,17.6944,19.4204,19.8927,19.2563,19.3781,19.7446,19.4479,21.5497,19.1459,18.9947,20.0647,,,,,,,,,,,,,,,,,,,,,,,,,
18.6254,20.1018,18.3976,17.83,21.3605,23.7263,22.6973,19.4753,19.0909,16.3318,20.6466,23.644,22.9436,20.2978,19.4654,,,,,,,,,,,,,,,,,,,,,,,,,
19.1762,22.8141,18.2166,18.2074,22.1505,19.1457,20.4572,15.6903,15.6226,18.6478,18.1066,19.0234,22.2153,21.5361,18.0268,,,,,,,,,,,,,,,,,,,,,,,,,
18.9552,20.4244,18.6529,17.6804,20.1171,18.9525,18.5134,20.5165,17.809,17.426,19.6915,20.103,18.1752,15.9197,18.2617,,,,,,,,,,,,,,,,,,,,,,,,,
20.5109,16.9819,21.6195,19.0674,16.3639,21.8487,20.704,16.3569,17.114,17.0788,20.2627,17.2527,20.3329,21.0761,18.6042,,,,,,,,,,,,,,,,,,,,,,,,,
18.3785,19.0595,18.58,19.9134,20.0887,20.0301,18.3461,18.6889,18.0942,18.0529,17.9008,18.784,17.5071,20.2823,20.9537,,,,,,,,,,,,,,,,,,,,,,,,,
23.7713,22.4027,17.3936,16.3359,18.599,27.4272,17.3944,20.8768,22.4377,24.1799,15.9514,24.6776,20.2958,19.1213,18.5121,,,,,,,,,,,,,,,,,,,,,,,,,
19.0937,19.1706,19.8357,19.1098,18.359,17.5176,18.7772,19.8612,18.7018,20.4623,19.4196,18.7625,18.4493,16.5551,18.12,,,,,,,,,,,,,,,,,,,,,,,,,
22.4384,22.6211,23.2148,22.8237,19.5901,21.7363,23.4199,24.4712,23.9537,22.2663,24.5774,25.8788,22.026,21.7439,25.9323,,,,,,,,,,,,,,,,,,,,,,,,,
17.3528,20.3484,17.2248,19.295,16.156,17.1299,18.6522,18.1845,16.875,18.3831,16.5975,19.8981,17.2774,22.1773,18.9003,,,,,,,,,,,,,,,,,,,,,,,,,
22.1062,24.17,21.6205,21.5592,22.0474,15.6363,20.9359,17.4586,20.363,14.9456,18.8576,20.1702,22.3703,21.4096,21.2163,,,,,,,,,,,,,,,,,,,,,,,,,
25.0819,25.2987,25.3037,25.7786,26.9372,25.8842,18.2116,26.2757,26.0891,24.1069,26.2626,22.0571,26.419,25.2789,24.7039,,,,,,,,,,,,,,,,,,,,,,,,,
17.0888,22.1997,21.7907,20.0875,21.4088,19.8972,20.6737,21.1226,27.9707,20.7886,25.8881,18.9827,27.3201,27.1749,25.719,,,,,,,,,,,,,,,,,,,,,,,,,
29.1977,28.7575,29.2204,27.1069,26.3185,28.2439,27.9906,20.2711,21.4922,27.6458,26.1369,27.8615,21.9281,27.918,21.9702,,,,,,,,,,,,,,,,,,,,,,,,,
23.6185,25.1832,24.7465,19.847,21.2551,23.0161,24.4312,24.1999,23.7313,24.1791,25.4353,25.4763,23.7327,23.8621,23.9248,,,,,,,,,,,,,,,,,,,,,,,,,
17.817,22.8694,22.3397,24.5474,22.2971,23.0319,23.307,21.6468,21.8457,22.8381,21.7299,22.7694,22.6012,21.3545,23.0544,,,,,,,,,,,,,,,,,,,,,,,,,
20.8144,19.8171,20.5617,17.3769,17.9107,17.4464,20.6867,17.109,17.5465,15.3046,19.9238,19.9215,17.9228,18.7781,17.9081,,,,,,,,,,,,,,,,,,,,,,,,,
20.6898,22.3,21.9524,16.986,17.8954,16.0933,19.4502,20.5037,17.051,20.7844,20.7534,20.1127,19.2941,21.1367,22.003,,,,,,,,,,,,,,,,,,,,,,,,,
21.5662,21.0359,21.7534,23.116,22.7093,22.7084,21.6814,25.1813,22.1052,22.1243,23.5767,24.234,24.5631,23.0319,19.3116,,,,,,,,,,,,,,,,,,,,,,,,,
21.1928,20.6436,20.0532,20.3751,19.6476,20.4334,20.039,18.2698,18.8119,17.5304,20.5461,20.8995,20.1535,17.6054,19.4629,,,,,,,,,,,,,,,,,,,,,,,,,
17.6058,21.0902,21.2971,15.1251,19.5589,19.3142,16.716,14.9451,20.7299,16.8229,19.4901,19.801,17.4466,19.7007,21.6533,,,,,,,,,,,,,,,,,,,,,,,,,
23.3926,25.1746,24.2643,23.9934,24.1511,23.4412,25.302,24.5161,25.3938,23.9945,24.5001,22.5241,22.2874,21.9075,25.3133,,,,,,,,,,,,,,,,,,,,,,,,,
18.5333,17.9239,18.2198,15.4803,17.0938,18.1223,19.6781,18.0898,15.6051,17.8208,17.6653,16.3064,16.0568,17.2721,15.9019,,,,,,,,,,,,,,,,,,,,,,,,,
22.6523,20.7495,22.5566,24.3695,23.6898,21.4432,22.0054,21.9853,20.1035,16.5796,20.5635,18.3273,22.6166,21.8438,23.7317,,,,,,,,,,,,,,,,,,,,,,,,,
26.1162,26.053,25.3624,30.466,30.1503,29.6095,26.9206,21.495,17.8417,21.612,24.1341,18.5508,25.1505,18.2071,22.1683,,,,,,,,,,,,,,,,,,,,,,,,,
17.6438,18.5893,17.8462,19.9433,19.9086,15.8818,17.7581,14.9611,19.1069,17.2632,17.3265,18.8769,18.2066,15.2246,16.5668,,,,,,,,,,,,,,,,,,,,,,,,,
21.5232,20.1299,20.3271,20.3701,16.0506,19.6953,23.4577,21.5814,21.9965,16.7588,23.4428,26.691,24.0488,21.6619,23.8536,,,,,,,,,,,,,,,,,,,,,,,,,
22.7175,23.7161,23.3665,22.6923,23.5933,23.1041,22.3023,20.9698,21.6244,23.3906,21.9222,23.0235,22.6563,21.7059,20.2123,,,,,,,,,,,,,,,,,,,,,,,,,
17.7697,22.561,22.6865,21.6554,22.3082,21.8833,23.5611,22.8086,22.1518,21.241,23.1875,23.5631,22.4902,21.7476,23.5672,,,,,,,,,,,,,,,,,,,,,,,,,
22.3618,19.6679,19.0674,18.8111,18.2722,17.6771,21.1048,19.3895,19.5325,19.1754,20.35,23.141,18.9476,19.7555,17.6776,,,,,,,,,,,,,,,,,,,,,,,,,
18.1453,16.5807,16.407,19.5268,17.9994,19.3601,17.3667,15.3226,16.4253,15.2869,18.277,18.7892,19.4227,15.5692,18.8929,,,,,,,,,,,,,,,,,,,,,,,,,
22.8644,24.822,23.9291,23.5775,23.5603,23.8787,23.0962,23.6046,23.8891,24.2209,24.3652,24.3143,23.1395,24.5184,24.4647,,,,,,,,,,,,,,,,,,,,,,,,,
