LFQ.intensity.1 Healthy,LFQ.intensity.3 Healthy,LFQ.intensity.5 Healthy,LFQ.intensity.7 Healthy,LFQ.intensity.9 Healthy,LFQ.intensity.2 Stage3,LFQ.intensity.4 Stage 3,LFQ.intensity.6 Stage 3,LFQ.intensity.8 Stage 3,LFQ.intensity.10 Stage3
26.834,27.429,27.843,28.041,24.985,26.705,28.667,26.945,28.597,27.611
24.186,25.151,24.909,25.414,21.960,24.091,26.106,24.742,26.125,24.223
21.317,23.328,21.007,23.230,20.990,22.024,23.337,21.428,24.275,22.356
25.047,25.382,25.548,25.023,23.324,25.237,25.762,24.599,25.485,25.943
21.018,23.848,23.742,21.271,21.016,22.556,24.508,20.011,23.502,25.174
23.436,24.783,24.016,24.958,21.675,22.788,21.905,22.150,24.767,23.566
22.330,22.730,21.494,24.340,21.669,20.696,24.497,21.357,25.684,25.300
21.682,24.190,23.477,24.159,21.656,23.467,24.065,21.940,25.398,24.011
22.521,21.366,23.004,22.385,20.028,21.779,22.929,21.889,22.420,23.404
23.964,24.483,24.138,23.789,20.764,21.059,24.816,21.067,23.965,21.703
21.590,24.909,21.181,24.097,21.099,22.940,24.785,21.986,24.996,22.581
21.276,20.208,24.619,25.206,22.211,21.813,25.563,20.875,27.486,24.157
26.634,26.999,26.410,26.285,25.034,26.215,27.058,21.254,25.590,26.528
24.214,24.232,24.572,24.186,19.905,21.201,24.329,21.280,23.704,21.899
21.936,22.814,20.527,22.198,20.182,21.452,23.835,20.462,24.879,21.311
24.772,24.829,25.020,24.356,20.941,24.595,25.092,23.945,24.593,25.390
20.657,23.495,20.811,21.895,22.138,20.756,23.252,22.239,22.689,23.377
23.887,19.971,20.936,23.583,21.546,21.577,24.443,22.710,20.725,25.227
28.812,28.610,28.452,28.063,26.157,28.179,29.141,28.573,27.961,29.038
27.252,26.367,27.391,27.375,25.306,26.977,27.262,26.507,27.699,27.878
26.113,27.054,27.130,27.649,22.293,27.013,26.982,25.707,27.663,27.224
21.503,21.848,23.186,23.315,20.831,23.217,23.815,20.125,23.951,23.341
24.489,24.492,24.342,23.594,23.401,24.199,23.952,23.460,20.912,24.560
20.558,21.547,19.927,22.752,20.868,22.522,21.706,22.951,20.697,20.891
20.867,25.239,25.423,21.567,21.468,20.525,21.914,24.574,22.134,20.350
25.627,25.104,25.820,25.846,23.772,25.587,26.072,25.082,26.312,25.615
24.131,24.784,24.775,25.220,20.906,24.093,24.951,23.298,26.528,24.956
21.962,21.272,21.830,20.850,21.285,22.244,21.458,20.579,22.644,22.809
27.298,26.043,27.589,27.448,23.715,26.642,27.466,27.379,26.761,27.189
25.435,27.286,26.394,27.603,19.973,25.761,26.561,25.305,27.767,27.038
32.410,32.850,32.611,32.736,30.934,32.159,33.228,31.989,33.748,32.991
21.733,25.253,20.341,23.952,21.980,23.501,26.056,21.293,27.163,21.107
24.719,24.323,25.945,28.178,21.537,25.575,25.526,25.081,28.228,25.197
28.340,22.851,20.901,21.238,22.207,23.794,21.581,20.932,21.210,22.368
23.232,23.639,23.460,23.631,21.963,23.741,23.566,23.019,23.759,24.110
26.955,27.453,27.569,28.066,27.772,26.339,28.595,29.179,27.161,29.497
26.115,26.433,26.303,25.151,25.379,24.994,26.333,24.975,24.708,26.004
24.249,24.877,24.840,20.944,23.661,20.799,24.759,22.878,20.933,24.692
24.712,24.731,25.491,24.701,20.010,24.056,25.788,24.582,24.495,24.910
27.346,26.840,27.373,27.281,25.634,26.833,28.142,26.851,27.008,28.077
24.902,24.715,25.362,25.222,20.997,24.179,25.689,24.932,24.841,25.151
24.316,21.450,24.381,21.067,22.672,20.645,25.074,20.313,21.411,22.067
25.179,26.286,25.891,26.987,20.908,25.029,25.743,24.811,27.691,26.684
29.806,29.325,29.941,30.566,28.204,29.154,30.245,29.136,31.658,30.507
23.875,23.906,24.114,23.738,21.188,23.695,24.129,22.989,23.951,24.968
20.409,22.153,20.658,22.745,21.127,20.580,21.990,21.260,23.785,22.596
25.978,25.415,24.646,25.815,21.056,25.003,25.625,24.145,26.458,25.655
21.605,21.634,22.377,21.085,21.136,20.439,22.694,21.503,22.541,23.354
23.945,20.799,23.917,24.293,21.182,21.606,24.740,23.095,24.837,23.718
23.548,24.579,24.163,24.363,21.434,20.590,24.374,20.722,23.916,24.354
25.070,29.063,26.798,27.875,25.236,26.791,28.628,25.634,30.012,27.203
22.721,22.875,21.435,21.271,21.206,20.473,23.463,21.490,23.325,24.006
25.917,25.991,24.817,25.888,25.263,25.852,26.424,25.148,26.060,26.529
24.001,23.688,24.036,23.328,20.087,23.581,23.809,22.426,24.391,24.342
20.529,25.545,25.431,25.204,22.438,22.423,25.859,24.787,25.049,25.524
21.602,20.848,21.927,20.492,21.181,20.699,23.636,20.374,23.286,21.160
25.518,25.891,25.383,25.408,21.210,24.849,26.345,25.145,26.655,24.291
27.702,26.893,27.625,28.465,25.836,27.280,27.806,28.073,28.270,27.521
26.787,27.137,27.962,29.166,24.524,27.539,27.513,27.279,28.907,27.703
25.780,29.592,28.134,29.178,26.375,28.289,28.612,26.920,30.057,28.809
21.037,24.061,20.701,22.484,21.191,20.573,23.940,22.039,22.403,24.127
25.465,26.032,25.549,24.999,20.162,24.791,26.364,24.330,25.065,26.030
20.879,22.336,22.632,21.050,20.802,22.606,21.998,22.109,22.311,21.064
20.933,20.685,22.722,21.049,20.901,22.269,22.579,19.929,23.426,21.102
26.356,26.016,26.133,26.582,22.526,25.503,26.968,24.383,27.850,26.650
27.010,26.650,26.884,26.363,23.399,26.221,27.269,26.261,26.208,27.362
24.062,22.197,24.186,21.679,22.291,22.961,23.798,23.520,22.554,24.248
22.609,23.166,22.013,23.036,21.397,21.471,21.283,20.646,22.939,23.225
24.352,25.425,25.609,20.996,23.808,24.687,25.093,24.481,23.966,25.361
26.861,26.586,26.136,26.230,25.572,27.429,26.533,26.756,25.627,27.157
20.416,21.171,20.770,26.754,22.396,21.387,21.248,21.218,27.957,26.173
28.357,28.326,28.638,28.079,27.095,27.707,29.281,28.370,28.245,29.014
25.914,26.382,26.454,25.927,21.382,25.824,26.586,25.031,25.749,26.638
25.130,25.399,25.015,24.466,22.070,21.298,25.371,21.705,24.673,25.095
28.958,28.072,28.766,27.994,27.319,28.174,29.274,28.615,28.061,29.076
21.586,23.771,23.429,20.229,21.622,21.941,21.921,21.850,22.058,19.750
22.347,22.931,23.439,23.424,20.599,21.536,24.253,22.947,24.183,22.771
24.324,24.984,24.681,25.726,22.044,24.278,24.725,23.922,25.986,25.828
20.242,20.050,23.239,22.554,21.906,22.243,23.253,22.188,20.402,23.049
26.663,25.698,26.160,26.010,21.964,25.658,26.598,25.177,26.431,25.998
24.086,25.545,24.590,24.832,21.010,24.429,24.810,23.663,25.505,24.880
22.800,23.227,21.510,23.040,21.513,21.136,22.837,21.224,23.152,21.227
20.312,21.528,21.715,21.922,21.977,21.202,24.520,23.284,20.823,20.760
23.048,21.460,20.972,20.339,20.852,19.675,21.941,22.614,22.403,22.979
27.832,27.841,27.945,27.233,26.496,27.372,28.554,27.674,27.300,28.506
27.094,26.530,27.107,26.774,24.024,26.390,27.308,26.867,26.351,27.185
22.166,31.190,30.072,21.781,28.014,29.279,30.440,21.935,29.766,30.232
22.386,21.941,22.526,22.106,20.297,22.075,22.969,19.639,21.106,20.689
23.808,25.273,24.294,23.090,21.792,20.594,24.806,20.772,23.505,24.721
25.259,25.352,25.765,24.832,22.277,25.144,25.732,24.796,25.172,25.244
26.478,26.208,26.245,26.382,25.670,26.188,26.978,26.057,26.595,26.926
25.261,20.834,21.534,20.321,24.794,21.313,24.848,20.302,25.875,25.623
21.820,22.650,22.563,21.184,21.488,22.456,21.140,20.776,21.769,21.509
26.856,26.785,26.983,26.699,26.048,26.684,27.491,26.004,27.591,27.550
21.690,21.516,22.274,22.309,20.198,21.637,22.685,21.840,21.386,22.606
26.573,25.891,26.856,26.208,26.232,26.445,26.660,25.088,25.621,26.044
23.667,23.584,24.046,24.012,22.570,23.633,24.877,23.441,23.946,23.947
20.715,21.918,22.273,22.055,21.695,22.364,21.132,21.673,22.114,23.602
26.894,26.236,27.461,27.411,25.033,27.204,27.350,25.735,27.293,27.865
25.800,26.263,26.070,25.233,24.447,25.764,26.166,25.632,25.857,26.330
21.461,20.625,29.266,22.570,21.596,22.326,30.192,20.308,30.072,21.288
21.133,22.449,21.337,19.952,21.347,21.591,22.637,20.191,21.766,22.472
25.310,25.996,25.912,26.262,23.156,26.142,25.880,25.063,26.346,25.687
21.745,25.851,21.798,25.514,21.313,24.441,24.731,20.529,26.122,25.044
24.581,23.765,24.597,24.394,20.871,24.185,25.273,22.960,24.058,24.718
21.289,23.668,22.776,23.333,20.736,22.481,24.037,21.580,22.730,23.749
24.600,24.274,25.423,23.891,20.640,23.578,25.078,22.927,25.552,25.111
23.457,24.212,24.249,23.853,21.028,23.122,24.693,22.901,24.693,24.123
26.706,27.154,26.787,26.625,23.510,26.413,27.437,26.329,25.927,27.474
27.091,27.574,27.843,27.372,25.914,27.264,28.617,26.876,28.026,27.147
24.445,24.262,23.979,23.627,21.345,23.816,24.597,23.448,24.224,24.007
24.236,24.365,24.002,23.937,21.823,21.017,24.806,21.193,24.245,23.825
20.160,23.629,20.914,20.507,21.000,22.714,22.548,21.459,23.173,19.521
25.341,24.458,20.911,24.257,21.884,24.203,24.201,22.523,25.538,23.776
26.781,27.852,27.287,26.869,25.386,26.815,27.938,26.696,27.111,27.765
19.706,21.264,21.900,22.576,20.616,21.006,21.092,22.390,23.544,20.768
23.242,23.536,23.957,23.862,22.571,21.699,23.941,21.421,23.294,24.304
21.890,22.810,22.036,20.487,20.438,22.023,22.314,21.727,21.359,22.434
21.266,24.171,21.714,23.965,21.841,20.434,23.844,20.206,21.138,23.831
24.783,23.014,23.672,19.970,22.031,21.208,22.870,19.304,21.005,24.917
23.159,22.089,23.240,23.571,20.956,21.200,23.238,21.677,20.772,23.438
19.755,24.551,24.090,23.945,21.710,23.966,23.357,21.937,24.170,24.038
25.533,24.751,25.156,24.768,24.936,25.072,26.352,20.775,24.508,25.159
25.676,25.460,25.926,25.591,23.607,25.424,26.464,25.429,25.494,25.508
21.090,21.882,22.062,20.636,21.495,20.937,20.482,20.251,20.816,22.579
