DMSO1,DMSO2,DMSO3,BEZ1,BEZ2,BEZ3,CRIZO1,CRIZO2,CRIZO3,DASAT1,DASAT2,DASAT3,ERLOT1,ERLOT2,ERLOT3
23039531.61,35133528.03,24793206.05,30314499.54,23796058.96,25242729.19,31532065,33144209.73,27222825.59,,,,32997452.77,36180269.35,22742460.1
,,,5508202.91,4066363.478,2095059.611,,,,,,2269378.833,,,
,17598764.14,,35614594.64,,,,40533463.15,,29440636.71,26847210.71,41057897.3,,27205167.89,
,,,747953.7409,2416022.028,,,,,,,,473838.8546,,
15959581.4,22603845.35,44369593.54,29232493.23,,49679748.41,27463980.41,23577941.97,24958078.4,7676608.339,7252079.3,8870730.38,,27988785.75,49199522.02
46634201.54,36469696.63,63333356.83,52470555.75,51305935.56,56611988.57,,34579088.15,31310188.63,,,,34308770.22,45115216.48,10300496.65
10813836.41,8885455.884,9142655.258,10845136.37,11326672.92,7198672.981,,,,,,,7063468.577,7326826.995,9296497.441
8310808.068,6691945.085,28604984.3,18989114.38,15045722.77,26215850.15,24141866.95,28779067.54,21613872.28,17923962.35,13338853.82,25996231.9,15637777.85,20067431.3,20584223.61
2028966.036,1952007.793,654509.0571,,,5655927.191,,,,,,,,,
,,,2388321.602,2355537.762,3160007.285,,,,,2405329.277,,,,
,,8565323.533,11674481.68,11375855.63,10586074.27,10665623.46,11391477.56,10347989.71,11430539.12,9312406.41,9845218.794,8291862.794,7363209.253,7820994.196
,9295579.97,37984603.36,5562688.968,6037125.037,13403565.77,,,,17975839.26,17792056.92,13877716.45,,,
,,6720506.571,10913605.58,,8842862.713,19644252.39,10485602.51,10790356.21,6714144.808,,6844256.975,7392739.584,12282358.2,8176833.294
22193913.92,26300186.64,33407044.85,41393009.83,37256424.23,33407399.25,,,,26216437.72,21971979.56,31839531.22,,,8380137.104
,,4522859.922,5328640.009,5331405.505,6815479.889,9549883.045,7221439.324,16866839.89,4229142.863,,4978796.805,,,
82793071.95,72958985.17,153488999.6,106975900.6,106255577.2,105376319.4,6533939.384,6955085.387,9731122.432,121431125.4,125501456.6,159914332.2,28086643.85,27349966.85,52535082.83
,5710781.984,,5606277.814,5175695.145,4851642.006,6590587.54,6928412.948,7706372.6,,,,,,
1532181784,1825705248,2368496505,1881745919,1526442885,1565969614,2797132378,2748619516,2914656723,1697158056,1494625028,1334355384,1182607671,1667134830,1743358886
32719594.82,36871983.95,57178576.37,41642777.77,38822945.79,48837706.7,34965192.24,43642778,36134829.18,50265790.87,47313265.04,80756021.11,33318073.92,29748275.55,34260712.12
,,37871401.06,20955434.23,22260930.62,29366738.87,15868746.19,16345512.62,22394657.39,,10192669.29,,33378046.22,33736939.13,36649819.04
30737880.09,5597410.103,49449427.8,29075303.36,30403284.83,38565082.82,17846244.08,16608532.5,16878598.7,8361970.857,8236465.495,11794577.85,26036052.43,31886189.49,35135952.25
802174883.2,913113849.7,1199278474,1180949138,1019159881,1003967326,1227272956,1299170040,858945937.8,838389619.3,746862811.9,918797901.1,911267601.8,1089228826,1711886997
139623744.5,91833836.04,386067403.7,182484897.4,177601896.5,303206253.8,161167115.6,212959666.5,233635835,104106194.6,88691616.47,217678427.8,103745163.3,145723718.9,284809111.5
32346490.22,31573024.02,20407806.06,43419119.69,40488879.21,24588045.32,24879537.99,23829848.34,17807544.84,61567127.11,54538477.53,19015806.46,50417099.98,58686163.68,16778881.67
31006412.12,6991831.997,66181488.62,116137273.1,135796595,83185457.1,87585726.35,87265798.65,49822086.31,175784425.4,129860107,60419619.44,128825118.8,137753692.5,50059830.23
,,,13391997.94,18137954.7,,10468496.18,11751061.55,,13074939.33,18260208.26,,13346143.91,15768484.24,
280628879.6,290979120.9,394115231,397439627.7,370136500.2,441160041.3,315206523.7,318834430.6,359114117.5,455058395.3,386409345.1,429699892,368426000,356485286.6,423905673
15134620.03,12941112.89,47672437.09,30397434.07,28129369.43,38095619.63,24742586.41,29318690.49,32025124.4,22587990.34,22948640.11,43152502.72,17993997.35,21853690.64,47431812.62
27684619.29,36259410.07,37057105.53,29406077.13,37846616.72,42189709.05,44823631.36,49484783,40851288.66,42661418.68,37860297.92,40062195.28,43858206.07,35064465.66,34582322.66
340144872.4,395782804.7,494874789.9,115269353.6,174818364.5,359192766.3,580954849.9,819473637.4,563964380.8,379582383,,394601873.3,85030344.97,441296101.6,405723191
,,11248883.92,10961823.33,,12760280.1,14718145.37,17444515.88,14652655.59,10812910.23,10517377.21,,,,10730995.34
,,4662222.416,,,,5410728.882,,,10624978.77,6916993.639,,8487580.096,9529596.269,
,,4713306.143,,,,,,,,,,,,4916276.653
2322156.534,2501495.702,3929546.696,,,3163925.414,,,,,,4287061.011,,,
,,,19501186.89,,,21752476.8,,,,,30740627.84,15427874.79,,
57339334.13,93572291.96,96840286.06,87954962.47,91832486.63,82572804.08,95297553.12,18627487.94,90324138.25,122899339.9,93858577.4,127902798.8,89188040.17,26560265,112011210.4
,7486593.156,11915731.07,10910712.51,9082162.502,,9406498.885,10822465.53,9235841.272,9902617.249,10877600.06,11170591.84,5837842.313,6809809.559,10542738.31
,,10198670.99,9583084.979,,,,,,11463818.64,11096916.28,9397821.779,14476391.15,13124382.36,
,,5629769.125,,,3611304.596,,,,7090203.476,5651140.101,6329874.632,6217282.457,6751038.219,
6026607.503,4887137.88,6111687.484,5431054.51,5552727.689,5302725.602,5755494.123,7138952.338,7454381.259,4511529.448,,,,,
36676569.17,42596741.5,121440382.3,111932685.3,89893432.22,90437559.13,112642678.9,121286741.3,77391796.85,74325910.92,86112171.8,97458397.05,81573864.39,104431681.5,94691333.88
