LFQ intensity IN_1,LFQ intensity IN_2,LFQ intensity IN_3,LFQ intensity IN_5,LFQ intensity IN_6,LFQ intensity PD_1,LFQ intensity PD_2,LFQ intensity PD_3,LFQ intensity PD_5,LFQ intensity PD_6
25073000,31335000,18230000,38292000,20687000,0,0,0,0,0
9477400,0,0,28266000,14680000,0,0,0,0,0
88763000,143610000,66983000,113650000,78493000,0,0,0,0,0
967070000,1403900000,1426000000,1518900000,226720000,84524000,21782000,21374000,41746000,20141000
54174000,34770000,33046000,27427000,29263000,0,0,0,0,0
14460000,7145800,11183000,17991000,14045000,0,0,0,0,0
382280000,404890000,484580000,573420000,707380000,0,0,0,0,0
0,0,0,0,0,18667000,40158000,20098000,0,20910000
224360000,74820000,112530000,167290000,186900000,0,0,0,0,0
56275000,37021000,38797000,58670000,30908000,0,0,0,0,0
637960000,743150000,914750000,893320000,816160000,0,0,0,0,0
4304400000,4057800000,3716800000,4269000000,4633400000,285260000,273450000,281730000,75849000,244920000
278320000,157650000,237790000,153340000,393350000,0,0,0,0,0
125900000,116230000,93806000,78772000,82704000,0,0,0,0,0
35011000,100670000,148730000,164490000,147480000,26770000,11329000,19773000,34545000,0
398030000,395020000,379550000,305700000,280670000,233490000,255610000,95332000,208200000,108030000
0,0,0,0,0,403880000,527110000,680250000,284740000,625480000
0,61272000,39582000,31069000,135350000,0,0,0,0,0
1155400000,1620900000,853330000,236740000,1044200000,0,0,0,0,0
361430000,410210000,248900000,386920000,380910000,0,0,0,0,0
157080000,152990000,72812000,137430000,88039000,0,0,0,0,0
146220000,313060000,261820000,355430000,680640000,0,0,0,0,0
1121700000,948440000,1071300000,1536400000,1016600000,0,0,0,0,0
10841000,0,6698200,0,0,0,0,0,0,0
1974000000,1454800000,1435500000,2115800000,1383000000,0,0,0,0,0
73275000,74518000,90522000,108910000,94940000,0,0,0,0,0
22778000,29315000,27471000,16494000,48127000,0,0,0,0,0
414030000,460880000,437040000,417970000,436880000,0,0,0,0,0
1123300000,1413800000,791290000,935930000,1051100000,0,0,0,0,0
610950000,582620000,599010000,611720000,505770000,0,0,0,0,0
887500000,1189500000,838130000,1638000000,1047100000,0,0,0,0,0
272750000,264970000,257430000,225210000,282300000,0,0,0,0,0
247800000,176200000,396860000,258690000,322490000,66841000,194720000,26446000,0,143830000
289480000,500900000,390270000,467200000,321150000,0,0,0,0,0
776410000,1057800000,1065500000,754800000,706090000,0,0,0,0,0
23190000,23400000,12485000,14356000,0,0,0,0,0,0
94316000,62559000,63054000,114320000,107710000,0,0,0,0,0
5889700000,5358700000,6559200000,5870900000,5795700000,0,0,0,0,0
348930000,515060000,408720000,516430000,376220000,0,0,0,0,0
812310000,748890000,802400000,617820000,740260000,0,0,0,0,0
285470000,381050000,239640000,318390000,295180000,0,0,0,0,0
0,0,53493000,0,0,0,0,0,0,0
63387000,42659000,59421000,47414000,41002000,0,0,0,0,0
1199800000,1058500000,1320900000,1128200000,1085600000,0,0,0,0,0
2481700000,2915900000,2064700000,2644000000,2404600000,0,0,0,0,0
1776200000,1199800000,924410000,99914000,66834000,1317500000,1024400000,1394900000,2273500000,4453800000
105580000,67985000,36412000,75609000,43604000,0,0,0,0,0
2553900000,2260100000,3482800000,2198200000,2558700000,496110000,401000000,575020000,317560000,569150000
3781000000,5034300000,2557200000,6401600000,3999200000,100130000,121080000,29826000,35938000,104850000
58073000,44325000,33252000,43058000,39067000,0,0,0,0,0
206910000,273820000,297980000,312180000,217350000,0,0,0,0,0
42651000,27431000,19610000,16258000,18143000,0,0,0,0,0
15897000,12532000,24923000,0,0,0,0,0,0,0
222050000,170400000,284650000,92890000,151280000,180080000,157620000,195090000,153970000,119950000
56674000,133170000,76139000,119680000,145120000,0,0,0,0,0
2045500000,2251200000,1139800000,3200700000,2437900000,33824000,44075000,44157000,31432000,43000000
0,0,0,0,0,18655000,17644000,36904000,0,0
22282000,23582000,21965000,27988000,16500000,0,0,0,0,0
42950000,65090000,67541000,103600000,14737000,0,0,0,0,0
42510000,85680000,164900000,105430000,176680000,0,0,0,0,0
611760000,782040000,618990000,766500000,1071500000,0,0,0,0,0
62321000,54486000,75554000,69058000,0,0,0,0,0,0
238420000,321530000,361450000,491170000,252090000,0,0,0,0,0
12852000,15045000,11265000,8863500,22161000,0,0,0,0,0
69737000,60413000,40729000,44923000,48790000,0,0,0,0,0
0,0,0,0,0,138520000,173640000,130570000,178050000,99245000
21213000,20248000,25179000,21950000,17379000,0,0,0,0,0
160420000,89230000,143030000,68640000,109250000,0,0,0,0,0
0,0,0,0,0,60994000,50763000,79370000,89327000,115090000
141060000,422930000,192540000,1035900000,812060000,786110000,15194000,2109500000,1748100000,61135000
355420000,491510000,460160000,454040000,299870000,0,0,0,0,0
342320000,333330000,290850000,272700000,248110000,0,0,0,0,0
4357300,3482700,4410500,0,4926800,0,0,0,0,0
0,0,5692700,0,0,0,0,0,0,0
6236500,8135100,6444000,11471000,8583600,0,0,0,0,0
5817800000,5435900000,5372000000,5362800000,5133900000,346710000,245630000,205420000,448150000,402650000
0,0,0,0,0,249160000,267370000,257260000,337650000,260260000
193490000,179030000,246260000,147240000,203730000,68138000,82775000,57619000,0,48349000
3496900000,771670000,2223300000,695430000,769940000,232180000,299410000,273580000,0,123370000
418210000,484560000,537420000,436320000,643960000,217820000,152500000,116500000,76405000,73500000
124730000,89451000,83063000,116220000,131040000,0,0,0,0,0
143410000,112240000,142720000,155780000,51688000,0,0,0,0,0
0,8999600,0,0,10010000,0,0,0,0,0
66847000,64894000,66110000,37937000,56202000,0,0,0,0,0
86556000,70172000,51236000,103670000,27370000,0,0,0,0,0
111200000,99501000,81960000,88201000,75480000,0,0,0,0,0
2818200000,3631800000,3149400000,3547900000,3762900000,207120000,134920000,133480000,100350000,214380000
0,68369000,27874000,109930000,144420000,0,0,0,0,0
4685500,0,9139700,5187100,6769500,0,0,0,0,0
79900000,73905000,0,68442000,53316000,0,0,0,0,0
2228900000,1446700000,1676000000,600040000,1187500000,259500000,274150000,448830000,1144600000,270510000
18172000,17833000,24337000,16533000,7570200,0,0,0,0,0
29966000,28213000,27100000,51604000,75680000,0,0,0,0,0
12883000000,17521000000,14821000000,12429000000,7010000000,570640000,323920000,653750000,91540000,185170000
99269000,95620000,55007000,52240000,64555000,0,0,0,0,0
72000000,0,61815000,55180000,187390000,0,0,0,0,0
1134300000,819610000,794790000,1033700000,941710000,384780000,513170000,221830000,255080000,637510000
0,0,0,0,13755000,0,0,0,0,0
1105900000,1113200000,835030000,1003300000,958310000,0,0,0,0,0
242430000,292610000,329600000,204600000,348260000,0,0,0,0,0
56928000,67351000,25621000,69089000,49497000,0,0,0,0,0
724440000,347570000,396420000,967970000,597200000,45542000,230700000,271270000,41161000,34934000
122510000,87895000,108640000,81413000,68338000,0,0,0,0,0
50669000,48548000,43207000,52089000,48804000,0,0,0,0,0
79917000,76382000,58328000,49452000,49872000,0,0,0,0,0
72756000,0,119050000,22456000,0,12012000,18060000,14684000,20653000,20092000
18998000,13662000,22419000,12765000,15083000,0,0,0,0,0
591350000,429640000,577840000,583650000,721300000,0,0,0,0,0
21511000,30636000,32929000,54086000,43752000,0,0,0,0,0
75105000,70516000,58118000,86669000,48319000,0,0,0,0,0
8315400,6043900,12499000,2805900,0,0,0,0,0,0
46433000,52286000,28222000,35454000,39300000,0,0,0,0,0
30959000,17495000,14976000,20552000,26255000,0,0,0,0,0
292150000,196700000,249870000,209720000,162960000,0,0,0,0,0
28049000,27639000,36834000,0,21724000,0,0,0,0,0
689540000,471220000,813140000,953900000,805610000,114790000,51893000,71519000,34971000,72427000
324570000,380630000,434190000,401640000,361810000,0,0,0,0,0
50273000,73541000,69337000,80973000,59473000,0,0,0,0,0
45201000,57629000,52877000,70139000,57992000,0,0,0,0,0
19995000,31525000,18642000,10924000,8479200,0,0,0,0,0
0,0,0,0,0,28487000,29595000,34280000,27298000,34938000
206860000,168470000,198250000,231010000,177430000,0,0,0,0,0
7716300000,5316200000,4715700000,5303500000,5879400000,3431900000,1911300000,2300900000,2753900000,2483600000
582870000,582430000,464140000,1003500000,795370000,2007400000,1830400000,3140800000,1595500000,3230100000
43281000,39905000,43070000,51524000,40715000,0,0,0,0,0
408980000,376830000,287280000,335680000,429400000,0,0,0,0,0
356480000,303540000,369500000,89071000,143850000,355790000,228920000,383090000,141400000,310640000
2376100000,2045600000,1935400000,2237600000,2054800000,0,0,0,0,0
5018200000,5671000000,4679100000,5654700000,4517600000,34513000000,37051000000,40839000000,34611000000,25424000000
130630000,426220000,363100000,329210000,844510000,0,0,0,0,0
176510000,627740000,413340000,260360000,213980000,0,34952000,60323000,0,0
100130000,113220000,127840000,127950000,160970000,0,0,0,0,0
331400000,460180000,496070000,282570000,212320000,0,0,0,0,0
18914000,71998000,44480000,130270000,177140000,0,0,0,0,0
59930000,68574000,65917000,119450000,110550000,0,0,0,0,0
351720000,335760000,399470000,707210000,460400000,69730000,95504000,274030000,0,307690000
35967000,38028000,50765000,39338000,80113000,0,0,0,0,0
0,0,4643100,0,0,0,0,0,0,0
27557000,54254000,81049000,0,32673000,0,0,0,0,0
940320000,659290000,703390000,866070000,418930000,0,0,0,0,0
135900000,88646000,292700000,31057000,101050000,0,0,0,0,0
53498000,65760000,58101000,72450000,39488000,0,0,0,0,0
3711900000,3550200000,3862500000,4779900000,4238100000,3916900000,3681400000,5106200000,3773400000,5910500000
107970000,197080000,128960000,301720000,234170000,0,0,0,0,0
4028700000,5477200000,3477400000,1801300000,6146500000,740610000,1157500000,807950000,202090000,2568600000
