Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
ND,ND,ND,0.1165,ND,-0.4297,ND,ND,ND,-0.7571,0.6252,ND
ND,ND,ND,0.1500,0.1362,-0.1719,ND,ND,ND,ND,ND,0.2292
ND,ND,ND,ND,0.2869,ND,ND,ND,ND,-0.4466,-0.8478,0.3672
ND,ND,ND,0.1392,0.5715,0.2729,ND,ND,ND,0.1279,ND,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.2697
ND,ND,ND,0.1946,ND,0.5943,ND,ND,ND,ND,0.2878,0.1854
ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1885,ND,0.3437
ND,ND,ND,ND,ND,0.9875,ND,ND,ND,ND,ND,-0.2129
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1843
ND,ND,ND,2.1931,ND,-2.5313,ND,ND,ND,-0.3521,ND,ND
ND,ND,ND,-0.1185,ND,0.2245,ND,ND,ND,-0.2221,ND,ND
ND,ND,ND,ND,0.1715,ND,ND,ND,ND,ND,ND,-0.1844
ND,ND,ND,0.8425,ND,ND,ND,ND,ND,0.7197,-0.3568,-0.3381
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.7465
ND,ND,ND,0.2382,0.6220,ND,ND,ND,ND,-0.1648,ND,ND
ND,ND,ND,0.4528,0.1362,-0.5719,ND,ND,ND,-0.1893,ND,0.1663
ND,ND,ND,ND,ND,0.5637,ND,ND,ND,0.7553,ND,ND
ND,ND,ND,0.1472,ND,ND,ND,ND,ND,ND,ND,-0.3990
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1974
ND,ND,ND,0.7585,0.4562,0.1174,ND,ND,ND,-1.7287,ND,0.6848
ND,ND,ND,0.2228,ND,0.4546,ND,ND,ND,-0.5670,-1.9562,0.6198
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,-0.3441
ND,ND,ND,0.1743,-0.2385,0.1822,ND,ND,ND,-0.1950,ND,0.4726
ND,ND,ND,-0.9456,ND,ND,ND,ND,ND,-0.2588,ND,ND
ND,ND,ND,ND,0.1959,-0.3117,ND,ND,ND,ND,ND,-0.9312
ND,ND,ND,ND,ND,ND,ND,ND,ND,0.2219,0.2616,-0.2836
ND,ND,ND,ND,ND,ND,ND,ND,ND,0.9490,ND,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,-0.7999,0.2173,0.1564
ND,ND,ND,0.4237,0.2228,ND,ND,ND,ND,-0.2117,0.1666,0.2159
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.2994
ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1254,ND,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.1598
ND,ND,ND,ND,0.2417,ND,ND,ND,ND,ND,ND,0.1961
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.4156
ND,ND,ND,ND,ND,ND,ND,ND,ND,-0.2565,ND,ND
ND,ND,ND,0.6885,-0.5699,ND,ND,ND,ND,ND,0.6812,0.8144
ND,ND,ND,0.2864,ND,-0.3632,ND,ND,ND,0.3833,ND,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,-0.2198,0.2155,0.3878
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2.5564,ND
ND,ND,ND,0.9195,0.9699,0.1138,ND,ND,ND,-0.7912,ND,ND
ND,ND,ND,ND,0.1487,ND,ND,ND,ND,ND,-0.6896,ND
ND,ND,ND,-0.2352,ND,ND,ND,ND,ND,ND,-0.1111,ND
ND,ND,ND,0.1222,ND,-0.1288,ND,ND,ND,-0.1553,-0.6437,ND
ND,ND,ND,-0.4920,0.2763,0.4619,ND,ND,ND,ND,ND,0.7997
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.4315,-0.1638
ND,ND,ND,-0.3169,0.3585,-0.4270,ND,ND,ND,-0.1178,ND,ND
ND,ND,ND,ND,ND,0.3352,ND,ND,ND,0.2235,ND,ND
ND,ND,ND,ND,ND,0.5332,ND,ND,ND,ND,ND,0.1970
ND,ND,ND,-0.6215,0.4344,ND,ND,ND,ND,ND,ND,0.1957
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,-0.2355
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,-0.1547
ND,ND,ND,ND,0.2829,ND,ND,ND,ND,-0.2837,ND,ND
ND,ND,ND,ND,ND,ND,ND,ND,ND,0.4387,ND,ND
ND,ND,ND,0.3671,0.2124,ND,ND,ND,ND,ND,ND,0.4947
ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,-1.7869,ND
ND,ND,ND,-0.1733,0.3237,0.7861,ND,ND,ND,ND,ND,ND
0.6922,ND,0.4178,ND,ND,-0.1849,0.2534,ND,0.2174,-0.2289,ND,0.1672
0.5289,ND,ND,ND,ND,ND,0.1256,ND,ND,ND,ND,0.1458
0.5200,-0.4787,0.8349,ND,ND,0.8365,-0.3657,-0.6222,0.7224,0.5813,ND,ND
0.4927,0.5747,-0.1148,0.1596,0.1416,-0.2239,0.5611,0.4858,0.2652,0.9194,0.2699,-0.3641
ND,0.7553,0.1952,0.2378,ND,ND,ND,0.2383,0.1254,-0.5935,ND,0.6657
0.4393,0.4429,-0.3429,0.2639,0.3638,0.1296,0.2344,0.2924,0.3497,ND,ND,0.2896
0.4191,ND,ND,-0.2343,0.6753,-0.3820,0.9879,ND,ND,ND,ND,0.7662
0.8376,0.3682,0.2920,-0.1434,ND,0.7129,0.3489,0.4994,0.4844,0.1534,0.3882,0.1562
0.3568,0.5145,-0.4950,0.2267,0.2269,-0.2238,0.1459,0.4224,-0.2187,0.3717,ND,ND
0.1156,0.5836,ND,0.8794,-0.5586,0.3178,0.2220,0.5234,ND,ND,0.1795,ND
-0.1487,0.7912,0.3252,ND,ND,ND,0.1551,0.6852,0.2479,0.7168,-0.5435,ND
0.2782,-0.7385,0.3464,0.1644,-0.1919,ND,-0.4762,-0.4165,0.5519,0.5829,-2.3213,0.7594
0.2754,-0.3124,0.9538,ND,ND,ND,-0.3422,0.1478,0.5148,0.7550,ND,ND
