Raw Abundance 35,Raw Abundance 45,Raw Abundance 50,Raw Abundance 55,Raw Abundance 60,Raw Abundance 75
1238.1,1284.6,1059.8,370.5,282.2,84.6
12939.4,14019.5,12953.7,10323.8,8802.8,7619.9
3418,3105.1,3088.6,1389.3,881.9,560.9
11980.5,12604.7,11435.7,8757.1,8161.4,7241.6
4590.9,4753.7,4157.1,2034.2,1035.3,375.4
1278.1,1211.3,1172.2,670.8,459.2,247.8
1622.1,1579,1403.8,686.2,429.2,190.5
13739.9,14272.1,11827.9,4238.5,2837.8,835
21017.2,22900.8,21107.1,11478.3,4989.3,2189.8
206178.9,211212.7,172592.3,66914.1,42557.2,11373.8
2056,1820.8,1789.7,783,463.6,199.6
4141.6,3469.3,3653.9,1834.4,1616.7,1427.2
86983.2,87846.5,79509.4,52029.6,54661.8,45832.6
94838.4,102204.9,94816.7,67907,64441,7185.5
98522.9,90285.7,75488,27152.6,18482.2,4847.8
48725.3,50726,45060.1,24390.9,14454,4388.6
576,525.9,592.5,258.1,164.1,94.2
7928.2,7123.1,6659.3,2964.3,2040.3,1134.6
1844.9,1971.8,1491.2,587.6,409.3,91.1
10032.8,10180.6,8821.2,4880.1,4404.3,3331.2
102055.2,105970.6,87245,29897.8,18609.9,7340.8
13490.5,13204.3,10918.7,4249,2938.7,1001.9
1853.3,2166.4,1762.5,798.2,544,226.7
9798,8340.9,9213.4,6009.7,5606.6,632
29897.1,32151.6,29680.1,18632.8,16931.4,12288.8
18380.7,21552.1,21443.6,16270.8,11997.3,6146.4
6418.5,6779.6,6021.4,3239.9,2076,1033.1
33404.9,33125.5,28781.4,13613.1,9678,4708.5
3990.4,4115.4,3536.7,1406.6,978.3,315.2
79604.7,110253.4,119041.4,48204.5,33533.1,9162.7
312.2,252.2,331.8,270.2,254.5,31.6
22517.8,24336,22152.4,14796.2,13935.6,2511
239144.1,230874.4,191701.3,72499.1,47660.3,16052.5
10152.9,10483.5,9169.3,3757.3,2481.2,849.5
700702.8,812345.7,675672.6,241251.1,163254.3,34515.9
45998.1,53192.1,43952.5,28368.8,23784,2981.9
73415.4,81056.2,74122.3,52866.1,52490.6,24705.8
602.5,631.2,537.6,330.8,186.6,56.4
379.6,465.2,365.5,139.6,80.1,31.1
624.9,682.7,623.3,369.1,328.4,243.2
13568.6,14067.6,12776,6839,4151.2,1362.6
7533.4,7985.1,7789.5,4165.3,2140.2,1212.8
59392.3,60355.9,57908.6,38696.2,35115.5,4844.7
2175,2355.7,2320.9,1200,1005.1,565.6
3889.1,3950.8,3399,1400.6,1018.1,352.6
16045.4,15376.3,14754.9,7379.3,5080.4,1830.3
910.4,851.6,809.1,393.9,313.7,171.9
19082.4,17517.5,17583.9,8103.3,5150.7,2214.4
8217.3,8427.9,7352.8,3342,2354.9,782.3
7857.9,7336,7186.5,3312.4,2256,891.2
2707.4,2613.8,2532.7,1199.5,901.4,431.4
129.1,99.1,115.8,60.3,38.8,16.2
9615.1,10297,9150.2,5692,2626.1,859
21077.7,21955.5,22259.2,9452.5,6551.3,3114.3
48040,49037.8,42598.8,20162.3,10798.2,3685.4
2021.2,2212.1,2051.7,1130,952.6,627.2
2741.1,2533,2305.5,1288.7,1056,719.8
1115,1431.3,979.5,441.4,350.3,101.5
10440.7,10227.6,10743.5,7660.4,7327.1,5721.3
2089.6,2185.4,2913.3,1392.9,912,281.8
6338.9,6292.4,6077.7,3977.3,3670.6,2667.9
