Reporter.intensity.0,Reporter.intensity.1,Reporter.intensity.2,Reporter.intensity.3,Reporter.intensity.4,Reporter.intensity.5,Reporter.intensity.6,Reporter.intensity.7,Reporter.intensity.8,Reporter.intensity.9
16288,52869,20040,21850,15547,65736,16253,22984,15429,69221
256970,402766,280111,196940,224779,340700,257619,194101,224016,341547
31429,96598,41578,57996,54855,101695,34106,55500,57534,94564
479090,570645,501608,523476,518701,604380,480335,525589,506008,586484
244197,127551,205138,365637,207439,166736,248000,369995,213151,156397
238055,185380,278396,211113,290347,232159,240813,206910,304650,245277
1099745,981720,1003077,834991,881577,797553,1053327,802675,925298,833011
337478,351019,334831,362946,332456,372633,327811,341602,333362,333386
73235,180679,93904,118524,73770,147919,72025,120305,78250,160527
90580,132495,93257,140761,136180,144109,103893,144364,134206,149676
37795,20694,28849,33576,34831,24810,36989,36521,36313,27497
267765,140584,222687,367248,259440,176462,266543,370930,265320,173969
266832,336536,277390,400808,464872,352229,280738,391560,448496,331686
7652,8016,7172,12111,8441,8684,6891,11130,10136,9460
174733,155450,145624,204893,151376,173338,169638,197178,160518,179009
1537,6878,4000,1734,6065,5019,1928,2010,3242,3888
165418,137010,126666,290964,198004,134597,174145,291634,217477,134615
162745,128874,192698,122937,113199,193722,163881,129173,111015,190591
302923,179948,302506,263689,228771,195044,300095,257612,222890,198582
75610,60355,82128,88423,60130,67303,77437,85923,65394,64710
59262,113175,88296,55900,63989,105662,59381,55147,56948,105481
171060,155496,162727,200991,106624,165159,167831,197479,109593,163938
31426,21202,31990,40605,24446,24493,32874,41932,24427,22423
24246,71916,30875,25670,36578,102694,23704,24413,37227,96959
204239,79699,105592,109500,45167,58570,175128,109628,44185,58294
16985,26216,21157,25616,16048,21895,18701,28145,18817,22930
69360,65663,73711,79642,114848,66527,72986,79816,113514,71080
11720,12182,14015,11647,11554,10590,11898,11338,11608,11265
187723,154371,162735,193886,153928,158968,176130,193769,149308,155917
936602,1065648,937727,804085,926567,1161723,942107,828504,928261,1175728
9946,7375,8143,8045,6385,6981,8796,7095,7686,9588
175803,140920,198367,298181,152428,215614,171723,302663,154681,223484
4968,30324,10815,41234,8689,27991,6181,44152,8811,28648
98621,89057,99520,151581,114937,82166,100826,163447,96320,74726
94698,80493,100798,72274,77135,100421,90365,75502,75241,104041
120057,56083,30131,18760,87852,34905,118555,19186,90819,35946
161585,118372,88331,101240,85526,147165,139183,91182,83325,120023
30520,26883,39649,30538,27439,33910,31102,35194,26917,37607
22298,19549,22752,23412,21620,24486,23469,25620,20498,23728
27674,34005,31008,39710,31665,41923,28556,35870,32641,41658
6083,12893,5430,11607,16608,8175,6932,12032,16300,8813
305494,411644,400408,512367,291946,403939,300443,514278,305164,414675
16404,12658,18189,15220,18206,14743,17582,13003,19842,15863
130953,82686,81984,73887,81477,83194,123737,76193,85732,85129
547746,564866,451367,615320,589056,482380,535121,589411,579462,463680
8106,9618,10562,9863,7624,11067,7423,9780,8276,10679
136436,92148,113133,121615,167276,123431,144186,127001,166098,120593
260781,175596,174694,129596,129397,192625,250779,127946,127934,193031
56117,47012,63360,43430,48011,49594,52567,43589,47643,52238
30644,19270,30863,28242,37408,24298,31636,30325,37806,23903
7592,12777,8675,7597,9167,13466,7718,8104,9344,13326
19107,16717,18698,16322,15821,16361,20203,15161,15922,16767
6841,4569,8375,6073,10274,5120,6439,5901,11025,5304
146468,110183,114156,150939,150144,127486,147809,159857,147638,130454
52022,47049,39554,30303,43560,58388,52162,29156,46160,56678
39044,68504,54785,64363,82673,47828,42301,61449,85258,51513
15162,12487,20581,18019,13001,15336,15003,16014,14178,15199
15824,12112,15373,21684,12295,12971,15856,22803,12341,12781
17432,24602,15719,22810,25870,26826,18107,21904,26912,24912
32078,75958,14040,36422,33741,72022,27252,30386,29443,46247
912136,1390520,899935,799140,1342437,1022140,938732,772483,1358455,1090419
157558,228341,184466,184890,240451,227888,170383,189677,246871,237576
188360,186853,181500,149216,186533,199521,193065,156881,185842,200112
344633,144564,313774,268699,191399,187247,338561,273236,176893,176139
577785,535354,568156,563629,542904,516742,558022,543485,524784,490223
700720,656813,733560,998064,851495,696583,726866,1000225,879450,688235
12635,16854,15641,12511,19168,14879,11501,11568,19091,15342
465418,427183,507443,510988,461774,541308,472791,515817,487469,552850
23638,12039,20744,14268,42463,16519,25431,14708,42035,16551
10597,8235,7300,12628,9331,9930,9911,9781,7979,9135
5658,5375,7443,6911,6649,4768,5453,6917,7366,4399
4766,4393,3317,7142,4733,4958,5315,7250,4504,3833
39618,26024,41407,61774,57634,34874,43396,68098,60955,35288
11833,7812,10200,9294,3726,8286,11928,9674,4750,8752
83362,83723,97167,85229,101311,76415,84871,84631,100072,75867
65757,26600,51109,41342,30424,28537,66237,38465,33066,30774
77165,48968,73762,64584,63193,53387,81915,72908,66556,53933
16550,23390,16393,17444,23122,23392,17240,17568,22665,25264
32850,25134,27725,29704,37083,29573,32609,29249,37487,26480
62464,28415,39668,20973,55156,26197,52557,20433,57317,26535
33105,50821,30196,54182,31182,43454,30856,51145,31919,41222
269164,263215,343580,252365,309753,368597,275844,256838,304482,359249
113197,72245,82459,65288,68226,90146,109125,63943,61667,86134
14130,26587,9158,11223,9369,29567,12469,10659,9570,31010
68048,88286,65173,69772,91265,119003,70080,72536,101395,126954
178942,194072,192961,286783,196792,215105,173390,288045,203353,216594
373092,375308,376464,419125,348168,448449,368252,416293,353007,431577
