Abundance Sample AM 36_1 (FFPE),Abundance Sample AM 36_3 (FFPE),Abundance Sample AM 37_1 (FFPE),Abundance Sample AM 37_2 (FFPE),Abundance Sample AM 36_4 (FF),Abundance Sample AM 36_5 (FF),,,,,,,,,
4789636.688,820952.125,2815667.25,7806463.563,3608089.75,3776460.125,,,,,,,,,
783109.8125,1075629.375,0,0,0,0,,,,,,,,,
829090,3951895.203,0,0,2162442,1462768.375,,,,,,,,,
32632832.5,62294750.66,28710783.56,42027541.94,80743703.97,76249309.38,,,,,,,,,
18444749,43240361.63,44035006.44,69868384.63,115476099.9,55236422.38,,,,,,,,,
2015324,4562866.625,5050474.656,10868687.81,10452094.38,6825404.063,,,,,,,,,
12686921,7098411.25,14631277.91,13118912.16,2600051.5,10988511.81,,,,,,,,,
43088952.75,166553565,25173495,84417300.75,26797578.25,32517373.91,,,,,,,,,
5141903.688,10710101.25,20447852.94,20768603,9190434.75,14973563.88,,,,,,,,,
14557054,18525731.13,6901304.5,18206962.25,23406299,30433763.94,,,,,,,,,
9567375.125,10600554.91,11969425.34,25618848.06,105357277.5,65466894.69,,,,,,,,,
553920.25,0,0,2793819,6716183.5,21445302,,,,,,,,,
11955404.75,12506823.25,12310905.25,55480365.5,28105252.5,20666645.44,,,,,,,,,
25897100.52,22847700.31,29010227.63,3763333.625,36587335.75,31081080.2,,,,,,,,,
20708787.75,31370616.13,22745408,33557217,49643229.39,38870443.25,,,,,,,,,
376643.125,0,0,0,1516459.313,1758780.125,,,,,,,,,
385231.0938,55964695.75,31423651.75,69489918.94,1761748.875,5567820.25,,,,,,,,,
10622904.5,1945516,2234806.5,2300026.75,3973792.75,5046974.125,,,,,,,,,
1659959.75,0,0,0,3993334.375,2249133,,,,,,,,,
966988.5625,1017325.125,0,414435.875,1004689.625,1269847.125,,,,,,,,,
29599397.75,0,21608098,0,0,29689860,,,,,,,,,
11778965,16464112.63,35904351.25,40866965.94,9754085.625,20710188,,,,,,,,,
