Intensity A1,Intensity A10,Intensity A11,Intensity A2,Intensity A3,Intensity A4,Intensity A5,Intensity A6,Intensity A7,Intensity A8,Intensity A9
0,6.54E+07,3.74E+08,0,1.06E+08,1.68E+08,3.80E+08,4.72E+08,6.63E+08,4.50E+08,3.58E+08
2.84E+09,3.33E+09,1.43E+09,3.13E+09,2.48E+09,3.16E+09,8.17E+08,1.77E+09,1.37E+09,2.10E+09,1.41E+09
9.51E+07,1.45E+08,3.51E+07,4.34E+07,1.63E+08,1.43E+08,1.49E+08,6.40E+07,7.66E+07,4.98E+07,9.07E+07
0,0,3.43E+08,3.02E+07,2.57E+07,8.00E+07,1.18E+08,3.37E+08,3.79E+08,4.86E+08,4.80E+08
0,0,3.76E+07,0,0,1.80E+07,0,1.73E+07,2.99E+07,5.13E+07,4.41E+07
2.08E+07,0,3.81E+07,2.37E+07,2.06E+07,2.98E+07,0,2.22E+07,3.79E+07,3.67E+07,4.93E+07
2.80E+07,2.09E+07,6.23E+07,3.80E+07,0,0,0,0,0,3.73E+07,9.03E+07
2.43E+08,2.09E+08,1.27E+09,3.35E+08,3.51E+08,6.63E+08,4.52E+08,1.11E+09,1.18E+09,1.32E+09,1.01E+09
3.34E+09,4.62E+09,8.32E+08,7.11E+09,5.86E+09,5.65E+09,1.96E+09,1.58E+09,2.03E+09,1.49E+09,1.32E+09
1.47E+09,1.82E+09,5.93E+07,1.81E+09,1.67E+09,1.25E+09,7.80E+08,4.73E+08,1.09E+08,5.87E+07,1.93E+07
6.74E+07,1.07E+08,1.05E+07,8.52E+07,9.48E+07,9.01E+07,3.87E+07,7679700,6799400,4248400,4207200
4.47E+07,1.82E+08,0,1.85E+08,1.88E+08,8.81E+07,2.77E+07,1.11E+08,3.06E+07,0,0
9.97E+08,1.77E+09,4.20E+08,1.77E+09,1.57E+09,1.11E+09,7.46E+08,7.43E+08,4.72E+08,6.06E+08,5.12E+08
1.26E+09,2.11E+09,8.17E+08,1.98E+09,2.27E+09,2.83E+09,1.45E+09,1.04E+09,8.02E+08,7.89E+08,6.44E+08
2.42E+09,2.86E+09,2.42E+08,3.33E+09,3.10E+09,2.68E+09,1.52E+09,9.49E+08,7.31E+08,5.05E+08,3.55E+08
2.42E+08,2.99E+08,4.08E+08,2.90E+08,8.11E+08,3.52E+08,5.29E+08,4.20E+08,2.68E+08,4.52E+08,4.58E+08
8.90E+08,1.01E+09,1.84E+08,9.45E+08,1.02E+09,1.16E+09,6.18E+08,4.44E+08,3.20E+08,1.97E+08,2.50E+08
2.56E+09,2.53E+09,4.45E+08,3.55E+09,3.00E+09,2.47E+09,1.25E+09,1.23E+09,8.57E+08,6.42E+08,4.58E+08
2.35E+07,0,0,0,2.01E+07,4.25E+07,4989100,9359700,0,0,0
2.87E+08,2.36E+08,0,2.85E+08,1.71E+08,1.79E+08,8.28E+07,9834200,6809100,0,0
2.02E+08,1.77E+08,9.52E+07,6.07E+08,2.31E+08,2.42E+08,9.16E+07,9.62E+07,9.12E+07,8.30E+07,8.83E+07
0,0,1.25E+08,2.35E+08,2.01E+08,0,9.95E+07,1.35E+08,9668700,0,0
1.04E+07,1.01E+07,4.19E+07,6.48E+07,0,7195500,0,0,5.33E+07,2.23E+07,2.05E+07
3.01E+07,0,2.49E+07,1.69E+07,1.98E+07,1.55E+07,8863700,4.28E+07,0,1.87E+07,1.50E+07
0,3.58E+07,0,3.00E+07,2.51E+07,0,0,0,0,1.24E+07,0
8239200,4.25E+07,3.37E+07,3.62E+07,5.19E+07,5.91E+07,1.21E+07,7.27E+07,4.27E+07,6.43E+07,6.16E+07
2.46E+07,1.11E+08,0,1.48E+08,8.55E+07,9.07E+07,6.64E+07,1.06E+07,1.15E+07,0,0
7.91E+07,9.58E+07,2.49E+08,1.30E+08,1.95E+08,1.18E+08,1.57E+08,4.03E+08,3.51E+08,4.32E+08,3.65E+08
4.37E+07,3.97E+07,0,3.00E+07,3.65E+07,3.57E+07,1.56E+07,1.02E+07,0,0,0
1.99E+07,0,1.07E+08,3.89E+07,2.58E+07,1.17E+08,1.02E+08,1.34E+08,9.24E+07,8.39E+07,5.68E+07
6.73E+08,8.39E+08,1.35E+10,1.50E+09,3.07E+09,7.62E+09,6.98E+09,1.68E+10,1.30E+10,1.57E+10,1.84E+10
2.30E+09,2.45E+09,3.76E+09,4.22E+09,2.72E+09,4.26E+09,2.52E+09,3.91E+09,4.36E+09,3.58E+09,3.83E+09
9.67E+07,9.81E+07,1.02E+08,9.62E+07,1.00E+08,1.17E+08,1.15E+08,9.82E+07,1.22E+08,6.08E+07,4.25E+07
1.13E+09,1.72E+09,6.91E+07,1.20E+09,1.04E+09,1.40E+09,6.14E+08,4.97E+08,1.58E+08,8.00E+07,4.47E+07
4.92E+09,6.79E+09,2.45E+10,6.85E+09,1.03E+10,1.54E+10,1.61E+10,2.59E+10,3.06E+10,2.91E+10,2.70E+10
5.51E+07,2.17E+07,0,5.14E+07,2.84E+07,3.92E+07,3.74E+07,1.04E+07,0,0,0
1.61E+10,1.88E+10,9.35E+09,2.27E+10,2.06E+10,2.06E+10,1.47E+10,1.28E+10,1.11E+10,1.15E+10,9.76E+09
2.36E+09,3.43E+09,9.85E+08,3.42E+09,2.37E+09,2.61E+09,1.86E+09,1.52E+09,1.43E+09,1.38E+09,6.31E+08
3.18E+10,3.29E+10,5.90E+08,4.27E+10,3.10E+10,2.87E+10,1.74E+10,9.49E+09,4.10E+09,1.73E+09,8.39E+08
6.62E+08,1.05E+09,7.15E+07,9.40E+08,7.16E+08,9.20E+08,3.21E+08,2.97E+08,1.82E+08,1.21E+08,8.53E+07
9.28E+08,1.42E+09,4.02E+07,1.42E+09,1.25E+09,1.13E+09,6.02E+08,3.36E+08,1.09E+08,4.11E+07,3.18E+07
1.93E+08,2.75E+08,1.53E+10,5.74E+08,2.14E+09,7.33E+09,1.02E+10,1.48E+10,1.70E+10,1.74E+10,1.44E+10
4.57E+07,5.54E+07,1.47E+08,3.10E+07,5.27E+07,7.07E+07,1.14E+08,1.69E+08,1.40E+08,1.86E+08,2.19E+08
1.67E+08,7.71E+07,1.76E+10,1.06E+09,3.05E+09,7.38E+09,1.12E+10,1.58E+10,2.04E+10,2.07E+10,1.83E+10
1.04E+08,4.42E+07,1.20E+10,3.90E+08,1.16E+09,3.01E+09,6.10E+09,1.14E+10,1.28E+10,1.39E+10,1.22E+10
0,1.73E+07,2.78E+09,5.59E+07,1.57E+08,8.19E+08,1.05E+09,2.42E+09,2.51E+09,3.12E+09,2.94E+09
0,0,5886000,0,0,3038000,5423900,1.92E+07,0,6915900,1.05E+07
2.61E+08,1.04E+09,3.53E+10,1.47E+09,4.76E+09,1.38E+10,1.93E+10,3.26E+10,3.32E+10,4.37E+10,3.70E+10
1.63E+07,0,7.60E+08,0,0,2.26E+08,3.73E+08,5.54E+08,9.63E+08,9.64E+08,7.85E+08
1.51E+08,1.88E+08,1.12E+09,1.95E+08,1.86E+08,5.03E+08,4.50E+08,9.25E+08,8.55E+08,9.46E+08,1.09E+09
0,0,2.96E+08,0,0,1.14E+08,1.76E+07,2.69E+08,1.68E+08,1.99E+08,3.80E+08
0,0,4.31E+09,4.59E+07,4.38E+08,1.37E+09,1.92E+09,4.12E+09,4.42E+09,5.31E+09,4.69E+09
2.88E+07,0,7.86E+09,1.81E+08,7.70E+08,2.40E+09,4.08E+09,6.96E+09,7.19E+09,9.09E+09,9.47E+09
1.28E+07,1.66E+07,2.19E+09,8.55E+07,1.88E+08,5.63E+08,1.39E+09,2.24E+09,2.95E+09,3.60E+09,2.51E+09
0,0,7.55E+08,0,3.27E+07,1.35E+08,4.29E+08,6.66E+08,7.44E+08,7.23E+08,7.44E+08
9.45E+07,1.39E+08,8.92E+09,2.11E+08,1.27E+09,2.85E+09,4.79E+09,8.04E+09,9.93E+09,1.01E+10,9.53E+09
0,0,7.68E+07,0,0,3.11E+07,3.36E+07,4.59E+07,6.26E+07,5.84E+07,5.65E+07
