"Raw Abundance:127N, WT Rep1","Raw Abundance:127C, WT, Rep2","Raw Abundance:128N, WT Rep3","Raw Abundance:128C, pup2-ts Rep1","Raw Abundance:129N, pup2-ts Rep3","Raw Abundance:129C, pup2-ts Rep3","Raw Abundance:130N, rpn5-ts Rep1","Raw Abundance:130C, rpn5-ts Rep2","Raw Abundance:131, rpn5-ts Rep3"
199.5,250.7,402.1,273.4,207.1,208.2,195.5,184.6,181.5
194.8,254.2,287.9,345.8,187,257,222.6,227.5,187.9
283.7,264.2,183.1,64.5,44.2,44.7,42.1,50.7,48
280.7,267.1,293.9,198.2,250.9,235.5,127.1,121.5,83
242.3,289.8,309.1,303,208.3,215.5,283.9,264.5,247.5
284,327.8,325.8,283,236,310.5,203.7,238.4,187.3
254.1,324.5,361.1,270.1,180.3,173.8,189.6,185.4,157.8
111.7,329.6,499.9,243.5,200.4,156.8,144.3,188.2,120.7
323,362.9,398.2,139.6,240.6,106.5,78.8,59.5,29
431.7,393,418.9,159.7,167.8,116.8,136.3,100.1,89
461.5,321.5,484.1,352.9,212.6,285.3,310.6,305.3,218.4
478.8,426.6,411.1,483.5,288.9,354.9,359.1,400.3,311.1
372.2,440,488.5,204.2,244.7,143.1,152.7,135.1,120.8
845.5,1073,1104.9,571.5,470,440.5,383.2,408.8,326.7
10.9,14.4,13.2,43.8,20.7,68.8,47.8,20.6,19.6
12.5,16.6,34,108,47.9,91.2,90.4,109.6,100.4
15.7,18.1,33.7,133.1,56.5,95.8,95,103.3,73.4
18.9,19.8,22,14.7,8.9,9.2,8.1,9.5,7
13.9,20.9,30.6,33.4,20.7,21.6,18,23.2,20.4
14.4,26.1,31.2,29.3,24.4,23,21.4,16.6,12.6
41.6,24.7,36.1,32.9,43.2,53.9,23.6,27.8,13.2
30.5,32.6,42.2,32.5,23,25.6,29.6,35.6,23.9
33.6,26.4,37,38.4,28.7,29,29.5,24.3,19.9
23.3,33,49.2,153,58.4,104.7,140.8,151.6,138.2
28.5,41.7,37.8,17.4,19.3,16.6,9.9,12.8,9.3
23.3,35.1,40.2,55.5,51.5,57,38.1,41.9,20.2
27.8,35.1,65.6,114.5,52.3,81.7,78.6,77.6,60
31.3,38.4,40.5,32.3,22.7,28,22.6,28,18.2
20.9,36.2,55.2,161.4,74,143,109.3,137.1,114.5
8.2,37.2,66.4,595.1,192.4,420.9,156.4,164.5,106.7
36.9,36.1,43.6,20.4,16,16.5,16.8,17.1,12.6
30.7,41.1,44.2,46.9,24.2,30.2,25.7,27.2,23.2
26.4,39.9,45.2,47.7,24.4,27.7,36.3,34.4,34.4
36.8,47.8,47.9,47.6,31.3,32.3,39.5,35.4,32.8
52.8,46.8,48.2,73.5,45.5,40.8,30.8,37.2,32.8
44.1,44.7,54.3,21.2,20.3,18.6,21.2,18.4,14.4
42.6,47.4,71,130.3,75.4,99.4,99.6,101.7,86.1
46.2,60.4,53.8,36.8,28,22.4,34.2,32.9,20.8
47,45.1,64.1,61.1,45.6,46.2,45.6,44.3,44.5
44.4,51.3,78.1,72.7,38.4,53.1,61.8,60.2,42.5
43.8,52.3,61.4,37.2,32.6,29.2,29.1,33.8,21.6
49.3,50.6,66.1,34.2,24,30.3,29.4,26.3,27.1
61.2,53.2,57.5,41,30.6,29.3,31.1,30.4,22.7
32.5,53.7,96.6,170.7,136.9,124.7,152.7,160.9,112.7
37.3,54,84.8,164.9,80.4,127,120.1,135.8,119.6
38,54.4,66.8,46.2,32.7,36.9,32.4,34.8,26.6
51.1,55.8,57.3,71.6,45.5,54.4,63.5,75.5,60
52.9,75.1,62.8,29.8,15.7,18.1,21,19.4,15.2
52.3,57,64.5,48.5,38.4,34.8,37.2,37.4,30.5
44.8,56.8,69.5,54.7,36.5,45.1,52.7,46.8,49.3
58.5,54.7,66,39.4,27.2,25.1,40.4,35.2,23
58.1,58.4,62.2,33.1,32,21.9,27.6,21.9,22.3
45.5,59.2,81.9,64,43.5,43.7,41.3,42.7,40.1
44.8,59.2,74.8,68.8,43.3,49,47.7,54.3,48.2
99.8,59.8,62.8,39.9,33.7,26.1,28,36.4,27.7
47.4,60.3,122,107,78.1,98.2,87.1,77,56.6
57.7,76.6,72.1,42.8,32.2,27.4,28.8,28.9,21.5
59.4,63.6,82,79.3,47,59.4,62.6,72.6,51.5
77.1,54.1,72.7,43.3,36.4,33.4,39,31.5,22.7
86.7,67.5,76.2,51.1,39,38,50,48.4,24.8
63.2,71.6,77.2,66.8,52.4,51.1,47.7,50.1,37.6
42.7,69.2,90.3,117.3,71.9,83.1,90.4,81,69.7
55.1,71.2,101,122,48.5,100.6,86.9,99.1,93.6
81.6,76.3,80.3,49.1,38.9,43.1,39.3,53.5,39.4
62.2,77.7,109.8,67.5,45.9,46.4,58.9,55,44.5
