2A,3A,4A,5A,6A,7A,8A,9A,10A,1B,2B,3B,4B,5B,6B,7B,8B,9B
51740578.06,51584346.26,98521828.61,68622660.28,62953582.09,266631341.2,185523935.8,142860358.7,188259161.9,34725812.14,31894928.11,51852025.02,115055949.3,45460080.4,38216789.38,174792988.5,221640966,196230127.5
31328777.28,24327066.01,23469038.92,35193967.61,12934774.9,27879343.1,8546938.792,34935603.83,57255657.85,1497156.918,10276049.85,2290167.305,58058876.82,15031882.1,7481762.971,21297280.76,67151911.75,119711328.3
9294206.422,6241791.604,6790608.138,17436910.55,15758134.21,35433948.59,8757728.771,34471953.47,66240485.54,2530285.624,0,0,9688215.362,5718037.539,4367826.656,8983315.979,38771867.05,45750321.46
19346545.64,14071593.86,24381277.69,11768777.85,14632860.87,9278899.625,3727802.969,1366168.57,2030903.656,903115.375,9786115.078,1200730.664,9977939.15,8554634.922,4664486.293,4041469.354,0,15529823.17
2019297.063,0,0,2113088.813,0,0,0,0,0,642353.7344,0,0,0,0,0,0,642353.7344,0
36977971.88,42940152.27,26128843.46,72442921.71,15360850.23,93263972.57,55261275.2,15425165.29,13520651.94,11134544.86,19355848.19,14203775.53,64024476.57,18185129.32,23931041.52,56276979.8,24636139.75,86711584.15
146052261.5,135188484.1,88186589.5,92708732.5,68692385.38,83439433,20531818.13,0,3731249.875,3006779.406,8488502.203,3759572.406,26563929.5,11435015.88,8391764,12475356,0,0
0,10478776.08,1579671.43,2380586.891,10478776.08,7885227.354,28447361.74,13322316.73,9257492.323,1010628.656,687565.2266,738881.5,2509447.406,0,505375.4531,3509549.964,13300607.58,11786705.84
6098759.719,11565970.87,6480068.375,18103527.85,15685222.26,20006034.35,4689880.313,3816616.724,17713861.66,1492830.688,4228845.482,2903547.836,13352313.53,3746962.163,6596432.958,5927322.526,9800844.625,25156455.63
2695672.277,0,0,24389893.84,9619212.859,5504920.938,3950866.313,2012818.5,5847152.922,1846930.063,1173081.008,1297682.406,5549623.581,20162723.2,9181757.354,4076287.781,9429395.985,32147082.49
0,4076381.672,13771350.33,0,0,0,0,0,0,2483683.797,7840507.602,3228716.648,14084647.06,12272656.31,7095083.188,0,0,4021850.234
0,0,0,0,0,0,0,0,0,1606969.5,4546539.469,9376782.688,0,9900644,7573065.75,0,0,0
221054819.6,86497045.35,20073015.45,129113291,25182741.88,3852822.391,9076938.146,24880110.18,22503160.66,3418146.563,69538495.56,29004815.23,34431412.42,16358418.05,31817950.58,4850763.042,29023853.74,231390624.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186514312.5,133507606.2,137299402.5,207331987.6,46610130.93,460542700.4,54453347.68,259977238.7,342114751.8,68256280.89,166902345.1,92254602.67,385326828.5,150330627.3,70692104.4,317464733.5,775927144.8,664961670.2
3984846.315,4465932.676,4489963.042,9878648.212,6267534.146,31903202.77,7027401.526,22829747.04,25227737.87,13873478.96,5932462.965,8018163.461,11304622.31,3337330.98,3954814.096,5833306.974,43328397.26,17250895.24
