380-1,380-2,380-3,800-1,800-2,800-3,380-1P,380-2P,380-3P,800-1P,800-2P,800-3P,380-1Fe,380-2Fe,380-3Fe,800-1Fe,800-2Fe,800-3Fe,380-1FeP,380-2FeP,380-3FeP,800-1FeP,800-2FeP,800-3FeP
14.445,13.885,17.075,12.204,13.876,17.909,24.851,23.948,24.086,23.847,16.914,19.286,18.83,19.923,16.334,23.397,27.529,19.346,25.93,28.47,27.817,25.826,17.91,25.286
110.14,109.23,106.94,108.96,98.98,104.47,123.26,128.07,124.28,131.16,125.45,122.95,112.04,111.79,113.17,126.56,126.83,135.42,124.47,138.68,140.08,126.26,128.95,125.5
42.432,37.953,43.137,39.227,38.852,35.817,65.606,52.06,69.368,58.533,53.562,54.241,46.132,29.885,43.169,86.143,77.672,66.636,54.973,63.369,81.465,54.522,51.938,68.367
3.6112,3.7027,2.696,1.7434,4.6253,3.9797,4.9702,2.0824,2.8903,4.3358,0,6.0268,4.7074,3.3206,2.3335,1.0635,1.9664,2.1496,3.1117,3.6736,5.9608,5.7392,4.4774,3.7461
8.1252,7.4054,6.2908,5.2302,7.4004,2.9848,3.9761,2.0824,2.8903,0,1.4095,2.4107,8.4733,13.282,14.001,10.635,6.8823,8.5982,5.1861,4.592,4.9674,8.6088,5.3729,3.7461
0.9028,1.8514,2.696,3.4868,0.92505,1.9899,3.9761,1.0412,2.8903,3.2519,2.819,3.6161,3.7659,3.3206,3.5002,3.1905,4.916,5.3739,5.1861,1.8368,2.9804,3.8261,4.4774,3.7461
19.862,20.365,12.582,18.306,14.801,14.924,13.916,14.577,12.525,8.6716,9.8666,13.259,18.83,19.923,15.168,17.016,16.714,13.972,18.67,14.694,12.915,15.304,15.223,16.858
38.82,37.953,40.441,38.355,41.627,43.777,44.731,48.937,44.319,45.526,45.105,43.393,41.425,47.595,50.17,52.111,46.21,47.29,46.675,52.348,55.635,52.609,44.774,46.827
7.2224,5.5541,8.9868,16.562,13.876,11.939,3.9761,5.206,4.8172,1.084,4.2286,1.2054,11.298,4.4274,1.1667,4.254,3.9328,7.5234,4.1489,5.5104,0.99347,9.5653,7.1639,7.4923
26.181,26.845,26.96,33.125,24.976,31.838,14.91,18.742,17.342,18.427,19.733,21.696,20.713,16.603,18.668,28.714,19.664,19.346,16.595,18.368,18.876,16.261,18.805,17.794
4.514,2.777,5.3921,4.3585,5.5503,2.9848,2.9821,5.206,2.8903,5.4198,2.819,3.6161,1.883,2.2137,1.1667,2.127,2.9496,0,4.1489,1.8368,3.9739,4.7826,3.5819,1.8731
7.2224,6.4797,8.0881,8.7171,8.3255,9.9493,6.9582,8.3296,10.598,5.4198,5.6381,8.4375,9.4148,7.748,7.0004,4.254,9.8319,7.5234,8.2977,10.102,10.928,9.5653,9.8504,6.5557
14.445,9.2568,11.683,6.9737,11.101,13.929,11.928,13.536,14.452,11.923,8.4571,13.259,10.356,12.175,12.834,14.889,16.714,13.972,12.447,15.613,13.909,10.522,11.641,10.302
5.4168,7.4054,5.3921,6.9737,8.3255,5.9696,2.9821,6.2472,3.8538,3.2519,4.2286,4.8214,9.4148,3.3206,3.5002,7.4444,5.8991,6.4487,5.1861,2.7552,5.9608,4.7826,4.4774,8.4288
25.278,21.291,18.872,22.664,24.051,16.914,15.905,18.742,19.269,18.427,22.552,18.08,26.361,26.565,32.669,23.397,27.529,27.944,20.744,21.123,24.837,22,22.387,23.413
7.2224,8.3311,9.8855,12.204,13.876,8.9543,5.9642,7.2884,9.6345,6.5037,7.0476,7.2322,12.239,9.9617,12.834,9.5714,6.8823,9.673,9.335,8.2655,7.9478,10.522,12.537,8.4288
2.7084,3.7027,1.7974,2.6151,4.6253,4.9746,3.9761,4.1648,5.7807,2.1679,0,1.2054,6.5904,5.5343,2.3335,4.254,4.916,3.2243,6.2233,6.4287,6.9543,4.7826,4.4774,5.6192
56.876,53.689,55.718,47.944,57.353,48.751,55.666,54.143,54.917,48.778,67.657,50.625,65.903,58.664,56.004,54.238,58.008,45.141,57.047,59.696,61.595,54.522,60.893,59.002
5.4168,4.6284,4.4934,6.102,8.3255,4.9746,3.9761,3.1236,3.8538,5.4198,1.4095,2.4107,6.5904,3.3206,7.0004,3.1905,1.9664,4.2991,6.2233,4.592,3.9739,4.7826,4.4774,4.6827
105.63,108.3,98.855,93.273,92.505,91.533,85.487,83.296,80.93,82.38,101.49,97.634,104.5,135.04,122.51,97.841,95.37,113.93,103.72,78.982,81.465,94.696,94.026,93.653
33.404,35.176,33.251,31.381,30.527,27.858,32.803,35.401,29.867,35.77,36.647,30.134,33.893,36.526,33.835,38.286,36.378,42.991,33.191,34.899,33.778,34.435,26.865,33.715
9.028,8.3311,5.3921,4.3585,5.5503,4.9746,6.9582,7.2884,7.7076,7.5877,7.0476,7.2322,7.5318,11.069,9.3339,12.762,13.765,10.748,13.484,11.021,13.909,9.5653,12.537,6.5557
13.542,10.182,9.8855,8.7171,12.951,8.9543,7.9523,3.1236,6.7441,8.6716,5.6381,8.4375,7.5318,9.9617,5.8337,12.762,6.8823,8.5982,5.1861,6.4287,3.9739,9.5653,8.9549,11.238
5.4168,5.5541,7.1894,8.7171,10.176,8.9543,10.934,5.206,7.7076,6.5037,4.2286,8.4375,8.4733,5.5343,3.5002,5.3175,7.8655,8.5982,11.409,6.4287,5.9608,8.6088,13.432,11.238
12.639,16.662,14.379,13.076,13.876,13.929,15.905,13.536,16.379,18.427,16.914,18.08,21.654,17.71,18.668,23.397,17.697,20.421,20.744,20.205,18.876,16.261,15.223,14.985
43.334,40.73,43.137,33.125,31.452,34.822,27.833,33.319,26.977,32.519,38.057,33.75,46.132,57.557,42.003,47.857,46.21,50.514,35.265,32.144,24.837,33.478,37.61,37.461
27.084,25.919,26.96,27.023,27.752,28.853,18.887,21.865,19.269,23.847,32.419,22.902,32.952,29.885,29.169,25.524,32.445,22.57,26.968,31.225,29.804,26.783,28.656,30.906
11.736,12.034,7.1894,9.5888,8.3255,11.939,8.9463,10.412,9.6345,7.5877,5.6381,8.4375,15.064,6.6412,9.3339,15.952,7.8655,12.897,15.558,5.5104,4.9674,15.304,11.641,13.111
2.7084,1.8514,2.696,4.3585,5.5503,3.9797,3.9761,4.1648,1.9269,3.2519,4.2286,3.6161,3.7659,2.2137,2.3335,3.1905,4.916,2.1496,5.1861,4.592,2.9804,5.7392,5.3729,2.8096
7.2224,6.4797,14.379,5.2302,7.4004,11.939,10.934,9.3708,9.6345,14.091,4.2286,9.6429,3.7659,9.9617,7.0004,0,0,2.1496,8.2977,9.1839,11.922,7.6522,4.4774,5.6192
8.1252,9.2568,8.0881,6.9737,7.4004,10.944,6.9582,9.3708,7.7076,8.6716,8.4571,8.4375,5.6489,6.6412,8.1672,7.4444,4.916,8.5982,10.372,7.3471,7.9478,4.7826,7.1639,5.6192
10.834,13.885,12.582,7.8454,9.2505,11.939,10.934,8.3296,8.671,11.923,14.095,9.6429,10.356,12.175,15.168,11.698,9.8319,15.047,12.447,11.021,9.9347,12.435,12.537,11.238
5.4168,6.4797,8.0881,6.9737,9.2505,6.9645,6.9582,8.3296,7.7076,7.5877,1.4095,4.8214,16.005,11.069,10.501,7.4444,7.8655,8.5982,7.2605,8.2655,9.9347,9.5653,9.8504,13.111
