TMT-126,TMT-127,TMT-127,TMT-128,TMT-128,TMT-129,TMT-129,TMT-130,TMT-130,TMT-131
1278238.596,886723.6529,13692407.93,13341620.15,2724046.715,3312217.045,11618259.3,13591497.93,6276572.279,7257181.802
89321.63076,103277.6212,1435452.205,1351526.552,259014.1954,267405.8386,1184268.234,1175215.221,619138.7831,705852.6101
42133.87151,31778.26535,419157.4686,388695.4224,88248.21502,82415.40005,378560.0559,379575.0673,178335.549,178774.1827
412460.2379,495341.2181,4945440.547,4966961.372,901666.2898,1247785.409,4586907.892,4841163.923,2187038.297,2583136.931
6684145.614,1875090.086,74830876.77,67106829,12870673.72,10843595.4,65578796.61,63811749.87,33527373.69,29638979.83
75160.10737,55726.88218,792666.215,776142.3732,140764.2634,170710.2758,730902.8472,835236.3758,355364.1067,406621.7618
80842.39181,138100.4925,1018257.557,1064964.242,183269.8501,271450.712,909425.8419,1037647.474,439788.1603,565820.4409
3648866.543,2964134.8,41124976.27,40388087.67,7126850.176,8454760.648,37135538.37,39593327.67,18056061.84,19520598.67
2214048.353,2419331.348,25656303.39,26942900,4195950.774,6575376.298,22996376.38,25441279.49,11517017.58,13822387.56
339489.1348,258171.7664,3898178.901,4005559.387,766444.8348,756111.299,3965407.717,3960218.016,1723439.989,1845725.179
2017895.011,1831139.56,23507748.32,23452851.8,4021853.26,5122971.92,20846072.78,23292578.12,10526897.36,11549593.48
155720.5862,135309.0244,1792299.718,1787281.701,344144.836,399243.6473,1591595.936,1708286.548,793237.5509,859932.7942
656907.3783,417553.493,7396786.437,6951247.992,1383643.135,1307947.196,6682064.526,6818015.922,3401631.817,3270867.464
576193.9818,400832.2768,6469170.124,7209597.786,1136183.746,1385269.293,5886279.255,6360505.329,3042483.101,3124940.597
154097.2959,107587.6704,1855812.688,1765525.178,372805.363,378065.1347,1762829.374,1821238.746,887350.8716,924416.0496
296957.5384,207765.9552,3202871.418,3039238.145,541690.1569,605907.3522,2872047.616,2938742.281,1384254.629,1426636.171
173612.9101,112864.9334,2011258.785,1923122.672,344715.6038,376624.3924,1816755.815,1875107.458,913988.8369,895626.8116
158077.8219,130827.3146,1818267.48,1754345.639,317723.5842,342358.5858,1616157.425,1707853.858,760030.0044,810666.5844
47352.444,29812.019,495550.7448,493846.03,87996.13938,101293.0017,480496.0953,473731.9073,224935.3282,229764.4064
