Intensity Rep #1,Intensity L Rep #1,Intensity H Rep #1,Intensity Rep #2,Intensity L Rep #2,Intensity H Rep #2,Intensity Rep #3,Intensity L Rep #3,Intensity H Rep #3
149660000,76650000,73011000,113450000,64599000,48854000,146940000,88571000,58367000
259690000,157910000,101780000,242620000,144690000,97927000,29115000,26679000,2436400
1381300000,717590000,663720000,1366500000,816010000,550520000,1586000000,1024600000,561370000
2779100000,1709900000,1069200000,3633200000,2267300000,1365900000,2983000000,1917200000,1065800000
1313300000,812590000,500670000,1083800000,627170000,456670000,1179500000,650260000,529280000
324520000,158720000,165800000,102040000,58200000,43843000,247660000,131600000,116060000
530070000,294190000,235870000,443060000,243760000,199300000,614610000,318230000,296380000
64174000,37754000,26421000,115010000,53502000,61512000,0,0,0
14968000,8798400,6169100,7972900,4935900,3037000,57062000,37777000,19284000
83274000000,82192000000,1082000000,86905000000,85839000000,1066600000,63336000000,62832000000,503680000
3006700000,1403900000,1602800000,4004000000,1948500000,2055400000,3716800000,1775500000,1941400000
2056800000,1602500000,454360000,1810500000,1378000000,432460000,1816600000,1463100000,353500000
22449000000,13165000000,9283700000,17659000000,11371000000,6287800000,15230000000,9687000000,5542500000
139910000,131220000,8684100,151640000,151640000,0,353870000,259530000,94335000
161810000,107320000,54488000,175980000,106040000,69937000,157130000,101700000,55436000
3539900,1707500,1832400,3048100,2188600,859450,0,0,0
5676800000,3589300000,2087500000,4585100000,2930600000,1654500000,5376600000,3334800000,2041700000
169600000,107040000,62552000,75223000,46831000,28393000,115950000,71001000,44945000
268890000,168350000,100540000,174690000,106710000,67982000,360740000,266470000,94272000
8366100000,5367600000,2998500000,10970000000,7214600000,3755800000,8109200000,5392900000,2716400000
873280000,453580000,419700000,886460000,440640000,445820000,921710000,412700000,509020000
666340000,443540000,222800000,668710000,445730000,222980000,959140000,646240000,312900000
4208400000,2715600000,1492800000,3951400000,2482200000,1469300000,3934200000,2469100000,1465100000
3026800000,1927400000,1099400000,2525400000,1623600000,901850000,1589200000,976820000,612380000
10576000000,6605300000,3970700000,9598600000,6097900000,3500600000,8508400000,5402500000,3105900000
155630000,119410000,36217000,141810000,141810000,0,91440000,69402000,22038000
6508900000,4323400000,2185400000,7251500000,4776800000,2474700000,5581400000,3772000000,1809400000
28775000000,14991000000,13783000000,27900000000,14564000000,13336000000,26950000000,14167000000,12783000000
3073700000,1851500000,1222200000,3665600000,2075900000,1589700000,2878800000,1642200000,1236600000
188910000,131230000,57684000,158090000,145760000,12332000,180120000,110710000,69405000
41801000,30707000,11095000,172640000,113110000,59535000,206400000,126920000,79478000
60062000,32811000,27251000,48192000,34487000,13705000,36796000,24257000,12539000
