Intensity,Intensity L,Intensity H
11967000,6134900,5832200
83594000,54516000,29078000
14704000,10390000,4314400
7130100,3940100,3190000
4508600,3234800,1273800
15049000,9974100,5074500
34742000,10498000,24244000
18433000,11684000,6749500
15775000,9934400,5840200
9641800,6016600,3625300
15923000,10079000,5844000
6659600,4635800,2023700
14874000,9608000,5265900
9482400,6458500,3023900
21658000,15916000,5742900
15598000,11930000,3667100
7218600,3565800,3652800
60730000,46934000,13796000
5695800,3274500,2421300
4172800,2457200,1715600
10244000,5909700,4334300
13371000,8630700,4740400
35461000,25547000,9914200
10414000,6585300,3828600
39941000,29562000,10379000
12035000,8172000,3863100
13513000,10550000,2962500
16943000,12953000,3990000
32113000,14036000,18077000
20734000,14442000,6291600
4607800,1726700,2881100
4519900,1787700,2732200
5783900,2364500,3419400
7073300,2792300,4281000
7006300,2265300,4740900
9090400,3736700,5353700
12150000,4486400,7663600
5424700,2527900,2896700
4824800,2798800,2026000
6409100,3615900,2793200
11930000,6695700,5233900
14003000,8146800,5855700
3709000,2513600,1195400
2541800,1761100,780670
1805900,1308500,497370
9245000,5072200,4172700
4436900,1750700,2686200
3669000,1761200,1907800
2079900,771640,1308300
8369800,2868200,5501600
11479000,3213400,8265900
11711000,4174200,7536300
7948900,1885100,6063900
8604800,3927000,4677800
3943200,1864300,2078900
23945000,9582800,14362000
16757000,6914000,9843100
9926100,4417500,5508600
6265700,2265700,4.00E+06
21362000,9508600,11853000
33411000,16986000,16425000
13669000,9790100,3879300
9149700,4414000,4735700
21180000,8705800,12474000
32894000,14854000,18039000
37377000,17955000,19422000
19098000,11708000,7389700
19200000,8437300,10763000
4640200,1391500,3248700
17001000,5227700,11773000
41294000,20729000,20565000
13432000,6684200,6747600
8747800,3422200,5325700
6115700,2173800,3941900
5187000,2220400,2966600
11437000,5911200,5525400
16460000,7578400,8882100
8094900,4753200,3341600
13749000,8442000,5307400
9178400,4864900,4313600
22698000,3774100,18924000
4515400,2561500,1953900
7831800,3472000,4359700
9040800,7099000,1941800
11739000,8643400,3095600
12486000,7295100,5190900
21270000,12037000,9233600
9538200,5674100,3864100
4398300,2302500,2095800
5257100,3164200,2092900
73073000,53179000,19894000
9454000,6928900,2525200
43683000,31777000,11906000
6424700,5160300,1264400
40476000,28178000,12298000
28572000,20846000,7725500
9518000,6898200,2619800
26638000,16498000,10140000
41044000,30144000,10900000
33848000,22648000,11200000
2669800,1990300,679520
4933100,3497100,1436000
5099800,3256000,1843800
3260000,2532500,727470
8291700,5224700,3067000
37244000,23065000,14179000
13136000,8538900,4597200
22271000,17314000,4957000
21140000,14385000,6755100
40984000,27536000,13448000
6136400,4394200,1742300
19514000,13578000,5935800
10078000,2687900,7390400
42934000,16199000,26735000
19821000,7293600,12528000
16479000,10058000,6420800
26395000,10584000,15810000
3658500,1610500,2048000
7344400,2393900,4950500
19168000,7160100,12008000
30171000,10082000,20088000
13778000,4914200,8863600
42224000,18234000,23989000
4282600,1140300,3142400
39257000,16027000,23230000
34369000,14681000,19688000
5938200,2510400,3427700
26909000,11784000,15125000
