Intensity Normal1,Intensity Normal2,Intensity Normal3,Intensity Normal4,Intensity Normal5,Intensity Normal6,Intensity Normal7,Intensity Normal8,Intensity Cancer1,Intensity Cancer2,Intensity Cancer3,Intensity Cancer4,Intensity Cancer5,Intensity Cancer6,Intensity Cancer7,Intensity Cancer8
7.69E+07,7796000,1.44E+07,6.23E+07,2.49E+07,1.19E+08,7.20E+07,3.36E+07,2.30E+07,3.68E+07,6.17E+07,2.84E+07,4.18E+07,4.13E+07,403050,2619700
7.85E+07,1.35E+08,7.82E+07,7.64E+07,3.89E+07,2.87E+07,3.19E+07,1.82E+07,6.86E+07,1.86E+07,2.07E+08,4.73E+07,2.94E+07,5.50E+07,2.28E+07,1.62E+07
6.78E+07,7.51E+07,1.47E+08,1.17E+08,9.07E+07,9.55E+07,5.62E+07,1.37E+07,2.41E+08,7.23E+07,7.45E+07,2.04E+07,1.19E+07,4.72E+07,2780900,6181700
578060,851010,2320800,1764200,0,0,466190,0,245490,176280,0,484110,1.69E+07,6.51E+07,0,0
7.62E+09,4.28E+09,4.87E+09,3.21E+09,3.27E+09,2.76E+09,1.61E+09,4.19E+08,6.80E+09,5.71E+09,3.82E+09,1.75E+09,3.04E+09,2.82E+09,8.09E+08,2.58E+08
2.26E+07,1.38E+07,18946,4517600,5861300,7524000,2747200,0,75181,1.69E+07,1.95E+07,4262200,6594300,8000800,0,0
8.59E+07,4.40E+07,977260,2.37E+08,4.30E+08,2.97E+08,1.63E+08,6.19E+07,2.10E+07,9214700,5799000,3.82E+08,2.66E+08,3.52E+08,2.60E+08,6.99E+07
9.34E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.30E+07,1644700,1.14E+07,1.91E+07,8811200,1149200,1.13E+07,0,4.00E+07,2.55E+07,1.53E+07,0,1471800,1278200,8.99E+07,0
2.99E+10,2.80E+10,2.95E+10,2.13E+10,2.54E+10,2.10E+10,1.50E+10,5.73E+09,4.33E+10,3.63E+10,2.60E+10,1.76E+10,2.78E+10,2.18E+10,1.04E+10,5.18E+09
1.05E+07,3784300,5723700,750880,0,0,0,0,2610500,650460,4038100,0,0,0,0,0
3.58E+07,1.35E+07,5.07E+07,3.79E+07,2.84E+07,3.32E+07,2.64E+07,7492700,6.07E+07,1.17E+08,7.73E+07,5.94E+07,1.67E+08,9.17E+07,2.76E+07,7730800
0,0,0,0,0,0,0,0,0,0,180750,0,0,0,6290100,0
1.19E+09,2.71E+08,7.18E+08,2.52E+08,4.53E+08,3.37E+08,2.12E+08,7.38E+07,1.30E+09,1.37E+09,8.48E+08,3.26E+08,6.22E+08,5.62E+08,2.29E+08,1.42E+08
9982900,0,0,3885700,4728300,0,0,0,2221300,1.89E+07,1.21E+07,7683800,1.09E+07,8746200,0,456400
2046400,3974900,2951200,0,0,0,0,0,9246300,2155100,3020700,0,0,0,0,0
0,0,0,0,906500,7195300,3875700,528780,0,0,0,6844500,295620,6053700,2405800,1353100
5.15E+09,5.39E+09,4.18E+09,1.50E+09,2.12E+09,2.29E+09,1.30E+09,3.67E+08,1.16E+10,8.34E+09,4.83E+09,3.77E+09,2.48E+09,2.77E+09,7.24E+08,8.13E+08
1.11E+07,1.17E+07,9717000,3460200,7675700,1663100,4817900,0,4109200,5325300,9615300,147040,4627700,1583100,691290,77870
1.29E+08,1.49E+08,1.25E+08,5.96E+07,9.16E+07,5.90E+07,6.02E+07,1.81E+07,1.49E+08,2.04E+08,7.44E+07,3.02E+07,1.15E+08,4.49E+07,2.27E+07,6189600
1.11E+07,9273900,7009900,5331500,1.19E+07,6260300,4834100,639610,7161500,1.49E+07,1.15E+07,3474200,9515300,4236300,887470,385920
7.76E+08,5.26E+08,6.16E+08,4.89E+08,3.75E+08,4.99E+08,3.00E+08,1.12E+08,9.23E+08,5.99E+08,7.70E+08,4.61E+08,7.91E+08,5.15E+08,1.40E+08,8.51E+07
1.03E+09,7.12E+08,8.80E+08,6.47E+08,6.68E+08,6.96E+08,4.53E+08,1.19E+08,1.36E+09,8.06E+08,7.18E+08,6.42E+08,1.04E+09,6.06E+08,2.26E+08,1.08E+08
0,0,0,0,0,0,132350,0,0,0,693080,1010300,816110,423670,0,162720
0,0,298750,0,1646400,1925500,1258700,912560,0,406530,0,3658700,6375600,8105600,195940,1091900
236090,0,460890,0,277430,0,155950,0,1241100,1516100,514040,0,0,338610,309610,37170
1.03E+08,9.23E+08,2.31E+08,9.00E+07,2.83E+07,6.69E+07,4.53E+07,1.72E+07,2.95E+08,2.76E+08,2.99E+08,9.54E+07,1.49E+08,1.08E+08,5452600,6.04E+07
0,9929000,276350,680130,0,609650,0,0,1017200,0,4035600,0,1.48E+07,0,0,28611
4191600,1286200,2462100,3369500,3882500,612550,665350,76935,1.04E+07,1.02E+07,1.18E+07,2000700,1.40E+07,1.03E+07,4089100,209300
