Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich,
-0.0672,-0.1832,0.0631,1.3742,0.2986,0.8773,0.3824,0.5508,
0.0826,-0.3421,1.8117,1.5769,3.5923,0.2378,0.5610,0.0044,
-1.4819,-0.1893,-7.8870,-4.8834,-0.9330,-0.0188,0.2471,-0.3856,
-0.5075,-3.5149,-1.4085,1.5256,0.9378,-0.1170,1.4392,0.3438,
1.1827,13.8983,5.0826,0.3950,1.9690,-2.0644,-0.4741,-0.7360,
2.8442,-3.4027,0.0166,2.9373,2.1552,-0.5517,2.8815,0.9544,
-0.3047,-6.7109,-14.5284,-3.8737,-3.4375,-0.0191,-0.5388,-0.0600,
-0.0215,-1.6637,0.0160,3.4011,1.7129,-0.1328,2.6562,0.4701,
-0.6599,-9.2745,-7.6202,0.4854,0.0143,-0.4089,0.0936,-0.2749,
-0.2391,-15.1646,-9.2894,0.0176,-0.1270,0.0921,0.4470,0.9049,
1.2458,0.6702,0.5695,0.0012,0.4295,-0.4611,-0.5695,-0.5978,
1.8064,5.7606,5.6383,-0.0164,3.1229,0.1970,-0.3796,-0.2105,
-0.6484,-4.8980,-3.5141,2.2109,0.1188,-0.4859,0.0434,0.1098,
-1.1813,-12.4861,-7.3752,0.2443,-0.0820,-0.2180,4.4488,0.5892,
-0.3037,0.0581,0.0994,-0.7490,0.2816,7.5645,0.4280,0.3174,
0.1771,2.9367,5.1911,-0.0803,0.0087,-0.5039,-0.0663,-0.1943,
2.0065,-0.5229,-0.7442,-0.4363,-0.4122,-0.2096,-0.3196,-0.2632,
0.1415,-10.5296,-0.6394,0.2926,0.6184,-0.7771,-0.0348,0.5282,
1.5251,-0.0346,3.9486,3.1156,0.3703,-0.1989,0.0204,0.2333,
2.7288,0.0418,1.4876,0.8085,1.8355,-0.3035,-0.5835,-0.5883,
-0.7623,-0.0514,0.0271,3.6677,3.2150,1.6602,3.1936,0.7879,
-0.1099,0.4895,1.1481,1.5421,3.6497,0.0253,0.2198,-0.2241,
-0.2904,-0.6749,-0.6414,0.8208,1.2400,1.3686,0.1988,0.0888,
0.4259,1.0506,3.8701,1.0036,3.3146,0.1011,0.8094,0.0414,
0.4705,2.0141,5.5068,3.0584,3.1966,0.3813,0.4425,0.2833,
-0.4136,10.8330,2.5870,-2.8642,0.4835,0.9246,-0.1646,-0.3860,
-0.8419,-5.6382,-3.4059,0.4287,0.3901,-0.7613,0.5962,0.4951,
-0.0637,2.0582,4.4507,3.7459,3.9207,0.3902,0.0736,0.0760,
0.6517,-9.8709,-7.1799,0.2816,-0.1498,0.4172,1.2648,1.2379,
0.2506,4.7858,1.3036,0.9220,-0.7546,-0.3073,-0.4813,-0.8627,
-0.1057,-1.2713,0.0695,3.0442,4.2105,-0.4711,3.1237,0.4654,
-0.4219,-11.1650,-3.6782,0.3707,-0.0304,-0.8176,4.6947,1.4119,
-0.6224,0.5833,-0.4382,0.6645,4.3194,1.1607,0.7513,0.1458,
-0.9108,-5.7968,-5.7964,-0.5499,-1.0715,0.5053,0.0779,1.7222,
-0.2623,6.1547,0.3220,-0.8808,0.4394,0.0251,-0.4520,-0.6562,
0.5846,2.4410,3.9490,1.0040,0.1500,-0.2092,0.0676,0.0541,
0.4642,-5.7988,-3.5870,-0.9445,-0.0037,-0.4043,0.0610,-0.4039,
-0.1002,6.4701,5.7429,-1.5983,0.5557,-0.6258,0.0732,-0.0301,
0.0166,0.9269,2.6864,0.0274,0.5335,-0.5003,-0.0051,0.0586,
-0.4768,0.4515,-1.9461,-2.3374,0.0630,0.8832,0.3674,-0.0495,
0.3533,2.8375,0.8663,0.7222,2.0356,0.1396,0.4633,0.1369,
1.0020,-2.7854,-0.0343,2.2720,0.8772,0.1036,-0.0287,0.6035,
1.6982,-5.7418,-3.6610,0.3340,1.2730,0.5045,1.7789,1.1667,
5.4871,-5.4362,0.3803,5.3179,1.2633,0.7087,2.2245,2.4869,
3.4281,2.3721,13.1916,0.2622,4.7797,-0.1324,0.0325,-0.0437,
2.0291,-8.4954,-0.7589,0.7597,1.1525,-0.1005,0.9759,0.6530,
4.1706,-0.5015,0.3990,1.3036,0.6285,-0.8648,0.6906,1.2400,
-0.3537,6.2175,2.7843,0.7920,0.1969,-1.3051,-0.5215,-0.2764,
-0.1556,3.4554,5.9928,2.6178,3.6509,-0.1609,0.3990,0.1315,
-0.0876,0.3813,0.6036,-0.0124,-1.0226,-0.3968,0.0582,-0.2368,
-0.1759,2.2507,2.0803,0.2058,0.0883,-0.6278,-0.0806,0.2618,
0.5190,0.4797,1.8599,0.4875,0.0455,0.1176,-0.0551,-0.0413,
0.4153,6.7366,8.7007,2.5690,2.1361,-0.0222,-0.2801,0.0696,
0.4407,0.5234,-0.7740,-0.5000,-0.1145,-0.4142,0.3921,0.1590,
-0.2804,-0.0088,-0.1042,0.3843,-0.0218,0.0434,0.6920,-0.0276,
0.6930,-0.5941,3.5119,-0.1170,0.3122,-1.9406,0.0173,-0.2215,
-1.3237,-2.0227,-2.4022,1.9669,1.1277,0.1050,1.2335,0.5029,
0.0088,0.5475,4.4663,0.3394,0.1225,-0.1426,-0.0834,-0.1300,
0.3916,-4.1734,-3.6473,-0.0124,0.7190,-0.2778,0.2587,-0.0116,
-0.1983,-4.5178,-0.8345,0.4669,1.1714,-0.3707,0.5170,0.0947,
0.0315,-10.5234,-5.5599,-0.0699,0.0823,0.0327,5.0263,1.2790,
1.6163,-0.2132,0.4145,0.7299,0.3092,0.3112,0.4407,0.0411,
-0.2230,-5.7759,-2.7201,-0.1867,0.4879,0.2143,5.0945,0.7731,
-0.2651,-17.0695,-7.8905,-0.6896,-0.2005,0.0718,1.4053,0.1177,
0.8239,-7.0606,-1.1720,0.4384,0.3639,-0.0447,0.9679,1.6093,
-0.2854,-1.1790,-0.0883,0.5508,3.2946,0.9019,1.3401,0.2711,
0.4982,-0.6922,-0.2361,-0.6147,1.0464,1.4220,3.8398,2.5184,
-0.7769,0.7360,0.2150,-0.1965,0.0107,0.1491,0.0937,-0.0242,
0.1225,-0.4471,-2.3410,0.2773,0.1929,2.4487,0.2437,0.2051,
0.8223,2.4528,5.3703,1.4741,2.3423,1.3085,0.3022,0.2039,
0.0081,0.1076,3.8128,1.3094,1.4608,-0.0176,-0.0251,-0.0363,
0.2840,0.8709,0.8208,-0.1718,0.3107,-0.5206,-0.1574,-0.0236,
1.7137,0.3022,1.1214,-0.0191,1.0789,-1.0006,-0.5253,-0.4844,
0.9750,4.2223,5.0537,-0.2140,0.3166,0.0120,-0.0376,-0.0397,
0.9066,-1.8658,0.0063,1.6501,1.6006,0.3124,1.0183,0.5528,
0.4083,0.9051,-0.0899,-0.2092,2.2699,2.3112,0.1452,0.5303,
-0.1653,4.1087,6.1389,2.3231,1.1490,-0.0075,0.0102,0.2647,
0.4095,0.9110,5.8661,3.2117,6.0590,-1.0888,0.6703,-0.0566,
-3.7714,-12.4741,-11.3595,-0.2126,0.1263,-0.2202,2.4922,0.0751,
