Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
0.3662,-0.0427,0.1665,0.1921,-0.053,ND
0.3322,ND,0.2663,ND,-0.0129,0.1468
ND,ND,ND,ND,0.5106,ND
0.2307,ND,-0.0161,0.1193,ND,-0.1503
0.1177,0.0153,0.0065,0.0698,0.2014,0.0001
ND,ND,ND,0.1101,ND,0.0223
0.3768,-0.0154,1.1263,ND,0.0994,ND
0.1942,0.0365,0.1232,0.1127,0.0444,0.2286
0.2879,0.1034,0.1833,-0.1688,0.0726,-0.1008
0.2607,-0.008,0.173,0.1504,-0.0362,0.0949
-0.1611,0.2918,ND,-0.0196,0.0849,-0.0656
ND,ND,ND,-0.0298,0.2953,-0.0377
ND,0.2253,0.2217,ND,0.1321,-0.4324
ND,0.2264,0.3643,0.3054,0.496,0.1631
0.709,0.1647,0.4564,0.3555,0.1899,0.3779
ND,ND,ND,0.0789,0.4272,ND
0.2481,-0.1404,0.1017,0.0014,0.0578,ND
ND,-0.0424,0.014,ND,ND,ND
ND,ND,ND,-0.0639,0.4215,ND
0.2126,-0.0678,0.1984,0.0362,0.069,0.138
-0.0139,0.1702,0.0919,ND,ND,ND
ND,ND,ND,ND,-0.021,0.2834
ND,ND,ND,0.0343,-0.0223,0.0808
0.2315,-0.0188,0.2236,0.0639,ND,ND
ND,ND,ND,0.1975,ND,0.2326
ND,0.165,0.1539,ND,ND,0.0624
ND,ND,ND,0.133,0.0278,0.208
ND,ND,ND,ND,ND,0.1725
0.2705,0.0027,0.2197,ND,0.0676,0.0502
0.1827,0.091,0.1582,-0.1173,ND,0.0795
ND,ND,0.285,0.0744,0.0294,0.1708
0.2139,0.0523,0.1914,0.0368,0.0737,0.1273
ND,ND,ND,0.0811,ND,0.1747
ND,ND,ND,0.0903,ND,0.2061
0.1714,-0.0803,0.2265,-0.0227,ND,0.2993
ND,ND,ND,0.1379,ND,ND
0.1052,ND,-0.2238,ND,ND,ND
ND,ND,ND,ND,0.1587,ND
0.463,0.2931,0.3901,0.2288,ND,0.382
0.4487,0.201,0.421,-0.2273,0.2071,0.1586
ND,ND,ND,ND,0.1568,0.082
ND,ND,ND,-0.0003,0.2411,-0.0082
ND,ND,0.2094,ND,ND,ND
0.0735,0.0665,0.1874,-0.2774,ND,-0.0535
0.0809,0.197,ND,0.0122,ND,-0.0631
ND,ND,ND,ND,ND,-0.1185
ND,ND,ND,ND,0.218,ND
0.0681,0.0907,0.158,ND,0.1782,0.0828
ND,ND,ND,ND,0.0871,-0.0749
ND,ND,ND,ND,-0.1143,0.1085
ND,ND,ND,-0.1802,-0.1972,ND
ND,-0.3679,ND,ND,ND,ND
-0.078,0.2501,ND,ND,ND,ND
ND,ND,ND,-0.3014,ND,ND
ND,0.7129,-0.205,ND,ND,ND
0.2147,ND,0.1729,0.1747,0.057,0.1613
0.2124,0.1049,0.1457,0.1738,0.0491,0.2218
-0.0414,0.0058,ND,ND,-0.1156,0.2468
0.2359,0.0675,ND,ND,-0.0076,0.0738
ND,ND,ND,0.359,ND,0.1251
ND,0.1189,ND,ND,ND,ND
ND,ND,ND,-0.1018,0.1895,ND
ND,ND,ND,ND,0.0892,ND
0.1872,-0.035,0.0811,-0.0319,0.084,0.0877
ND,ND,ND,0.1402,ND,ND
0.0735,0.1473,0.0974,-0.0184,0.1457,0.0935
