C1_lung,C2_lung,C3_lung,V1_lung,V2_lung,V3_lung,V4_lung,V5_lung
0.897607088,0.712650418,0.109868459,1.565665483,1.406214952,1.207600117,1.858605504,1.06584537
1.0766114,1.294269204,1.085404634,0.547774136,0.442649931,0.552894056,0.741422236,1.167587042
4.678116798,4.788914204,0.176994264,6.89947176,5.807875633,6.978881836,5.879220009,5.563579559
11.11347008,16.5221386,9.202952385,18.19017792,19.84620094,17.78679657,19.79074669,17.1605072
6.939405918,6.000588417,9.677629471,6.962685108,3.519829035,2.188469648,4.637521267,4.203836918
6.037437916,5.860355377,3.125070095,1.522182226,0.916409731,0.207432941,1.818068743,4.113919258
1.974488616,1.429055214,1.257335067,0.92517817,0.592979252,0.753193855,0.879496455,1.332519054
0.12868005,0.255931377,0.252363056,0.104716122,0.077280685,0.092535339,0.165021434,0.109282099
80.2431488,94.35016632,92.24443817,114.8915634,116.4833374,132.5511627,110.7983017,110.0148697
0.52836746,0.613714099,0.762474298,0.574898422,0.186091647,0.117357582,0.260576934,0.33238107
0.431725234,0.762302577,0.162257954,0.927706718,1.455997825,1.122409105,1.465827465,0.676083207
3.133461952,3.4373734,4.025182247,2.381158352,2.65992856,2.452418327,2.5196805,2.888416767
1.803048968,2.152011395,2.726032257,2.928472996,6.07798481,6.144245148,6.754980564,5.706244469
1.845156312,2.180757523,8.018127441,9.034939766,21.53973198,37.2539444,14.56696129,20.00991058
0.051928189,0.158778027,0.189828515,0.641598344,0.869744956,0.601062477,0.523588836,0.519151807
