Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-0.41092,3.66900,0.35978,0.63247,0.03006,2.11320,-1.70464,-1.53400
2.48201,0.65387,2.03605,1.71564,-0.10865,-1.99283,1.65660,-0.54870
1.12943,0.01217,1.36998,1.09409,0.37472,-0.57476,1.05451,-0.54071
0.14019,1.99343,1.87199,1.79424,0.85530,-7.47328,0.90869,-3.62322
-0.10856,4.41637,2.37886,2.35969,1.12687,-6.20418,0.21283,-4.67070
-0.12193,6.03230,2.39869,-0.14097,0.69633,-2.62398,0.12657,-5.15251
-0.21032,-1.80542,-1.01308,0.52753,0.03757,-0.31366,0.79460,0.25663
0.11837,6.15370,4.95347,4.48666,1.63899,-4.98305,-3.09056,-4.77196
-0.09401,4.18252,1.23874,-0.07534,0.26167,-2.47962,-2.45666,-1.95578
0.04366,11.12570,11.78878,1.15949,2.21009,-2.79788,-0.57152,-4.90115
-0.05356,10.63040,3.81271,0.74263,2.36181,-2.32329,0.02512,-0.85876
-1.88803,-0.89069,-0.06658,-0.10261,0.05356,-0.97392,7.62657,-0.10218
2.81439,3.67493,3.02909,0.12110,0.74862,-0.43894,-0.43780,-3.01427
4.19249,8.16778,5.47935,0.30191,0.04162,-3.09279,-0.34234,-3.70262
1.62821,8.35525,3.70752,-0.92884,0.59724,-1.07915,-0.23264,-5.62322
1.97667,8.48643,5.54669,0.04782,0.40964,-2.33215,-0.50969,-3.87727
2.30265,10.45925,9.64604,0.20278,0.11943,-5.57405,-0.36208,-6.07823
0.10589,-2.16655,-0.22015,0.36536,0.67483,-2.09793,2.56180,-1.37436
2.99490,1.79603,3.80258,3.52586,3.26833,-1.01899,-0.02148,-0.72603
0.56386,-2.01187,-2.36783,1.28750,0.05821,-1.17606,0.78199,0.05346
1.02629,-1.77915,-0.28995,0.05664,0.02879,-0.05507,1.11173,-0.02166
-0.03168,10.29368,14.01236,0.26988,1.99326,-0.11080,-5.08370,-0.58706
0.92263,4.21261,1.49893,3.73708,0.49142,-4.96137,0.23025,-4.12622
0.96742,2.38888,2.17573,2.57546,0.97156,-2.67570,0.21299,-2.99369
-0.10489,1.36352,0.04788,2.44945,0.95646,-4.82523,-0.07690,-2.82443
0.06702,2.40416,-0.11658,1.24404,-0.21283,-5.55318,0.02104,-7.31076
0.29571,1.28736,-0.09038,3.00303,1.73281,-1.24449,-0.02211,-2.39747
-0.84042,2.43098,-0.51229,0.21136,0.40706,-3.92247,0.19387,-3.59685
-0.54684,0.75849,-0.98508,0.18875,-0.20183,-3.83968,0.43026,-4.72900
1.01154,1.56025,0.67365,3.96626,0.63976,-4.47784,1.31835,-2.93659
0.44832,2.76481,1.09080,0.36135,0.17422,-1.53175,0.00369,-1.06408
-0.18356,-11.00433,-0.09303,6.71543,0.44134,0.17917,2.54711,0.47443
-0.00356,-1.53033,0.02888,0.51702,1.22275,-5.15634,8.73380,-1.30354
