Cancer_1,Paracancer_1,Normal_1,Cancer_2,Paracancer_2,Normal_2,Cancer_3,Paracancer_3,Normal_3,Cancer_4,Paracancer_4,Normal_4,Cancer_5,Paracancer_5,Normal_5,Cancer_6,Paracancer_6,Normal_6,Cancer_7,Paracancer_7,Normal_7,Cancer_8,Paracancer_8,Normal_8,Cancer_9,Paracancer_9,Normal_9,Cancer_10,Paracancer_10,Normal_10,Cancer_11,Paracancer_11,Normal_11,Cancer_12,Paracancer_12,Normal_12,Paracancer_13,Normal_13,Cancer_14,Paracancer_14,Cancer_15,Paracancer_15,Normal_15,Cancer_16,Paracancer_16,Normal_16,Cancer_17,Paracancer_17,Normal_17,Cancer_18,Paracancer_18,Normal_18
9311.17,0,9036.3,4260.02,46151.4,0,4111.82,9366.18,9715.05,3699.27,0,6054.1,3981.79,13246.3,7748.23,0,0,0,7831.23,0,0,3922.16,0,6313.1,5324.23,0,5388.33,4883.7,8378.61,12188.2,5895.58,13338.6,10587.2,10978.9,7828.3,39898.1,12055.8,0,6337.12,8430.78,18546.6,0,0,4858.17,0,7759.58,7466.78,8052.68,7494.31,6296.73,0,0
0,0,0,2575.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9233.33,0,0,7122.51,7971.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3889.77,34158.1,0
21601.2,0,0,0,23506.2,0,21755.2,0,0,18868.2,0,0,22319.9,0,0,0,0,0,74810.2,0,0,0,0,0,46700,0,0,0,0,0,79908.5,0,0,23757.6,0,0,0,0,40238.9,0,71369.9,0,0,0,0,0,0,0,0,16979.6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1394.96,10434.5,8865.91,0,0,0,0,0,0,0,0,0,3937.45,3753.36,13777.7,4844.31,7161.93,0,0,0,733.211,0,0,0,11254.4,0,0,6845.47,5302.86,3341.1,7066.72,3244.79,0,4171.81
16186.2,3345.04,2288.83,0,6920.93,0,12189.6,11542.2,6281.59,10375.9,9852.47,4531.94,12490.3,0,0,0,0,17556,8375.61,0,0,19902.8,18506.4,0,4909.1,0,0,3671.14,0,0,9048.93,4740.21,0,13666.1,8546.55,10273.4,6296.22,0,15895.4,0,26165.8,0,0,8403.75,16830.2,0,0,4113.67,0,5972.54,6446.22,0
76362.5,21599.4,15587.5,0,32597.2,11708.5,52006.5,73903.4,0,48101.3,0,18988.1,0,60794,0,156716,228288,77669.3,61862.7,10207,0,26598.8,60559.1,34222.1,0,15171.6,0,42318.2,21799.7,34692.6,24795.3,19843.6,0,45077,21608.1,0,12551.6,9195.28,31500.9,29986.8,149003,62587.4,0,30477.5,50704.5,0,6122.92,16171.3,0,18296.6,45782,12942.5
0,0,2778.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2768.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.975,0,0,0,0,0,0,0,0
20419.3,0,0,35877.2,0,15568.5,240.385,0,0,16054.5,0,0,26695.2,0,0,0,0,0,17552.5,0,37296.1,27405.1,0,0,72600,0,0,32530.2,0,0,32413.6,28727.4,51153.2,39496.2,46129.8,51772.3,35610.7,0,30225.6,21397.5,0,0,17544.2,31070.7,0,0,22185.9,0,0,7794.21,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6896.55,0,0,0,0,2369.03,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1981.05,0,0,2101.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2138.5,0,0,10796.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3140.4,0,0
0,0,0,14088.8,0,0,2469.94,0,0,4812.08,0,0,6268.28,0,0,22924.9,0,0,6533.39,0,0,5704.45,0,0,24621.4,0,19491.5,6067.6,0,0,7148.56,3955.07,12619.5,5557.58,0,15555.5,16645.9,0,6297.76,0,0,0,0,4448.87,0,0,21383.6,0,0,0,0,0
28741.4,19359.5,16391.1,0,129090,24852.7,29174.3,66590,28047.8,18223.9,31913.2,25007.1,13406.8,0,0,0,0,0,40461.3,0,0,21607.8,44216.7,31381.4,0,0,0,24620.8,29063.4,28522.8,49102.3,30635.5,0,25992.2,25998.4,0,15415.4,0,19227.8,57552.2,75852,69893.5,28935.6,30426.5,72990.6,39577.1,11752.4,0,0,45071.4,81720.9,0
30924.4,0,0,0,0,0,14487.8,0,0,20916,0,29193.2,0,0,0,0,0,0,5252.24,0,0,18642.1,0,0,0,0,0,15062.6,2560.69,0,51348,0,0,0,0,0,0,0,36193.3,0,0,0,0,0,0,0,0,0,0,40490.7,0,0
18431.3,0,0,0,0,0,6578.97,0,0,0,0,0,0,0,0,55553.3,0,0,3851.72,0,0,7446.13,0,0,0,0,0,7591.19,12704.1,0,6230.11,9947.96,0,11763.5,17990.8,0,13392,0,4368.94,7626.82,20369.8,10188.3,0,0,8500.5,6312,6191.12,5814.94,0,4126.04,0,0
32177.9,16458.6,10152.4,22565.1,24492.2,0,19993.8,99590.8,38907.5,25598,49455.6,33701.6,25903.2,162120,0,30319.2,0,51010.5,16514.7,0,0,33683.3,63375.7,66858.5,30016.6,50713.8,64767.4,14168.6,3469.06,10095.7,15934,12102,891.771,16881.8,16442.7,0,0,1134.42,14225.3,16605.5,55021.6,26804.1,8065.93,24644.7,53849.1,1515.28,20900.3,3249.28,0,13180.3,49601.1,0
3725.71,0,0,27930.2,0,0,5547.49,0,0,8823.41,0,3604.33,11697.8,0,1692.01,0,0,0,13644.6,8476.55,0,5687.8,0,0,14105.7,0,22335.6,7926.88,0,6411.14,8746.41,0,0,6375.46,4827.08,0,0,0,3806.64,0,4042.97,0,0,6890.21,0,0,0,0,0,9032.15,0,0
0,0,0,0,8108.3,0,2107.79,0,0,0,0,2018.1,0,0,0,0,0,0,11259.4,0,0,0,0,0,0,0,0,0,0,0,17085.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5515.04,0,0
9227.49,52016.1,4881.49,5177.14,3218.33,0,11735.5,8611.28,0,6122.24,178187,88961.7,48577.1,406624,81948.6,108213,663807,366561,87004.1,3196.23,0,13196.8,0,206663,28231.1,164452,0,68545.9,0,5346.89,140886,2735.95,0,4080.16,16250,87338.8,0,0,3517.92,120878,12343.5,4361.39,0,155707,6402.64,195451,2775.75,0,0,16079.2,5946.4,0
0,0,0,2620.02,0,0,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4085.94,0,0,1192.71,0,0,5456.55,3413.88,0,2087.85,0,0,0,0,0,1072.1,0,0,0,2687.06,0,0,3342.56,0,0,3809.4,0,0
1585.51,0,1489,4512.73,0,0,2247.56,0,0,1013.56,0,1473.91,3056.09,0,0,0,0,0,1078.83,0,0,687.63,0,0,0,0,0,0,0,0,1214.81,3202.48,3428.43,1654.55,0,0,0,0,1091.07,1492.17,0,0,4196.5,1054.35,0,3223.03,0,0,0,1547.43,0,0
0,123717,147457,0,0,125604,13179.4,119841,406515,21914.4,241577,130332,16912.2,201431,233464,214215,783834,282764,89932.1,318910,94263.6,33103.9,366904,405399,35176,592227,108787,11928.9,0,187499,13559.1,30498,22923.8,23067.3,32642.4,34026.6,31068.5,119982,18744.7,103816,33212.6,111577,352837,34976.7,201135,50404.9,30169.7,128143,0,1258.64,294589,135699
0,0,0,2242.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16440.6,0,0,0,0,0,16381.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16703.6,0,0,0,0,0,0,0,0,7374.74,0,0,0,0,0,0,0,0,0,0,0,0,5757.19,0,0,0,0,0,6714.36,0,0
5013.15,0,0,0,0,0,3293.16,0,0,0,0,0,0,0,0,4372.97,0,0,0,0,0,0,0,0,0,0,0,2003.84,0,0,4980.52,0,0,0,0,0,0,0,0,0,6000.21,0,0,3829.14,0,0,0,0,0,3942.47,0,0
0,0,0,8293.95,0,2818.08,5111.54,1618.25,0,7053.53,0,0,14883.7,0,0,0,0,0,6399.66,0,0,8529.96,0,0,21656.1,0,12844.7,5234.69,0,0,4098.65,0,0,7047.86,5867.66,0,0,0,6591.13,0,0,0,0,0,0,0,0,0,0,0,0,0
7262.21,0,0,4117.92,0,0,1249.43,0,0,1569.16,0,0,1290.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148.07,0,0,0,0,12895,0,0,0,2712.5,0,0,0,0,0,2547.68,0,0
20363.3,0,0,9604.63,0,0,29588.9,0,0,0,0,0,0,0,0,0,15411.2,0,86262.3,48821.7,0,28305,0,0,0,0,0,0,0,0,38768.4,0,50028.1,61482,0,0,0,0,27323.2,0,61730.1,25874.8,0,0,0,0,0,22262.9,0,74852.9,0,24859.7
0,14666.3,0,0,0,13272.8,0,39971.9,112656,41686.2,598314,103505,0,423647,88172.9,0,0,0,35466.6,55570.2,44635.4,0,55825.4,77936.9,0,252252,0,0,34837.1,0,4513.58,24660.6,28200,11398.8,13511.1,0,0,50683.3,0,89193.8,0,94973.9,0,0,21311.2,22691.6,0,47675.9,76204.6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5542.19,0,0,3234.2,0,0,0,0,3547.46,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3875.13,0,0,3622.49,0,0,11891.2,0,0,4726.44,0,0,0,0,0,0,0,0,1505.66,0,0,0,0,0,0,0,6903.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2953.55,0,0
