Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
-2.865922,-2.135609,-2.872478,-3.658874,-1.968355,-0.6502781,-3.490322,-2.322937,-1.293428,-0.5177422,-3.272067
-2.510302,-2.135609,-2.198791,-2.740695,-1.968355,-0.6502781,-3.785731,-3.295392,-1.293428,-0.5177422,-3.466507
-2.771948,-2.59252,-2.417925,-3.296518,-3.093044,-1.42168,-2.704717,-2.557133,-2.16313,-0.7813702,-1.552519
-3.516819,-2.878605,-2.521773,-2.633431,-2.514268,-0.9986153,-3.405509,-2.990528,-3.379739,-0.9567394,-3.369003
-3.420806,-4.251245,-2.840254,-1.838161,-3.535987,1.12406,-3.842643,-2.776716,-2.853858,-1.859571,-3.327234
-2.835184,-0.6712093,-3.103882,-2.766747,-2.48386,0.9711399,-3.783569,-2.713086,-4.541402,-0.1883316,-2.903873
-2.952328,-3.659096,-2.215733,-3.601034,-3.522995,0.4572754,-3.947804,-2.761298,-3.445549,0.2804699,-0.7145557
-2.765197,-3.556741,-2.231737,-3.299562,-2.68106,-0.2795105,-2.609322,-2.544565,-3.952925,-0.1891174,-4.035718
-3.299629,-3.411645,-3.119443,-4.177617,-2.997959,3.314856,-4.162261,-2.429105,-3.2752,2.402672,2.753847
-3.387732,-2.871214,-3.112814,-2.694571,-3.468063,-2.154793,-2.661065,-3.641741,-3.160489,-1.720953,-3.343694
-2.2744,-2.896554,-2.487168,-3.192911,-0.6927395,-0.7926807,-2.609463,-2.863416,-0.5224495,0.1891766,-3.023658
-2.351791,-3.520804,-3.132321,-3.276565,0.7280006,2.606571,-3.392297,-2.475377,-3.881752,2.283474,-3.355492
-4.213735,-3.591421,-2.80469,-4.101557,0.7280006,2.606571,-3.731278,-3.317172,-3.391509,2.283474,-2.198937
-3.018265,-2.590492,-1.62281,-3.542839,-3.232596,0.652216,-4.207177,-2.850309,-3.329798,1.43898,-0.1298561
-2.765886,-3.759956,-0.6570053,-2.421363,-4.376841,-0.2556725,-3.760967,-2.696586,-3.319621,-0.6139584,-3.883905
-2.986691,-3.295384,-3.457198,-2.507861,-2.153502,0.4085445,-2.573441,-2.972022,-3.567925,0.4030266,-3.597737
-2.023198,-3.877741,-2.514726,-3.08754,-2.437979,0.9365826,-3.065336,-2.937897,-4.275399,-1.693161,-3.052809
-3.11432,-2.381253,-3.378021,-2.703813,-2.993356,0.9365826,-4.226425,-2.731489,-2.973053,-1.693161,-2.550806
-2.721443,1.312744,0.051651,-0.3320351,1.482365,2.22238,-0.2313843,-2.7809,0.9476967,2.778238,1.015245
-2.473297,-3.075306,-2.761708,-3.320227,-3.721333,-0.6533337,-4.262129,-3.240107,-2.965083,-0.2982597,-3.812593
