Control_1_F670,Control_13_F823,Control_14_100565,Control_15_100291,Control_17_F796,Control_18_100649,Control_19_101928,Control_21_F821,Control_22_G461,Control_26_101060,Control_29_G114,Control_31_F699,Control_34_102333,Control_35_F675,Control_36_E701,Control_38_102300,Control_39_D681,Control_4_100448,Control_40_F824,Control_41_F305,Control_44_D751,Control_46_F026,Control_47_F104,Control_5_100369,Control_51_F320,Control_53_E696,Control_57_101582,Control_58_G777,Control_7_G274,Control_9_F644,T1D_10_F797,T1D_11_F789,T1D_12_F403,T1D_16_100905,T1D_2_G419,T1D_20_F717,T1D_23_100682,T1D_24_F780,T1D_25_102069,T1D_27_F769,T1D_28_F734,T1D_3_F835,T1D_30_D728,T1D_32_F468,T1D_33_F688,T1D_37_D702,T1D_42_F646,T1D_43_F249,T1D_45_D841,T1D_48_F124,T1D_49_D654,T1D_50_F433,T1D_52_F842,T1D_54_F311,T1D_55_F829,T1D_56_100749,T1D_59_F371,T1D_6_F817,T1D_60_F525,T1D_8_100980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866848,773275,919185,887359,945177,776286,962869,1064319,739732,1014116,920322,932786,1149231,935902,1067006,910053,1002695,844383,1515090,819613,988536,940156,887371,743547,995005,1186814,955474,948097,1010539,880829,642278,770483,911161,928559,935345,837856,739311,779055,623436,704760,759632,742017,723478,658114,688640,890958,527006,1028481,1022428,1134825,861550,831054,968019,870297,881109,763223,762263,2181067,984914,961774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670258,107676,64499,76564,304258,319575,61286,141033,110937,47978,104492,63232,40595,34924,59223,40801,29556,83793,24254,31900,31710,40192,41021,83620,33651,58619,55093,54437,70997,283444,521133,1118736,39959,106008,46646,325119,67760,1332698,626606,155743,165112,237930,42377,107720,5031628,144257,1313019,51406,37963,72456,32465,64955,182035,50486,8994568,201448,65955,409277,29610,805460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667716,3155037,2861712,2771143,3378893,2709742,3324868,2643867,3497936,3534737,3699886,3889142,2872052,2773781,3760699,2634046,3089307,2660626,2232803,2544606,3430436,2696133,3463409,2996188,3638389,3966254,3380931,3058036,2871367,3469835,3088731,4213791,3604296,3720513,4944199,4073888,3551542,3514379,4477851,2549702,4354404,3315414,3493939,2475648,3332407,4228253,2881932,3504390,3664464,3656753,3432941,2832689,3702790,3119637,5070472,2640031,2972876,2876565,3035749,3301706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782647,894589,903777,702763,642275,598595,811323,703283,653342,842414,859900,891952,1050139,799251,929701,768352,822172,770269,773447,713808,872412,937759,913127,797477,843978,918904,886495,1026217,832229,843607,417163,552916,499622,908071,898918,496304,698749,473791,538982,521387,582157,733019,777293,443576,743751,823188,389309,832849,897793,992801,864884,696040,663965,858008,1152335,741711,704375,424807,1034038,875868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386527,1533173,224629,248615,593962,1598085,650987,935063,609600,125124,450269,1083332,217754,406171,165335,348732,533151,594503,348185,335446,390144,658189,928405,916246,192996,241806,211958,126788,231762,825554,897723,1259704,145908,606830,419059,1338123,253439,623244,1933619,927549,2231033,346818,446670,1043803,1277449,1025007,2109922,140894,735001,184592,320105,440025,1085444,221354,1127599,376299,530135,971036,240892,124353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237412,264389,263274,243724,310977,363380,326218,295352,552493,336261,346973,337689,262923,265115,329422,304086,247270,232002,311253,310746,245537,241130,252295,314112,252846,437041,250434,277461,236953,271646,380842,407855,296153,235505,308933,460511,351279,392466,559065,263039,326070,422995,311584,423947,422125,407403,550479,375963,287410,231994,299090,420797,359434,327097,378901,335165,380900,362772,217365,225455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322686,358817,331416,265411,229204,217638,261327,262985,286131,318401,363908,317882,479076,290294,382013,321171,284015,348189,369906,301262,375883,430710,458816,320283,321473,366710,352278,457297,367947,272099,244853,274918,305879,352312,376143,245385,341485,235465,304854,207734,200812,255297,278132,201520,224736,272496,265970,379806,302137,462363,361215,209300,327966,334324,283864,265474,281347,300880,379153,414699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387822,2670538,2328627,2489350,3420336,3950354,2939609,2983303,4398050,2512290,2224901,3194549,2686950,2693733,2814974,2421280,2902579,3239503,2319496,2212181,2428932,2719878,2950185,3344585,2226703,3630436,2071835,2214823,2449090,2821495,3364145,4204109,2651199,3403007,3834836,4976130,2364811,4087135,5423382,2677608,4772416,2992190,2548434,3075171,3697263,4679028,4140278,2646987,3097845,3271965,2257984,3294725,2822046,2860866,4236121,2404897,2893076,3083343,2102449,2329674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964292,1263043,1423361,1496295,409511,13370212,723900,1699238,1156880,3383806,3816119,1447467,747747,1003220,582145,610672,1621565,2606226,1114873,1854588,338226,5141668,381140,2324840,2373243,1027027,869882,971240,834293,384505,5921185,6931358,700210,1593449,24357744,9419907,349455,2870404,556095,811727,519589,697640,1661136,447783,1044708,1160681,2739303,1559073,1463082,2500626,2469830,2968086,1871389,1525662,3216952,978587,1533871,1624426,17161422,2160112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326313,1256739,2043441,1405993,1999758,1014628,1749481,1556686,1652607,1871169,1928061,2151537,1769849,1584225,1905893,1522657,1468073,1502151,1349933,1105282,2234991,1745257,1984992,1548185,1694519,2181828,1995751,1992238,2031820,1724878,1271287,1844229,1941974,1771422,2152006,1298886,1831284,1161763,2717740,1566784,1640571,1510180,1671660,1330077,1664778,2244976,944570,1917230,1529005,2082261,1831947,1806263,1686218,1695618,2226427,1590594,1619116,1204915,2053665,1596885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
