Intensity,Intensity LEIBR,Intensity LEIDO,Intensity LEIIN,Intensity LEIAM,Intensity LEIMA,Intensity LEITA,Intensity LEITR
13508000,0,0,0,13508000,0,0,0
41194000,0,0,0,33533000,0,0,7660600
1299300,0,0,0,1299300,0,0,0
39218000,0,0,0,39218000,0,0,0
98179000,0,0,0,95136000,3042700,0,0
2349800,0,0,2349800,0,0,0,0
668900,0,0,0,668900,0,0,0
244400,0,0,0,244400,0,0,0
5840200,5114100,726150,0,0,0,0,0
9645600,0,0,0,9645600,0,0,0
6165000,0,0,0,6165000,0,0,0
5379200,0,0,0,3781100,0,0,1598200
44409000,0,19749000,0,24660000,0,0,0
156740000,0,0,0,156740000,0,0,0
2464000,0,0,0,0,2464000,0,0
242420000,10647000,37271000,5147100,40384000,44856000,90532000,13582000
234280000,0,148890000,13345000,16529000,34140000,0,21380000
4152200,0,0,0,4152200,0,0,0
8681600,0,0,8681600,0,0,0,0
59220000,0,59220000,0,0,0,0,0
3218700000,40143000,2219200000,280270000,0,277320000,390990000,10752000
1768500000,78961000,920490000,159580000,31397000,80130000,484980000,12966000
5212200,1483300,3728900,0,0,0,0,0
73567000,0,15167000,20282000,0,2944000,35174000,0
5144100,0,0,0,0,0,0,5144100
57444000,0,57444000,0,0,0,0,0
17575000,0,16422000,1152100,0,0,0,0
205960000,0,135330000,12227000,22984000,35423000,0,0
1558300,0,1558300,0,0,0,0,0
237160000,0,206620000,0,19072000,11469000,0,0
392130000,0,297270000,94856000,0,0,0,0
143580000,0,127540000,11314000,0,4731500,0,0
918340000,0,437940000,66355000,0,0,414040000,0
79323000,0,32427000,46896000,0,0,0,0
37125000,0,37125000,0,0,0,0,0
85594000,0,48188000,5111100,0,5053500,15954000,11288000
126590000,19321000,88751000,18521000,0,0,0,0
78388000,0,78388000,0,0,0,0,0
1122800,0,1122800,0,0,0,0,0
203450000,39604000,75531000,19877000,20855000,24686000,18645000,4250800
62757000,0,58096000,0,0,4660800,0,0
29578000,0,29578000,0,0,0,0,0
368570000,67526000,205040000,34346000,0,0,61664000,0
191750000,2042900,78552000,94333000,0,0,9943500,6877600
767410000,0,614770000,3529200,110290000,3859600,25792000,9171900
60217000,0,49450000,0,0,10767000,0,0
38418000,0,8386400,25887000,4145100,0,0,0
2351100,0,2351100,0,0,0,0,0
67409000,0,0,0,0,0,67409000,0
51991000,0,5097400,4222000,5893500,0,36198000,579770
84553000,0,59333000,9520800,3491900,8774100,0,3432500
36853000,0,36853000,0,0,0,0,0
2583000,0,2583000,0,0,0,0,0
983760000,0,676720000,129700000,129290000,20363000,24863000,2831300
36966000,0,22881000,1832900,0,0,12252000,0
42995000,0,33511000,9483900,0,0,0,0
12541000,0,12541000,0,0,0,0,0
1696000000,18529000,1208200000,69018000,162840000,61397000,172130000,3898600
2693300,0,0,0,0,0,0,2693300
46711000,0,19103000,27608000,0,0,0,0
42192000,3116800,29625000,0,0,0,9450200,0
23117000,0,10381000,5020300,0,1141700,6573900,0
795740000,37550000,84159000,55620000,0,7524400,605630000,5261800
171720000,0,117610000,54112000,0,0,0,0
7306200,0,7306200,0,0,0,0,0
602720,0,0,0,0,0,602720,0
2771700000,42553000,372170000,361750000,91904000,22617000,1872400000,8384600
31947000,0,31947000,0,0,0,0,0
343690000,6620800,254110000,20289000,875280,8539200,52970000,289880
214030000,0,173820000,39990000,0,0,0,224460
50520000,0,21943000,0,24448000,0,0,4129100
35429000,0,35429000,0,0,0,0,0
186430000,0,174360000,12076000,0,0,0,0
12874000,0,0,0,0,0,12874000,0
1672100,0,0,0,0,0,0,1672100
5043000000,43800000,109670000,152610000,32029000,3223000000,17813000,1464100000
14459000,0,0,0,14459000,0,0,0
33813000,4623600,0,16740000,5179900,0,7269300,0
8127200,0,0,0,0,8127200,0,0
57619000,1283300,42846000,1148400,0,7604700,4736300,0
71114000,50491000,0,0,20623000,0,0,0
32429000,0,0,0,32429000,0,0,0
440910000,0,233980000,3774800,0,0,0,203160000
62100000,0,17956000,0,0,32625000,5280700,6238500
104410000,0,0,0,104410000,0,0,0
1035300,0,0,0,0,1035300,0,0
