Intensity trophozoite 1,Intensity trophozoite 2,Intensity trophozoite 3,Intensity trophozoite 4,Intensity  pseudocyst 1,Intensity  pseudocyst 2,Intensity  pseudocyst 3
21391000,87747000,94838000,71074000,689440000,1085800000,545660000
68694000,199460000,176870000,165850000,347130000,449680000,323480000
91736000,27180000,0,0,78140000,92480000,72838000
17664000000,32845000000,22390000000,20058000000,20434000000,20950000000,11015000000
339220000,1099100000,662410000,517160000,149900000,240820000,190890000
125160000,121830000,113340000,123910000,0,20005000,0
1552000000,1227500000,1983400000,2666100000,15532000000,15089000000,6313400000
216030000,552430000,497360000,557600000,0,120680000,0
4866000000,4932000000,6854000000,3447500000,2601000000,3797100000,1778700000
0,128580000,65396000,95973000,94057000,194600000,57433000
1158500000,3619100000,2322600000,2887800000,2228200000,3467400000,536920000
940590000,0,0,0,165670000,358070000,64234000
26094000000,38768000000,32295000000,36321000000,9885100000,10118000000,5184800000
229670000,212330000,136690000,269080000,157230000,266580000,124800000
0,34932000,0,0,74391000,147460000,63817000
617460000,824240000,1380500000,1246400000,1205000000,1216700000,278280000
0,36722000,0,16321000,185800000,320700000,128630000
2294300000,3674000000,2798600000,2816900000,2982700000,3333100000,2129300000
29092000,192560000,135610000,137300000,1563000000,2081600000,1087700000
114060000,182720000,227940000,339480000,620320000,692800000,493130000
827990000,1319800000,1229600000,1293200000,1206300000,947160000,662500000
49110000,26407000,20657000,30332000,87559000,44231000,84035000
192050000,258170000,349040000,504770000,47798000,121940000,14518000
54418000,127610000,152990000,95511000,0,0,0
303910000,1426000000,762340000,239830000,1798100000,2325200000,1015600000
115270000,539150000,420250000,403490000,56814000,46399000,49048000
22872000,30731000,0,10924000,105940000,129600000,0
2326900000,4808500000,1282100000,503330000,4760500000,4120300000,3831100000
72619000,203370000,166170000,175400000,106100000,77260000,33867000
29720000,375500000,194630000,252300000,34996000,47055000,0
153420000,292540000,231640000,241390000,28501000,28921000,9266400
47861000,0,52783000,291710000,1147100000,651710000,24474000
0,0,0,0,771680000,1090900000,557190000
1150900000,1945800000,1741000000,1718900000,2304200000,1554900000,772540000
1020600000,957690000,670260000,808960000,902940000,548650000,417580000
516330000,125180000,113560000,240820000,3218100000,988860000,984890000
341250000,412560000,423140000,525300000,536710000,619070000,315200000
1749100000,3079500000,2636700000,3897300000,2241900000,2453600000,1387700000
0,154640000,67649000,106810000,653910000,519630000,78743000
46825000,295020000,194780000,176500000,33611000,74221000,0
77222000,80857000,59897000,203390000,228570000,40373000,115000000
165000000,519110000,494550000,591550000,19819000,0,30661000
215290000,212150000,107670000,145660000,563560000,402890000,370720000
155260000,79697000,70347000,85388000,1794800000,2663400000,1944100000
82673000,61964000,64166000,73315000,779520000,768490000,347980000
170950000,179020000,94545000,156540000,437430000,251360000,186730000
298860000,649810000,414250000,669560000,25316000,0,35684000
5854700000,8668100000,8382100000,9882900000,11394000000,11412000000,12387000000
490590000,829240000,584780000,581490000,488960000,518350000,360360000
42411000,88220000,62359000,97984000,289560000,239410000,148920000
750930000,842710000,907480000,1063800000,2122600000,1252500000,1029900000
271650000,81755000,72175000,0,440470000,421140000,712730000
549760000,41036000,20605000,385010000,29122000,11625000,203350000
734400000,1713700000,1544500000,1992500000,839690000,702310000,525980000
170250000,94504000,6885900,53609000,231170000,219070000,184550000
413910000,1073500000,774610000,778550000,687650000,510360000,73385000
1547100000,2019900000,2068400000,2179400000,1842400000,3159400000,910170000
927240000,1235100000,973840000,815110000,1374100000,1562100000,1015500000
2001900000,3069000000,2387400000,2466100000,6193800000,6974400000,4144600000
357640000,223270000,193880000,326150000,0,176680000,48902000
121870000,698900000,426390000,569100000,381440000,467680000,385760000
849890000,1543700000,1661600000,2363700000,2351400000,1720600000,479790000
1031800000,2793600000,2099600000,1868800000,7345100000,8620300000,6686600000
115800000,169510000,146250000,151720000,57769000,42814000,57908000
22551000,0,9582300,12425000,0,0,0
3425700000,3270100000,3716600000,3889800000,6301600000,5624900000,5488200000
553520000,790310000,447610000,579820000,431360000,538090000,243930000
0,0,0,0,1117900000,622370000,108900000
1042800000,1540300000,1087400000,1091200000,1488300000,1137800000,602560000
34513000000,42984000000,40738000000,43818000000,30691000000,27788000000,14404000000
82646000,15591000,122700000,91873000,286270000,156180000,55059000
832170000,961740000,1107200000,1149000000,8440900000,8373400000,5219800000
259430000,395360000,409370000,687290000,490050000,316710000,120040000
1514200000,3352400000,3562300000,2318100000,13629000000,12517000000,7043400000
0,385390000,280000000,321000000,0,0,0
0,43548000,0,90376000,91524000,150660000,0
0,37727000,15153000,10949000,0,0,0
0,0,0,24897000,137510000,147960000,121190000
67078000,0,172370000,104020000,104880000,0,39986000
1029200000,112230000,554090000,557240000,174720000,236020000,89475000
900060000,1042300000,1148600000,929080000,486130000,606430000,1024800000
580060000,990420000,1143100000,581590000,328410000,0,619690000
751760000,1401500000,936830000,1032400000,6605500000,4724000000,2557700000
136330000,363670000,317090000,288300000,185860000,348420000,51288000
81096000,43738000,106180000,116810000,320200000,223610000,49897000
249310000,559600000,333800000,240410000,275710000,458690000,187160000
98635000,210180000,173230000,130690000,36542000,0,0
0,0,0,0,43274000,54826000,0
154940000,425920000,341070000,435330000,222390000,349210000,142510000
83791000,180010000,227700000,148660000,1075200000,160790000,321200000
661120000,1050900000,524450000,875040000,323750000,725450000,1226100000
147470000,312130000,412870000,222040000,159660000,210660000,80044000
248060000,158780000,185410000,144370000,2728000000,3592500000,3444100000
160600000,366770000,231930000,129800000,0,0,0
318680000,272380000,114920000,137570000,846030000,838430000,827040000
666630000,347500000,378740000,390990000,102890000,365350000,155250000
3741200000,6164300000,4129100000,3390900000,7051600000,6659000000,6380800000
123980000,0,242850000,200030000,0,0,49561000
121580000,167490000,137750000,105910000,146350000,126930000,101830000
30017000,39894000,43951000,43657000,177350000,210790000,39092000
181580000,373410000,283870000,248340000,757720000,626780000,489000000
63702000,459450000,200920000,186290000,1996200000,1806100000,222890000
61372000,69928000,64268000,77069000,40245000,19075000,0
20629000,23681000,256950000,197950000,0,15530000,13053000
34023000,43392000,100710000,0,524030000,393700000,132790000
278920000,1180100000,1124100000,1107400000,7183800000,5156400000,703400000
0,455500000,405710000,25999000,129160000,64148000,161520000
875000000,411460000,302620000,487450000,150720000,558860000,412340000
467530000,658400000,598990000,548320000,1212300000,1631200000,1944900000
71802000,111710000,16476000,36012000,52009000,48698000,38215000
246850000,303670000,502980000,534640000,312060000,427650000,235390000
1997100000,3110000000,2377900000,2828900000,2534000000,3402500000,1636300000
19321000000,20074000000,18566000000,18425000000,16709000000,16657000000,13364000000
1218100000,2030800000,1624000000,1720200000,3791300000,2990400000,1517800000
51931000,443980000,422760000,475000000,0,122780000,78447000
0,112360000,73525000,163380000,294340000,240270000,162940000
68736000,236110000,148560000,179340000,78954000,318120000,0
411470000,587320000,518380000,665470000,875080000,1076300000,647290000
1689800000,4123300000,3397400000,2998200000,2639700000,1908400000,898860000
115330000,85962000,82312000,62617000,0,0,0
104610000,78540000,156820000,161180000,2287200000,1596500000,226530000
1263700000,3974800000,3131900000,3139400000,3078800000,2948500000,1621300000
42807000,0,108550000,100960000,272440000,412300000,0
0,0,33588000,9039700,4767000000,6209100000,4066000000
36819000,22961000,0,25662000,64579000,74560000,12874000
0,114710000,55589000,27035000,185190000,86531000,67567000
102960000,70266000,51485000,86096000,76255000,68026000,31315000
30203000,34899000,0,0,392490000,151110000,332800000
35574000000,53246000000,43660000000,39671000000,66379000000,71380000000,55457000000
49774000,38097000,47698000,40742000,192360000,222510000,0
0,0,0,0,59847000,0,24756000
282760000,747100000,666960000,888410000,236410000,105730000,148940000
4856000,32890000,25669000,22068000,14642000,0,43303000
809540000,502360000,436600000,475840000,4182700000,4180600000,3738600000
113980000,17312000,85199000,172980000,333660000,560750000,566950000
2258400000,4625400000,2886500000,2777000000,2261600000,2310600000,354700000
142360000,222630000,304160000,277730000,134080000,39892000,107040000
115580000,0,0,8428900,237520000,0,43290000
27524000,89665000,108420000,63123000,88787000,0,7816500
29316000,17149000,18886000,33415000,20660000,0,0
140060000,81352000,101550000,106530000,134050000,208790000,138290000
888340000,3270400000,876180000,804990000,1014500000,1062000000,676680000
99879000,505940000,509110000,460510000,46896000,63817000,57912000
846130000,1180100000,888630000,713000000,1567600000,762730000,671390000
1469700000,2201900000,1802900000,1788300000,890340000,1035400000,1100100000
1458400000,1105800000,1324500000,1364700000,735780000,1048300000,879170000
513700000,734310000,528220000,447080000,927240000,1205800000,912220000
72907000000,83473000000,85462000000,78719000000,42286000000,36595000000,19927000000
