LFQ.intensity.1.2M.urea,LFQ.intensity.2.2M.urea,LFQ.intensity.3.2M.urea,LFQ.intensity.4.NaCl x3 wash,LFQ.intensity.5.NaCl x3 wash,LFQ.intensity.6.NaCl x3 wash,LFQ.intensity.7.LiCl,LFQ.intensity.8.LiCl,LFQ.intensity.9.LiCl,LFQ.intensity.10.NaCl x1 wash,LFQ.intensity.11.NaCl x1 wash,LFQ.intensity.12.NaCl x1 wash
22.259,23.502,21.513,21.395,21.727,22.664,20.484,21.164,20.622,20.995,22.330,21.387
23.228,24.369,24.214,23.399,24.292,23.369,26.851,26.831,26.378,24.925,24.505,24.839
20.536,22.079,22.518,24.350,24.538,24.906,26.256,25.987,26.466,27.008,26.955,26.928
23.366,24.501,24.041,23.769,23.403,23.919,24.275,24.069,24.329,24.241,24.495,24.768
30.405,31.190,31.306,31.479,31.222,31.200,32.263,31.875,32.061,30.618,30.824,30.872
28.886,29.704,30.198,31.300,31.232,30.733,32.031,31.814,31.912,30.023,30.282,30.400
26.168,26.772,26.607,25.600,25.215,25.428,25.207,24.496,26.003,25.905,26.075,26.386
25.856,26.370,26.163,27.745,27.768,27.383,27.806,27.590,27.805,27.041,27.290,26.952
28.700,28.999,28.702,29.476,29.492,28.711,28.730,28.849,28.703,30.543,30.478,30.630
20.815,22.809,19.756,23.815,23.906,22.919,23.662,23.648,23.707,23.295,24.945,23.854
23.367,23.469,23.210,21.658,22.470,22.136,23.565,21.012,22.416,22.959,23.110,23.300
23.777,24.715,21.243,20.035,21.399,23.049,22.124,21.151,22.293,19.959,21.048,21.082
26.241,27.447,26.801,25.779,25.741,25.004,24.615,25.602,24.773,25.441,25.550,25.313
26.627,27.339,27.149,28.275,28.671,28.628,28.839,28.559,28.800,28.474,28.563,28.798
25.115,26.904,25.587,24.654,24.310,21.085,24.502,25.131,24.568,24.971,25.175,25.230
28.186,28.491,28.121,27.258,27.241,26.388,27.084,26.805,27.000,27.476,27.255,27.537
21.116,22.899,19.056,23.215,21.849,22.552,25.169,25.554,25.248,21.170,22.357,21.682
33.898,33.746,33.820,34.220,34.194,34.254,34.466,33.681,34.410,33.341,33.156,33.610
32.620,32.983,33.132,32.678,32.633,32.674,33.455,32.914,33.303,31.997,31.971,32.071
26.743,26.886,26.554,26.054,25.901,25.692,25.696,25.518,25.616,27.420,27.283,27.422
29.982,29.914,29.988,29.981,29.891,29.686,29.491,29.376,29.513,31.177,31.053,31.363
26.042,26.811,26.349,25.756,24.800,24.714,25.302,24.689,24.651,27.033,26.883,26.909
25.498,25.361,25.056,24.499,21.757,24.260,24.664,24.160,23.485,24.931,25.307,25.702
31.358,31.813,31.429,31.189,31.202,30.736,30.567,30.594,30.587,31.452,31.412,31.545
32.111,32.558,32.233,31.667,31.634,31.221,31.231,31.276,31.170,32.113,32.104,32.213
27.264,27.773,27.306,27.107,27.019,26.749,27.668,27.604,27.586,27.411,27.441,27.428
32.936,33.416,33.457,30.305,30.317,29.443,30.865,31.079,30.718,29.915,30.083,30.108
23.654,21.637,23.898,24.417,24.534,23.396,24.743,24.585,24.591,24.830,24.755,25.079
27.551,28.025,28.366,27.163,26.969,26.092,27.805,27.946,27.632,27.303,26.798,26.865
20.608,24.312,24.144,24.738,24.752,23.770,23.492,23.929,23.788,24.258,24.064,23.647
21.485,20.807,20.783,22.198,23.919,23.497,21.126,21.493,22.259,23.805,20.499,21.930
27.691,27.954,27.406,26.048,26.196,26.109,20.467,26.195,26.047,27.329,22.004,21.437
24.797,25.235,24.327,20.791,21.935,22.795,20.433,20.286,20.532,24.972,20.786,24.317
19.881,24.471,24.623,19.951,22.100,21.435,21.939,21.380,19.936,21.153,21.045,22.815
24.486,21.962,20.569,23.906,22.138,20.986,20.136,20.153,23.396,24.657,24.390,24.895
28.716,29.771,29.561,27.203,27.949,27.852,26.907,27.316,27.178,28.786,28.634,28.658
29.021,29.875,29.828,29.201,29.407,29.248,28.738,28.256,28.816,29.995,29.958,30.017
31.618,32.300,32.526,30.171,30.142,29.597,29.446,29.236,29.476,30.629,30.652,30.773
21.309,20.511,21.687,20.375,23.844,20.646,20.292,20.742,20.657,24.694,21.516,25.012
28.364,28.937,28.853,28.646,28.907,28.616,27.788,27.925,27.619,28.732,28.789,29.232
29.326,29.781,29.401,29.383,29.333,28.879,28.593,28.678,28.508,29.635,29.779,29.883
19.867,22.354,21.231,23.558,23.168,23.409,22.736,21.076,19.473,21.057,23.272,23.045
24.699,24.778,25.173,25.237,25.461,25.314,27.096,26.551,26.789,25.624,25.288,25.713
30.465,30.613,30.759,31.962,31.834,31.861,32.865,32.569,32.861,33.120,32.818,33.161
32.084,32.758,32.693,35.970,35.892,35.335,36.536,36.280,36.392,34.831,34.908,34.843
34.331,33.783,33.577,34.142,34.108,33.787,33.550,33.404,33.617,34.011,33.826,34.243
32.677,32.969,33.152,33.504,33.404,32.443,32.792,33.082,32.719,32.697,32.660,32.727
29.902,29.641,29.266,31.044,31.226,30.419,30.302,29.844,30.163,31.324,30.900,31.420
32.109,31.943,32.145,32.077,31.963,30.799,30.726,30.931,30.934,31.652,31.334,31.743
27.275,26.831,26.865,29.032,29.199,28.536,28.478,28.945,28.363,29.718,29.759,29.858
