1_Control,3_Control,5_Control,7_Control,8_Control,9_Control,11_Control,15_Control,19_Control,20_Control,23_Control,25_Control,26_Control,28_Control,29_Control,31_Control,33_Control,34_Control,39_Control,40_Control,42_Control,43_Control,44_Control,45_Control,46_Control,48_Control,50_Control,51_Control,52_Control,53_Control,54_Control,2_T1D,4_T1D,6_T1D,10_T1D,12_T1D,13_T1D,14_T1D,16_T1D,17_T1D,18_T1D,21_T1D,22_T1D,24_T1D,27_T1D,30_T1D,32_T1D,35_T1D,36_T1D,37_T1D,38_T1D,41_T1D,47_T1D,49_T1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6793,5194,4465,7517,9162,6377,4137,3229,10007,4180,6373,6530,8040,7840,9522,13211,5814,9463,5076,2968,4476,4996,5325,8698,6824,4636,5227,4601,3440,4658,3078,6393,7086,4445,7661,3746,7416,7681,8549,10125,3555,4818,10405,7396,5253,8956,7896,6319,8442,5018,3806,4558,7453,3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5564,4078,5718,5214,4563,5590,3647,4159,7259,4524,4609,5192,7777,6729,10376,8153,4247,3894,4198,5870,3790,1599,4557,5890,6237,6066,3689,4084,5149,3648,3229,3890,3636,5022,4851,4211,4634,2638,5608,6855,4255,5531,4592,4698,5721,4850,6800,4075,5969,7250,4708,3165,3133,3516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,6422,2891,902,6130,3094,844,1246,3443,1211,4099,6517,2385,17916,2979,4512,934,632,1198,1930,1460,5130,2455,17002,17974,1618,1729,15543,16998,3649,21161,6766,6783,666,2808,12187,2876,5374,1029,5067,2040,3203,17538,6546,3821,3141,9562,8288,602,8376,565,2,8834,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106841,146150,160931,93631,178191,82986,87899,246813,389352,339869,252720,286489,208425,423582,155735,242392,173036,118406,136236,202856,121869,208667,223825,341356,312713,162779,144763,323622,397739,317409,446467,162146,205428,64358,103814,200998,82032,182626,120605,258123,305571,259946,447430,163387,262159,233016,342186,253790,113639,278298,159706,195394,160142,178902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21713,16810,16183,28450,14740,17535,42927,27392,12075,20355,19724,18871,26523,8138,14604,11009,29236,22757,17995,22070,30047,19732,16364,12215,7856,20295,42310,20898,16591,46100,8004,16831,14030,28587,17641,11941,25648,21324,23925,10649,18898,19384,13125,9316,18737,12553,16282,15627,20828,14144,29445,43153,8495,27340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20658,37337,19782,13788,36814,30816,9958,15462,22832,11825,25199,22455,12218,34666,27404,31830,15811,10363,15931,33693,8876,30417,16306,47971,48217,20899,14214,48636,59019,36445,68307,41877,38575,13128,27661,48176,20949,32562,12228,31231,22996,19132,46936,37183,26656,24459,29338,35892,13061,41963,11219,20284,44132,14780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10860,8708,9239,8321,14424,8199,9909,9136,21014,4838,7386,3776,5616,6224,8819,8631,9208,9445,10008,10275,8888,3686,10171,10837,10810,7103,6639,6730,7640,5666,6918,8716,14417,7455,9649,7591,9133,8558,5701,7297,2345,5676,6905,6973,6684,8890,12891,9015,9717,8232,9858,6313,7166,6894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43777,49632,53186,32433,30697,23002,40801,48862,40204,54894,72161,40340,41966,45223,49674,40289,54063,46672,36920,33961,47618,22985,48431,53730,50013,87150,46505,57879,57905,57107,41702,68797,63241,58142,45610,27352,21043,47750,59618,41242,55130,34438,33332,25063,54585,64755,90274,66437,57325,29099,37725,33680,9289,45971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,716,1270,2393,895,986,4028,2427,1235,2630,1205,1225,1706,1070,1083,355,1195,1247,678,1355,1626,236,619,1493,1368,715,265,126,105,1677,898,788,698,1790,1503,293,2752,557,2349,759,1066,838,806,83,1268,834,542,1150,1022,631,277,1700,204,4560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70332,53894,49676,57512,46996,71545,73237,58244,42702,60038,115476,70336,154642,48371,199860,161497,179756,405351,125872,23228,149690,42952,148748,100213,77627,105852,126499,49226,28261,49959,33280,51436,52948,62739,50074,40976,65647,44409,125180,51383,43419,90101,39027,61967,61211,164346,83975,51903,226323,88634,157353,83045,47626,86340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15049,26313,25733,19245,31522,29793,6612,15800,26114,25431,25884,26200,21203,12260,11598,26118,11415,13984,12761,20145,10433,14545,21195,16595,21068,21054,20075,24063,23078,17505,36068,28098,23744,17746,31545,30136,25645,28377,17940,39536,29148,27863,24823,17452,16295,15187,14648,15741,15328,17419,11281,10648,17786,17195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24157,24074,19054,13041,25356,21634,9950,16195,26709,15175,34368,25799,24148,68606,46257,30293,16406,13214,32619,47085,22147,58962,40029,51417,91048,34611,39929,70664,69915,39038,72839,33019,24975,11628,29428,48656,32422,18050,19897,39862,25905,23435,26029,62396,35858,30257,32252,71827,29201,77085,21845,45257,132228,38167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2066,1492,821,2570,1199,357,1820,3667,1924,2651,4200,2420,9036,6247,4248,494,969,1545,2287,802,9897,2015,8263,9289,695,750,4641,7229,3785,12303,2441,2117,399,1638,3607,1334,2353,480,5492,5643,3774,3192,4434,3814,4754,6403,6702,924,7810,1222,5535,12083,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,203,229,575,2,243,820,326,253,195,186,101,257,325,364,204,613,927,217,285,507,14235,90,221,343,353,423,1013,409,1121,285,63,226,295,245,384,321,228,635,105,347,201,25352,149,317,620,227,343,551,333,293,150,16894,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129780,141473,153732,122694,151882,134394,60769,94339,138632,112508,236073,141900,121653,137540,147406,49446,38450,34484,170322,167187,142269,156107,216329,176272,250855,195263,170115,219710,187817,185987,269521,156063,120591,96604,150319,91484,135760,131309,72699,124418,179451,135455,36752,97336,129271,43110,125892,245379,197978,295303,145088,174439,108656,179309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9616,16722,8950,9141,16602,12495,11100,9367,7610,8254,11026,6586,7387,8475,9219,10762,10050,7102,6440,5153,6205,4480,8142,9616,10897,9733,7322,10052,7652,1124,12935,11760,14854,8251,11896,18583,11227,9576,9558,8155,7449,10699,9452,11916,9200,11839,7732,6402,8601,6878,7492,5865,2880,8588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23988,28088,31596,12647,16222,11886,23318,19705,24286,21219,31101,34418,25192,41873,27681,26054,16840,31572,20724,25728,22555,12019,25497,46691,32384,32562,23876,48862,47931,28322,30407,34676,38557,29906,22252,13532,13554,32684,38073,22139,34596,16756,37404,10703,30049,33108,45432,41160,28623,27203,16102,16799,7661,15416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326,5253,1056,826,8339,3367,755,856,5379,869,1578,997,1217,3642,1219,2556,1000,1307,538,5588,924,2170,593,4879,5973,438,273,7709,6605,4348,3602,6360,8864,1106,2355,3398,878,3906,1730,1155,25,419,3718,2535,1317,2699,6835,3512,1057,3944,674,534,1333,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,291,790,1195,425,926,1129,987,326,755,161,335,731,937,383,859,1044,1395,584,586,863,386,650,323,127,539,733,177,205,525,529,278,290,1543,762,180,1088,486,1048,645,395,496,287,477,59,1513,976,99,821,178,1177,510,388,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71575,58664,44216,48739,109237,61650,25917,46181,112299,28102,84777,61839,45698,76897,87385,85398,53073,44634,45191,52559,37037,53840,66328,91043,98933,44298,46450,95436,82010,62730,67606,79975,92792,24315,70807,80687,63668,47248,30367,48107,36621,37205,60752,85806,76079,74036,100004,80915,58973,79293,30064,48940,47659,38967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5954,5594,12049,3652,185,663,268,305,3431,284,2932,4787,3496,14166,5505,95,1410,2295,8,81,154,205,3558,10456,56,373,437,6376,6763,4406,15328,421,3345,8980,7115,11360,432,7374,3755,6467,43,2331,643,11169,291,4033,668,346,1150,4614,647,87,9480,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,186,77,139,98,168,127,239,158,222,595,72,52,349,23,1976,452,140,387,1174,10,2311,176,0,884,326,111,699,735,2308,0,585,219,116,558,1265,93,0,31,504,165,196,735,3774,654,374,280,656,64,0,115,828,14456,1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2598,2863,2737,2010,3456,3378,854,1479,1536,1540,1974,2281,1477,1847,2471,2326,3565,1117,2939,2522,2103,1221,1681,2691,2851,2580,1340,2112,3672,1195,3132,1818,1809,1993,1141,1174,2512,3322,1662,1409,1516,907,4561,2880,3280,2615,2541,3373,1543,3175,1623,1722,1626,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,4645,2288,2907,3515,2781,1974,3803,2740,4970,8088,5793,2254,5099,3411,2774,4368,4354,6985,2975,4877,9153,9549,5537,22403,4294,20393,4950,2812,4188,6840,2034,3073,1634,6036,53359,7725,10156,1204,4952,4066,3676,6631,27357,6078,3770,4996,3784,2389,1692,2322,7193,36915,5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,13967,9235,7039,14621,10032,5274,6414,13952,13971,13048,13261,8287,18406,4854,4841,5355,3238,2776,2096,3765,1113,3242,4957,1166,673,31439,2226,2128,251,1257,13552,19346,5456,5087,13237,5744,13054,4564,5506,4523,12550,13611,2611,6491,5764,11896,7815,5559,8129,1730,1104,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,3875,1465,838,3909,1236,727,2107,6784,2679,5397,6858,3403,15498,2709,2701,2607,1411,3553,63,3585,5843,10049,20344,53730,10427,1750,20674,16994,4986,546,4288,5220,223,1419,9635,1478,5287,486,4161,8292,5052,7895,3394,5173,3075,22774,16652,2670,14907,1885,1561,12362,17528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16769,23004,13841,9314,18315,13226,6806,16950,23446,15561,25293,19887,19731,30282,27388,26309,14410,12281,14927,21267,10765,14471,18124,28264,25307,13828,12453,16222,21067,14411,26117,20833,22084,8344,18142,23989,16705,14629,16911,29137,17530,17285,30872,25517,18908,17552,24257,19017,13484,29273,10492,13482,28617,10809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10278,33370,70802,13454,67993,57653,8504,7672,25261,19328,15927,17146,6654,115650,82031,180356,44338,61795,16281,33174,12330,14294,15264,14166,31573,2611,1388,4515,4062,1765,2120,16727,31650,12757,59791,125050,28278,61209,7980,31007,28514,18533,57916,12061,3133,96675,87316,7606,15360,24434,8751,5335,31032,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,1281,2083,586,1617,1682,394,586,1493,1321,707,989,781,706,495,1222,472,366,182,527,446,399,630,891,786,527,516,828,491,126,1001,1092,1035,454,1255,1193,854,1433,489,1246,923,1246,1266,441,333,637,495,428,333,431,367,265,205,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4179,2772,1687,1953,1489,3403,226,1310,5506,1829,5395,3949,2664,5820,5471,7077,2999,3938,952,973,2162,4158,2238,3284,7902,3053,2861,5085,4793,4975,3467,4468,5222,2752,2703,4946,3121,1899,3765,4191,182,2383,8254,6796,4708,5036,6356,3725,3756,3384,1360,2111,5395,2631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10547,18491,7247,11285,14681,16757,5768,16971,15737,8646,35939,17511,18107,25191,38381,32525,28673,21216,19776,17863,16578,11080,21411,29812,27459,9438,7909,11093,9571,12523,10027,14034,18288,5749,12618,14676,14479,9344,18391,27827,15384,17201,11618,25566,22648,34957,19421,18109,23787,27667,22620,18047,28428,6645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1493,0,0,0,6168,2162,6,38,5730,133,418,148,1051,292,48,217,72,0,0,0,101,0,0,15,0,0,0,0,0,2,30,62,772,0,0,0,0,0,40,0,97,0,0,943,84,515,200,85,0,0,0,0,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9234,15054,11240,9847,12967,10636,11843,9254,9608,8337,19051,12191,10742,15413,19133,19975,16650,12225,14883,14156,11223,7933,12304,20148,22649,10676,9186,12274,17180,24848,13579,14890,16070,6738,12181,10311,7917,12442,9601,10567,10855,10842,28714,12077,13792,26202,17292,13518,12012,14625,10367,9831,18073,6016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47555,27143,52048,38803,33436,50987,48932,32581,135960,25280,48728,58687,60184,28197,69488,132628,39233,85015,227469,22079,46943,22927,69856,49752,37516,36626,50794,30918,21179,26255,23048,23013,28589,35568,47121,37656,77466,27088,47735,56435,40596,46489,38934,66700,44659,59734,27084,76209,57609,34176,39383,37535,30992,31912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,1141,171,676,766,921,708,240,736,380,506,228,606,540,374,720,1205,509,706,918,2556,1060,1101,1398,348,935,305,1769,808,321,1215,1560,1961,515,672,882,17,453,74,389,155,300,1501,322,574,978,2037,1398,1128,1730,790,501,286,1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87698,76451,62820,49892,102677,102347,36093,92062,161606,49704,119533,124354,152005,81696,103520,197124,42750,70331,58772,76948,49845,155381,211024,176926,164096,55391,120212,195862,153796,150463,81151,113828,119557,31080,137281,131886,130810,70471,119256,199348,118014,108350,165801,82479,81899,53866,53745,43876,100036,74765,53837,33547,259544,61557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,2291,1452,1087,304,2454,683,999,913,298,767,0,239,311,3659,1155,606,847,4545,3871,961,26752,1250,4945,59527,26650,1024,5987,36226,76387,49293,480,2548,669,4502,3093,984,0,1214,4194,3290,0,199,252,1287,4657,1365,6694,2052,1914,1192,86409,29735,18659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47750,8838,10546,7947,6724,9812,4901,12563,5847,4304,14634,12078,8985,7321,5809,10482,5053,17677,14299,11207,9139,22783,5266,8944,27979,8262,3961,13156,20532,22004,10546,7213,7178,8294,21644,22793,37309,11151,10776,13877,18875,9561,5747,62746,23743,4007,4341,4778,11857,3167,4476,23734,15359,19966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,0,0,53,0,59,0,0,0,44,46,160,0,0,12,50,23,0,0,93,0,0,0,0,172,0,1283,95,0,80,36,0,0,171,22,0,0,0,93,0,0,0,0,58,73,124,0,394,0,0,0,7037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,119,105,152,140,190,225,432,275,108,397,138,350,142,316,87,246,450,366,218,111,283,11356,314,727,577,326,332,997,510,246,648,611,246,276,301,354,252,399,352,121,368,0,618,130,204,848,29,438,346,426,378,271,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,83,16,200,85,138,144,219,317,370,108,165,72,94,107,83,410,30,1381,140,174,53,170,327,62,0,87,116,4806,159,0,34,51,100,0,114,3570,72,93,34,67,6125,0,40,289,53,231,250,145,5401,64,198,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,2039,1444,1851,2142,1353,2562,1863,1570,1450,2320,3299,2916,2686,1298,1572,1259,1379,1607,2021,2691,2086,2293,2608,89,1394,0,1328,1074,1368,0,1382,1836,2144,2197,2642,3486,3394,1298,3021,1851,2257,2813,2145,2712,1334,2267,827,1429,2591,1914,0,617,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,7,147,23,132,3868,2,80,89,78,27,55,0,14,5,4,2,16,74,27,50,9,9,63,0,26,14,2,5,1,6,1,167,1218,20,445,5246,7,129,28,65,1163,4,50,4,0,0,18,4,35,28,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143310,17884,124309,133164,48956,133267,81427,129094,149457,153245,185456,126684,158634,10363,187578,100999,133230,152834,95891,110795,115849,3762,168203,12813,14484,131668,151658,8828,9898,7079,15752,13422,16271,128449,138866,6658,143705,72671,136238,129118,147176,191234,5601,66880,134630,118913,24548,8482,153262,8306,105695,70027,5068,170382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92321,152011,254275,121715,124590,133216,62813,121984,169470,117850,215188,270040,185672,177847,103383,125307,68740,81803,90528,0,160027,74166,291327,310342,840567,853896,540454,930015,786625,75886,111041,135598,196838,100610,116327,258518,73092,208060,105026,250686,166458,138970,101744,47823,94451,69421,175166,276195,70669,406515,118546,275409,500589,1040924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,2452,1187,1247,2644,1726,428,1202,1158,735,829,894,635,1693,295,1333,1664,349,501,1244,519,3002,489,1553,1504,1120,821,2097,3555,2984,2561,3211,1657,965,1008,4670,1312,2087,694,844,1012,1050,3776,3258,2413,601,1589,1359,483,2021,481,1220,1788,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48821,62219,54341,31009,65406,49697,18973,27593,61704,34852,50908,44032,38717,58439,54011,52575,29290,30507,31798,40422,35972,21730,22756,46291,54047,34116,138872,10095,53741,22313,37836,85934,75535,31071,58444,86818,41146,42344,35880,63634,51445,46010,79118,67160,35747,43437,25413,16091,32730,32554,22630,31454,52516,22181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,5485,1011,1328,5039,2266,323,624,1123,849,1680,1693,1122,2690,2097,1546,2547,807,1551,2088,582,1567,1537,3401,6601,804,435,1390,502,1477,2327,5145,5095,632,360,2188,489,1755,547,1567,1450,1354,5295,1204,1505,2806,4668,5235,1310,6321,1472,703,1339,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47065,49913,57839,33470,57753,40943,34920,54212,125310,78017,78525,92461,80477,168713,113233,108370,49049,50499,78951,114348,47565,140185,78124,133956,160299,68431,71702,162595,145229,101077,243793,66169,56580,30656,66109,108135,57251,62126,76015,113615,119300,84703,129046,126927,89678,111232,147290,158128,40490,138148,50377,90510,313241,73862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298854,690006,1639968,1303558,750053,1135802,2640707,1458557,985665,825930,398646,1720354,1801138,765193,805106,1445126,262999,947997,1097933,725983,1417420,1975768,808775,968452,137581,541948,21149,598859,654856,770017,374201,781477,757040,1410401,1835716,1397166,3116264,1496327,2444750,1524780,890259,829686,1794183,1182662,797060,764020,326778,590557,730170,683961,2223411,1627834,538436,16160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71228,39388,82293,85971,60788,74663,98773,85608,113313,143097,103498,124727,94129,97957,87247,133450,92540,76285,92499,103367,59651,25315,81286,56787,88975,101714,130239,58413,86002,44636,134948,33243,54617,95996,77291,67010,64283,72267,92478,279569,130353,81178,48637,231224,159621,188917,113785,67746,59043,60390,74603,120850,51429,134834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,1955,1885,2072,2346,1832,630,1830,3051,824,1674,1572,1729,1727,2507,3761,1803,1766,2753,3200,2539,2178,2167,2221,3312,3211,1918,3477,3429,2777,2245,3003,1477,1257,3000,3088,2316,3515,2367,1896,660,725,2908,2307,2589,2742,2024,1425,1971,2071,1443,2670,2708,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9794,4875,15845,24300,22493,27357,20272,14175,52116,8171,7296,12564,19595,12474,15227,41287,4433,18204,24432,5877,14934,13904,18734,22647,14764,4157,12098,16268,18875,11502,17475,12124,9715,15268,27386,13986,27311,14260,19238,19222,10355,6461,15595,15196,9659,15234,9736,12205,12528,27456,16484,13793,11335,2589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4196,2027,3755,2174,2022,1776,2190,3021,3494,2143,3624,2692,3063,2552,3064,3770,2543,2747,2573,3398,2884,3295,4356,9085,3716,3182,3117,3960,3603,3886,2847,4049,3352,2234,4460,3061,3820,3123,3544,3103,5485,2082,2973,2281,2058,2516,2954,1776,3288,2528,2928,2397,3565,2590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113909,51990,134587,72604,72241,47700,117518,66938,114580,130601,34070,236612,246076,205016,140164,587336,40997,189131,101185,25029,82068,204856,157639,208407,90140,66637,147860,183035,157739,110975,150912,62567,78215,71029,165172,229103,158512,107113,158038,242103,218827,152806,262321,127602,154085,204235,99749,83575,66930,59872,74550,92652,350795,54628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773,8052,23486,30594,7414,19974,66583,45662,12958,21066,13495,19058,32191,8338,18516,13865,15253,49088,18775,12993,28252,16553,20743,14577,17222,15683,29931,9607,12662,37107,8760,9260,7019,41678,25941,4842,38085,11761,55991,15152,28127,23558,11301,14513,15536,13322,4112,4840,32748,8244,56375,35659,31245,20584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070,5195,3698,3750,6035,3308,2778,3573,6880,2772,3687,2100,2020,8412,5648,5498,3588,2902,1864,2770,3391,3757,3037,6130,6913,3841,1810,2127,1765,2503,3474,6264,9137,3204,2001,3193,1596,2520,2924,4548,2545,2303,12834,6805,3344,5252,14401,10577,2122,1934,2281,2383,4973,1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123671,28166,105272,113902,39841,117957,161254,112029,104821,125827,132095,91095,132863,44472,164782,127454,129699,145265,119253,124998,118003,46941,120698,46130,54690,111535,117914,38256,44553,35018,34376,44020,37492,111038,126222,50242,141572,79321,120171,131518,110625,136463,46276,76678,94836,136566,51271,33380,121432,38958,113334,67472,49941,103147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92239,205954,92154,72022,179110,112715,51004,107694,109756,68508,124761,96170,87486,218402,133877,110665,67655,72575,77529,97828,58850,201269,71364,204097,185427,75613,70132,198956,195643,217352,219627,223761,238455,55898,113492,184951,83362,120444,76636,135299,95712,97190,165910,100619,100494,107041,275782,184055,77703,217565,84393,101902,145964,69000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,2609,5903,4242,3118,4009,2314,2711,6728,5282,4257,4286,3621,2811,4351,4084,1785,3068,1771,3969,1572,731,3093,3202,3040,3871,2368,4161,2986,1500,6031,2604,3088,4313,3346,3635,2095,1840,2339,5479,5163,4736,3158,2855,1760,3102,1926,2626,3547,4101,2350,1518,1824,2917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,581,430,178,191,435,309,167,465,313,263,195,175,98,210,795,543,60,72360,1429,10200,825,210,1567,190,347,5608,586,2605,711,465,479,348,531,350,388,187,607,1422,400,291,198,641,442,196,154,372,9933,189,243,258,5078,448,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,733,1301,1688,829,1706,2335,1383,612,1270,350,842,1360,182,467,869,1148,1220,802,618,755,1249,748,408,51,774,928,697,342,1557,10,791,703,2382,1593,378,2065,1104,1848,1087,1169,1239,1012,456,721,653,274,230,958,145,1294,863,302,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
