1_Control,3_Control,5_Control,7_Control,8_Control,9_Control,11_Control,15_Control,19_Control,20_Control,23_Control,25_Control,26_Control,28_Control,29_Control,31_Control,33_Control,34_Control,39_Control,40_Control,42_Control,43_Control,44_Control,45_Control,46_Control,48_Control,50_Control,51_Control,52_Control,53_Control,54_Control,2_T1D,4_T1D,6_T1D,10_T1D,12_T1D,13_T1D,14_T1D,16_T1D,17_T1D,18_T1D,21_T1D,22_T1D,24_T1D,27_T1D,30_T1D,32_T1D,35_T1D,36_T1D,37_T1D,38_T1D,41_T1D,47_T1D,49_T1D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387269,428760,314010,376409,444262,294772,235923,459587,281604,272739,385480,366132,309941,430887,334932,373284,176348,244645,1054130,797614,242239,558741,278351,513943,492527,296648,232561,360932,313659,378405,415923,399561,419158,289036,958784,1118802,601903,682985,457712,665230,893869,320314,567985,1007135,460435,255613,427192,416284,360336,379948,397108,495271,522446,208196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46126,42040,31739,29938,39332,29257,24569,60991,68190,51147,51416,49646,47239,66764,33580,30476,55511,47142,22286,39187,40843,63721,32571,39151,28155,26394,30509,35951,55288,32194,89908,48343,46200,37424,36949,62149,47832,110590,54782,46679,48685,49160,75421,64440,131613,45869,58468,39592,30815,39780,36216,54595,81758,44780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89915,79615,62523,90410,106689,108817,111680,79026,66672,40126,72823,61111,49200,88262,65884,95997,121768,89923,64139,45395,68149,86327,90793,81021,70649,34824,40592,50760,34310,43872,35656,97935,164479,80880,130312,113568,108726,89459,86095,80239,88002,43018,103024,78346,84510,102875,148410,85729,76371,71932,66033,78902,76906,40091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5181520,6188469,6053032,3844143,5771186,4216444,2409686,3149000,4278010,4162436,4656267,1103136,1977488,1910796,5796585,6325479,3005157,2719913,4119035,4824517,2215426,4061700,2556213,4003382,2231893,4100336,1377298,2744936,2991112,2533693,3269042,7071046,7483964,3803553,7408064,3834155,3164875,5455141,3978793,7027575,9746179,4623685,3154184,5199242,4113452,6194986,6276219,4030931,3620688,4159184,2510080,4823426,5220442,1256026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7409028,5518653,6167723,4664669,4577762,6184131,3828265,5664629,6160029,3624488,3148797,7157886,4165134,4600119,2850007,4448402,2021024,1961580,5448371,2917539,3079072,3769979,3866469,2795296,7603715,2198210,877127,1361513,3239895,2443680,1048292,6521150,5850601,8041193,4760658,10745362,9339060,5653767,5365862,7888885,7875495,6096307,7479030,9438235,4516591,2728093,5560403,9825504,2786268,4524060,3411454,914962,5623552,2091651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4924008,3654679,3516153,3351839,3177618,3917722,2100408,3892098,3969207,4640450,2121959,4160196,2237926,3472551,2392574,3887873,1629540,1312832,2663100,1896380,1616927,3163565,2926986,2569713,4248344,1513529,1849202,2294898,2483136,2013597,2812505,4956960,3845273,4209792,3212751,8410858,5998861,3480933,3454211,6193046,6372741,3891219,8106908,6028519,3040856,2849465,3937675,6141259,1694365,2455888,2084919,1023323,3489343,1778873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141374,75955,66833,47886,101374,81010,27320,49322,79149,29933,93147,83110,32628,122289,43714,94560,50560,60454,56116,164518,59071,125873,50435,90230,115311,53348,47138,104594,143077,60075,77090,102866,122450,61848,110469,292931,151136,89712,79093,110337,71890,62260,109203,295980,214134,53745,98508,78389,46554,66167,25164,147288,236567,133944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2852,6797,2826,2486,5174,4580,2771,3541,5189,1895,2919,4521,2192,8648,2575,4753,1847,922,2678,2025,783,5637,1442,5028,4947,1976,2265,5139,3801,2944,2451,6128,5608,2106,6238,6018,6124,6316,2806,7720,2850,2714,10542,8303,5268,3346,6148,5349,1086,8034,1188,3038,14114,3052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13811401,3113226,1628307,2695843,4636843,3204006,1070377,2488072,1715482,974104,7117290,3444819,1001097,3768065,2001892,3934118,3795018,5378126,2709208,2703229,2570319,5547433,1250733,1331031,4251339,1516560,4804274,2893220,6899306,3728191,1958500,4726580,3918469,4236971,7174479,18628947,10520411,4264823,3541066,3367055,8342082,2478774,3180751,19145964,16486469,1932371,2653872,3101221,3721073,672642,1337453,5539439,6913037,8526443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27691,2698,1503,4448,4451,2141,2596,3083,2754,2052,6321,8221,1680,4650,2531,2985,3983,5506,2495,11720,4499,7396,8005,1243,3062,5442,10263,14173,16951,6477,29602,3263,2640,5210,11402,41440,24194,16705,5101,7906,15134,7694,5647,129567,24882,2731,2776,2871,4238,2354,5308,16689,39838,9893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
